rgn,type,mgmt,obj
North Coast,PMZ,IV,"To protect habitat critical to the recovery of threatened or endangered species. To protect areas of high cultural value, including areas of traditional habitation and marine harvesting."
North Coast,PMZ,IV,"To retain the natural diversity and abundance of marine life, and the structure, function and integrity of the area. To protect unique and/or remote wilderness experiences for tourism and recreation purposes."
North Coast,SMZ,Tourism and Recreation,To allocate space and maintain ecological conditions to support compatible tourism and recreation activities in an area adjacent to an existing land based conservancy.
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of Government Creek estuary and a productive salmon stream flowing from the only remaining unlogged watershed in Skidegate Channel West, Skidegate Narrows and Skidegate Inlet and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type Ib,Protecting representative habitat of the Continental Slope Ecosection and unique shelf break habitat with associated species assemblages.
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of Yakoun River estuary, containing significant eelgrass habitat, a staging area for all salmon species and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type IV,Protection of cold water corals and sponges.
Haida Gwaii,PMZ,IUCN - Type II,"Protection of area adjacent to the village of Old Massett that contains significant Giant Kelp habitat and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of inshore rockfish habitat and associated species assemblages, and foraging habitat for marine bird species at risk."
Haida Gwaii,PMZ,IUCN - Type II,"Protection of herring spawn area in need of habitat restoration and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type III,"Protection of a unique geologic and benthic feature and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type Ib,Protecting portions of unique areas and associated species assemblages in the Shelf Break and Cape St. James oceanographic regions (EBSAs).
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of Learmouth Bank, a unique benthic feature resulting in highly productive waters, and associated species assemblages."
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of portion of unique area (Shelf Break EBSA) that contains deepwater species assemblages and representative habitat of the Continental Slope Ecosection, including some cold water coral and sponge habitat."
Haida Gwaii,PMZ,IUCN - Type Ib,Protection of representative habitat of the Continental Slope and Queen Charlotte Sound Ecosections.
Haida Gwaii,PMZ,IUCN - Type Ib,Protecting representative habitat within Dixon Entrance Ecosection.
Haida Gwaii,PMZ,IUCN - Type Ib,Protecting rockfish habitat and representative habitat within Dixon Entrance Ecosection
Haida Gwaii,PMZ,IUCN - Type Ib,Protection of representative habitat of the Continental Slope and Queen Charlotte Sound  Ecosections.
Haida Gwaii,PMZ,IUCN - Type Ib,Protection of unique benthic features – extensive kelp bed on substrate dominated by boulders.
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of the Ain River estuary and surrounding waters which are important as staging areas for Chum, Sockeye, Coho, and Pink salmon and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type III,Protection of natural history site (unique fossils) as well as protection of eelgrass and giant kelp habitat and significant historic herring spawn.
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of the Slatechuck Creek estuary, nesting seabird colonies and eelgrass beds and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type IV,"Protection of eelgrass beds, nesting seabird colonies and bird congregation areas and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type II,"Protection of the area adjacent to the village of Skidegate, rich in kelp and eelgrass beds and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type IV,"Protection of Skidegate Narrows – a shallow channel and scenic travel route with unique benthic features and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type V,"Protection of nearshore kelp beds, rockfish habitat and associated species assemblages, nesting sites and foraging habitat for multiple marine bird species at risk, identified important area for Gray, Humpback and Killer Whales, and an area with importan"
Haida Gwaii,PMZ,IUCN - Type IV,"Protection of inshore rockfish habitat and associated species assemblages, foraging area for marine bird species at risk, and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type V,"Protection of multiple ecological values in the only road-accessed region of the West Coast of Haida Gwaii and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type IV,"Protection of inshore rockfish and kelp habitat around Gospel Island in the middle of Rennell Soundand an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of significant estuaries, locations of historical herring spawn and important salmon streams."
Haida Gwaii,PMZ,IUCN - Type Ib,Protection of breeding colonies and foraging habitat for marine bird species at risk.
Haida Gwaii,PMZ,IUCN - Type IV,"Protection of an area containing significant historic herring spawn, eelgrass and kelp beds, foraging habitat for marine bird species at risk, and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type IV,"Protection of kelp beds and eelgrass meadows, critical habitat for a variety of marine species (including herring spawn) and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type IV,Protection of identified Killer Whale rubbing area and representative habitat in Masset Inlet.
Haida Gwaii,PMZ,IUCN - Type Ib,Protection of important wildlife area containing resident and migratory bird habitat.
Haida Gwaii,PMZ,IUCN - Type IV,"Protection of rockfish habitat and associated species assemblages, foraging habitat for marine bird species at risk, identified important area for Gray, Humpback and Killer Whales and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type II,"Protection of area across from the village of Old Massett which is an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type IV,Protection of important estuary (Datlaman River) and associated bay.
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of Awun Bay and the Awun River estuary which are important Chum and Sockeye Salmon areas and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of the Naden River and Davidson River estuaries, important salmon habitat, eelgrass habitat and significant historical herring spawn locations and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type IV,"Protection of important estuaries, eelgrass and kelp habitat and locations of significant historical herring spawn and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of the Lignite Estuary and surrounding waters, which are important habitat for Chum, Sockeye, Coho and Pink Salmon."
Haida Gwaii,PMZ,IUCN - Type IV,Protecting an area with unique oceanographic features as well as cold water corals and sponges.
Haida Gwaii,PMZ,IUCN - Type IV,"Protection of portions of unique areas and associated species assemblagesin the Shelf Break and Cape St. James oceanographic regions (EBSAs), and protection of cold water corals and sponges."
Haida Gwaii,PMZ,IUCN - Type II,"Protection of kelp habitat and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type II,"Protection of productive nearshore area that with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type Ib,Protection of nesting colonies and adjacent foraging habitat for marine bird species at risk.
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of nesting colonies and adjacent foraging habitat for marine bird species at risk, and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of important nearshore habitat, breeding colonies and foraging habitat for marine bird species at risk, and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type IV,"Protection of Sachs Creek estuary, seabird colonies, herring spawning grounds and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of seal haulouts, nesting seabirds and high value traditional use areas."
Haida Gwaii,PMZ,IUCN - Type Ib,Protection of a significant estuary and location of historic herring spawn.
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of significant estuary, locations of historical herring spawn, foraging habitat for marine bird species at risk, and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type II,"Protection of the Jalun River estuary and surrounding waters and habitats, and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of multiple salmon streams and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of coastal habitat representative of northern Graham Island, including multiple salmon streams, an important estuary, kelp and eelgrass beds, and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of important nearshore kelp beds, rockfish habitat and associated species assemblages, and foraging habitat for marine bird species at risk, and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of nearshore ecological values, inshore rockfish habitat, colonies of marine bird species at risk and adjacent foraging areas, and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of nearshore ecological values, colonies of marine bird species at risk and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type VI,"Protection of coastal habitat along northern Graham Island including multiple salmon streams, an important estuary, kelp beds and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type V,"Protection of the unique inlet separating Graham and Moresby Islands which contains the estuaries of multiple salmon streams, historical herring spawning grounds, important bird areas, eelgrass and kelp habitat, and an area with important Haida values, i"
Haida Gwaii,PMZ,IUCN - Type V,"Protection of important estuaries, herring spawn and Bull Kelp habitat in the unique ecosystem of Masset Inlet, and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type IV,"Protection of eelgrass meadows, wetlands and estuary which provide critical habitat for a variety of marine species and important habitat for resident and migratory birds."
Haida Gwaii,PMZ,IUCN - Type Ib,Protection of a portion of the Shelf Break EBSA (an area supporting the aggregation of macrozooplankton) and the Continental Slope Ecosection and their associated species assemblages.
Haida Gwaii,PMZ,IUCN - Type IV,"Protection of multiple salmon streams and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type IV,"Protection of nearshore kelp and eelgrass habitat, foraging habitat for marine bird species at risk and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of estuary of a significant salmon stream, inshore rockfish habitat, foraging habitat for marine bird species at risk and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type II,"Protection of important nearshore ecological values and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type II,"Protection of significant salmon stream, eelgrass and Bull Kelp habitat, foraging habitat for marine bird species at risk, and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type IV,"Protection of significant salmon streams, locations of historical herring spawn, foraging areas for marine bird species at risk, inshore rockfish habitat and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type IV,Provides a buffer for ecological values in the South Celestial Reef PMZ while allowing for appropriate socio-economic activities.
Haida Gwaii,PMZ,IUCN - Type IV,Provides a buffer for ecological values in the North Dixon PMZ while allowing for appropriate socio-economic activities.
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of important nearshore kelp beds, rockfish habitat and associated species assemblages, foraging habitat for marine bird species at risk, and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection from disturbance of nesting seabird colonies and of surrounding waters rich in kelp, and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type VI,"Protection of nearshore kelp beds, rockfish habitat and associated species assemblages, identified important area for Humpback and Killer Whales, and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type IV,Provides a buffer for ecological values within the West of Frederick Island between the 100 Fathom to Shelf PMZ and Frederick Island to Tian PMZ while still allowing for some socio-economic activities.
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of nearshore values, including inshore rockfish habitat and associated species assemblages, a significant estuary, Bull and Giant Kelp habitat, foraging habitat for marine bird species at risk and a Steller Sea Lion haulout."
Haida Gwaii,PMZ,IUCN - Type VI,"Protection of west coast nearshore values, including important estuaries, multiple salmon streams, colonies and foraging habitat for marine bird species at risk, and inshore rockfish habitat and associated species assemblages."
Haida Gwaii,PMZ,IUCN - Type II,"Protection of inshore rockfish habitat and associated species assemblages, kelp and eelgrass beds, and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type V,"Protection of inshore rockfish habitat and associated species assemblages, colonies and foraging area for marine bird species at risk, and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type II,"Protection of inshore rockfish habitat and associated species assemblages, colonies and foraging area for marine bird species at risk, and an area with important Haida values, including traditional use.."
Haida Gwaii,PMZ,IUCN - Type IV,"Protection of inshore rockfish habitat and associated species assemblages, and foraging habitat for marine bird species at risk."
Haida Gwaii,SMZ,SMZ - Alt. Energy,Prioritization of this area for potential wind-farm development.
Haida Gwaii,PMZ,IUCN - Type Ib,Protection a portion of a unique oceanographic area (Dogfish Bank) and associated species assemblages and representative habitat within Hecate Strait Ecosection.
Haida Gwaii,PMZ,IUCN - Type Ib,"Protection of Deena Creek estuary, a highly productive salmon stream and an area with important Haida values, including traditional use."
Haida Gwaii,PMZ,IUCN - Type IV,"Protection for Crescent Inlet, a small inlet accessible by water only through Gwaii Haanas NMCAR & HHS.  The inlet contains a number of minor salmon streams, modeled inshore rockfish habitat and kelp beds."
Haida Gwaii,PMZ,IUCN - Type VI,Protection in the form of a small marine buffer in the foreshore area where the Tlall Haida Heritage Site/BC Conservancy reaches the shoreline.
Haida Gwaii,PMZ,IUCN - Type VI,"Protection of important nearshore values, including salmon streams, multiple highest ranked estuaries, and nesting sites and foraging habitat for marine bird species at risk."
Central Coast,PMZ,NA,"Long narrow inlets on the Central Coast have unique and biologically isolated invertebrate populations that require local larval dispersal to maintain healthy population levels. This PMZ contains estuaries that are used by Chum, Coho and Pink Salmon that"
Central Coast,PMZ,NA,This PMZ is located in a small bay on the east side of Fisher Channel. It encompasses eelgrass beds that provide essential juvenile salmon habitat for the adjacent Sockeye Salmon spawning system. Eelgrass beds provide a nursery area for many marine and a
Central Coast,PMZ,NA,"This PMZ, located in Johnston Bay, includes eelgrass beds, which support herring spawn and multiple life stages of Coho, Chinook, Chum, Pink and Sockeye salmon, and it is an important crab-bearing area. The PMZ is an important Traditional harvesting area"
Central Coast,PMZ,NA,"This PMZ, located in a small bay on the east shore of Rivers Inlet, contains fragile eelgrass beds, which provide a nursery area for many marine and anadromous species. Eelgrass provides food, shelter and protection from predators for many juvenile fish"
Central Coast,PMZ,NA,"This PMZ, located in Kimsquit Narrows, is adjacent to a large estuary. It contains important habitat for Chum, Coho, Chinook, Pink and Sockeye salmon, as well as Steelhead and invertebrate habitat. The area acts as a larval source for the adjacent GMZ in"
Central Coast,PMZ,NA,"This small bay includes eelgrass beds, which provide a nursery area for many marine and anadromous species. Eelgrass provides food, shelter and protection from predators for many juvenile fish and shellfish species, and it plays an important role in the"
Central Coast,PMZ,NA,"This small bay includes eelgrass beds that provide essential juvenile salmon habitat for the adjacent Sockeye Salmon spawning system. Eelgrass beds provide a nursery area for many marine and anadromous species. The area provides food, shelter and protect"
Central Coast,PMZ,NA,"This small bay includes Bull Kelp and eelgrass beds, which are important habitats for a variety of species at different life stages. This PMZ is an important carbon sink."
Central Coast,PMZ,NA,"This area is located in Restoration Bay and Burke Channel. It includes an estuary and eelgrass beds, and supports herring spawn, crab, prawns, out-migrating salmon, clams and groundfish. This PMZ is an important Traditional harvest area for local First N"
Central Coast,PMZ,NA,"This area, located around Rankin Shoals and Kent Bank, has high rugosity and includes sea lion haulouts and important seabird areas. The area is important for rock fish and groundfish species, and has high value for local First Nations regarding the Trad"
Central Coast,PMZ,NA,"This PMZ, located in Elcho Harbour, includes estuarine habitat, which supports Chum, Coho, Pink and Sockeye Salmon populations and multiple invertebrate species. The area is a larval source for adjacent areas. This area is also important to local First N"
Central Coast,PMZ,NA,"This PMZ, located in Queen Charlotte Sound, contains important halibut rearing grounds and supports abundant crab stocks. It is an important area for local First Nations for the Traditional harvest of Marine Resources."
Central Coast,PMZ,NA,"This is a nutrient-rich area of high current, located in the western portion of Oscar Passage. The area supports groundfish and several invertebrate species, including prawn and Sea Cucumbers. Northern Abalone, which is listed as an endangered species un"
Central Coast,PMZ,NA,"This area, located in Dean Channel outside of Elcho Harbour, is characteristic deep fjord habitat, which supports rockfish and prawn populations. There is concern with the following habitat and species: benthic habitat, rockfish and prawn populations."
Central Coast,PMZ,NA,"This area, located in Kwatalena, supports an Eulachon run and multiple species of salmon. The PMZ also supports crab, prawn and groundfish, and it has high ecotourism values. The area has significant cultural and Traditional harvesting importance for loc"
Central Coast,PMZ,NA,"Bottleneck Bay, located off Finlayson Channel, includes an eelgrass estuary that supports juvenile salmon from adjacent Pink, Coho and Chum Salmon systems. The area also supports crab populations and has high tourism values. There is potential concern wi"
Central Coast,PMZ,NA,"This PMZ is located at Eucott Bay and is ecologically unique for inner coastal fjord habitat. The bay includes eelgrass, important Pink, Coho and Chum Salmon systems, and crab habitat, and it is one of the few areas on the inner coast that supports halib"
Central Coast,PMZ,NA,"This estuarine area, located in Nascall Bay, is important to crab species and once supported a Sockeye Salmon system, which is in need of restoration. The area has high tourism values and significant cultural importance for First Nations."
Central Coast,PMZ,NA,"Located in Clatse Bay in Roscoe Inlet, this PMZ has unique ecological, cultural, and scenic features. The bay includes eelgrass, important salmon systems, crab habitat and groundfish populations. The area is also an important estuary for many bird specie"
Central Coast,PMZ,NA,"This PMZ, located in Kimsquit Narrows, encompasses a large estuary. It contains important habitat for Chum, Coho, Chinook, Pink and Sockeye salmon, as well as Steelhead and invertebrate habitat. The area provides food, shelter and protection from predato"
Central Coast,PMZ,NA,"At the end of Kwatna Inlet, this area includes one of the largest estuaries in the Plan Area and supports Pink, Coho, Chinook, Chum and Sockeye salmon, as well as Rainbow Trout, Steelhead and Dolly Varden. It provides important waterfowl habitat and supp"
Central Coast,PMZ,NA,"This PMZ, located in a small bay on the north side of Burke Channel, contains fragile eelgrass beds, which provide a nursery area for many marine and anadromous species. Eelgrass provides food, shelter and protection from predators for many juvenile fish"
Central Coast,PMZ,NA,"This PMZ, located in a small bay on the north side of Burke Channel, is adjacent to eelgrass beds, which provide a nursery area for many marine and anadromous species. Eelgrass provides food, shelter and protection from predators for many juvenile fish a"
Central Coast,PMZ,NA,"A small section of shoreline habitat on the north side of Burke Channel, this area includes habitat for a number of invertebrate species, including prawn, sea cucumber, urchin, clam and crab. There is potential concern with all marine habitats and associ"
Central Coast,PMZ,NA,This portion of South Bentinck Arm includes eelgrass habitat that provides crab and herring habitat. The area also supports a large prawn population. The area has significant cultural value for local First Nations and has high potential for ecotourism. T
Central Coast,PMZ,NA,"This area includes eelgrass beds, which provide a nursery area for many marine and anadromous species. Eelgrass provides food, shelter and protection from predators for many juvenile fish and shellfish species, and it plays an important role in the life"
Central Coast,PMZ,NA,This small bay includes an eelgrass bioband that provides important salmon fry habitat for the adjacent Sockeye Salmon spawning system.
Central Coast,PMZ,NA,"This area is located mid-channel, approximately 4 km northwest of Duncanby Landing. It is an important bird area, which supports Pelagic Cormorants, and it has high Traditional harvest value for local First Nations."
Central Coast,PMZ,NA,"This inland channel is located west of Kwatna Inlet in Burke Channel. Its habitat protects small, sensitive groundfish populations, invertebrate species that act as a larval source for adjacent areas, and a salmon system that is currently under restorati"
Central Coast,PMZ,NA,"This PMZ encompasses Hakai Passage and Fitz Hugh Sound. The area is ecologically diverse and includes exposed shoreline, lagoons, tidal rapids, white sandy beaches, eelgrass and kelp forests, and haulouts. These habitats support many species of marine pl"
Central Coast,PMZ,NA,"This PMZ, located in Fitz Hugh Sound, includes eelgrass and Bull Kelp beds, which support herring spawn and crab stocks. The area is sensitive to localized overfishing. This is an important area to local First Nations for Traditional harvesting. There is"
Central Coast,PMZ,NA,"This area, located off the northeast tip of Penrose Island, has clam beds and supports populations of groundfish, salmon, waterfowl and prawns. This PMZ has high value for local First Nations Traditional harvest of Marine Resources."
Central Coast,PMZ,NA,"This PMZ, located west of Aristazabal Island, surrounds Byers Islands, Conroy Island and Harvey Islands. The area contains unique and productive ecosystems, such as exposed shorelines and a sea floor of high rugosity. The area encompasses breeding bird c"
Central Coast,PMZ,NA,"This estuary, located at the end of Laredo inlet, and the surrounding area provide eelgrass habitat that supports Dungeness Crab and prawn populations. The head of the inlet is a known larval source for both of these species and supports populations in t"
Central Coast,PMZ,NA,"This area encompasses Khutze Inlet and Griffin Point. The Tolmie Channel portion is an area with high currents and high biodiversity. Khutze Inlet includes estuarine habitats, eelgrass and Bull Kelp beds that support waterfowl/waterbird species at risk,"
Central Coast,PMZ,NA,"This PMZ, which extends from Rudolf Bay to Milbanke Sound, follows the western and southern shores of Price Island and encompasses Catala Passage. The area has numerous rocky reefs, which are important for threatened abalone and rockfish species, as well"
Central Coast,PMZ,NA,"This area, located in the southern half of Finlayson Channel, includes eelgrass meadows and kelp beds. The area supports groundfish and several important invertebrate species, including prawn, Red Sea Urchin and Geoduck. There is an active abalone restor"
Central Coast,PMZ,NA,"This area, located within Higgins Lagoon, contains eelgrass, bull kelp and giant kelp forests, which support a wide diversity of species, including birds, forage fish, groundfish, marine mammals, waterfowl, salmon, seabirds and shellfish. This area suppo"
Central Coast,PMZ,NA,"This deep fjord includes areas of eelgrass, seaweed and forage fish habitat. It supports healthy populations of invertebrate species such as Sea Cucumber and prawn, as well as dogfish, which could support productive commercial fisheries. The fjord is an"
Central Coast,PMZ,NA,"This PMZ, located at the top of North Bentinck Arm, is an important estuary for migratory birds, and it contains herring spawn, prawns, high density crab stocks, and Eulachon runs. Sea urchin habitat on the inner coast is limited, but some occurs in this"
Central Coast,PMZ,NA,"This PMZ, located at the top of Briggs Inlet, contains eelgrass and Bull Kelp beds, and supports a small salmon system and large populations of Dungeness Crab and various prawn species. The area provides at-sea habitat for Marbled Murrelets and is cultur"
Central Coast,PMZ,NA,"Goose Bay includes productive eelgrass beds, which support crab and juvenile salmon. The area acts as a nursery for many marine and anadromous species. Eelgrass provides food, shelter and protection from predators for many juvenile fish and shellfish spe"
Central Coast,PMZ,NA,"This area, located at the mouth of Newichy Creek, includes eelgrass beds, which provide a nursery area for many marine and anadromous species. Eelgrass provides food, shelter and protection from predators for many juvenile fish and shellfish species, and"
Central Coast,PMZ,NA,"This is a small estuary with eelgrass habitat that supports a complex ecosystem, including herring spawn, Dungeness Crab, abalone and refugia for salmon fry from adjacent Sockeye, Coho and Pink Salmon spawning grounds. This PMZ has cultural and Tradition"
Central Coast,PMZ,NA,This PMZ is located in a small bay on the south side of Lama Passage. It includes eelgrass beds that are important for salmon fry in an adjacent Sockeye Salmon spawning system that has high cultural value. This area is also important for a number of wate
Central Coast,PMZ,NA,"This PMZ, located in Pierce Bay, includes eelgrass beds and intertidal soft substrate habitat, which is unique on the Central Coast, and it provides habitat for bivalves. Eelgrass provides rearing areas for juvenile salmon. The area also supports shellfi"
Central Coast,PMZ,NA,"This PMZ is located in Kildidt Inlet on Hunter Island, and contains high cultural and environmental values. The area is rich with eelgrass beds, Bull Kelp, and Giant Kelp forests. Herring spawn here. The narrows have potential to support tidal energy, wh"
Central Coast,PMZ,NA,"This PMZ, located near Bella Bella, has significant tidal ecosystem values. Multiple eelgrass and Bull Kelp beds, which support herring spawn, and crab are present. The area also supports groundfish. The area has very high value for local First Nations,"
Central Coast,PMZ,NA,This PMZ encompasses part of Fitz Hugh Sound. It includes eelgrass and Bull Kelp beds and is a herring spawning area. Much of the PMZ is sandy bottom habitat and is a halibut breeding area. The area provides important Marbled Murrelet at-sea habitat and
Central Coast,PMZ,NA,"This PMZ encompasses Green Lagoon and part of Tolmie Channel. High currents and upwelling make this PMZ ecologically productive and important for many species, and it is an important forage area for seabirds. The area also provides important Marbled Murr"
Central Coast,PMZ,NA,"This PMZ, located in Raymond Passage, includes Bull Kelp and Giant Kelp forests, and eelgrass that supports herring spawn. The area provides habitat for a wide variety of species, including rockfish, groundfish, salmon, Dungeness Crab and clams. It is im"
Central Coast,PMZ,NA,"This PMZ is located between Cunningham Island, Horsfall Island and Chatfield Island, and extends half way up Return Channel. The area includes a number of estuaries, and supports an important Chum Salmon system, groundfish, clam, crab, seaweed and kelp."
Central Coast,PMZ,NA,"This PMZ is located in Lama Passage and encompasses Cooper Inlet and Bob Bay. It is important for a wide variety of species, including clam, groundfish, rockfish and salmon. Restoration of a salmon system is occurring in the area. This area has very sign"
