order_no,issued_date,closes_area,closure_type,closes_edit
PTN-2009-74,2009-04-08,"SA 27-3, 27-05, 27-6",biotoxins,"sa 27~3, 27~05, 27~6"
PTN-2009-75,2009-04-08,SA 27-7,biotoxins,sa 27~7
PTN-2009-77,2009-04-08,"SA 26-4 , 26-5, 26-8 and 26-9",biotoxins,"sa 26~4 , 26~5, 26~8 and 26~9"
PTN-2009-78,2009-04-08,SA 26-1,biotoxins,sa 26~1
PTN-2009-79,2009-04-08,"SA 26-2, 26-3, 26-6",biotoxins,"sa 26~2, 26~3, 26~6"
PTN-2009-81,2009-04-16,"SA 26-4 , 26-5",biotoxins,"sa 26~4 , 26~5"
PTN-2009-88,2009-04-21,SA 27-9,biotoxins,sa 27~9
PTN-2009-90,2009-04-24,"SA 26-2, 26-3, 26-6 AND 26-9",biotoxins,"sa 26~2, 26~3, 26~6 and 26~9"
PSN-2009-91,2009-04-27,Area 17 -new closure Area 17.3 Chemainus Bay,sanitary closure,area 17 -new closure area 17~3 chemainus bay
PTN-2009-96,2009-05-01,"SA 26-2, 26-3, 26-6",biotoxins,"sa 26~2, 26~3, 26~6"
PTN-2009-97,2009-05-01,"Area 27, except SA 27-3,27-7, 27-9",biotoxins,"area 27, except sa 27~3,27~7, 27~9"
PTN-2009-98,2009-05-01,SA 23-3 and 27-7,biotoxins,sa 23~3 and 27~7
PTN-2009-100,2009-05-01,"Area 29, except SA 29-1, 29-2 and 29-5",biotoxins,"area 29, except sa 29~1, 29~2 and 29~5"
PTN-2009-101,2009-05-01,SA 29-5,biotoxins,sa 29~5
PSN-2009-102,2009-05-12,Area 17 - revises map 17.3 to include newly classified area.,sanitary closure,area 17 - revises map 17~3 to include newly classified area.
PTN-2009-107,2009-05-13,SA 2-1,biotoxins,sa 2~1
PSN-2009-108,2009-05-15,"Area 14, Close Baynes Sound B and C",sanitary closure,"area 14, close baynes sound b and c"
PTN-2009-116,2009-05-29,"sa 18-1, 18-5, 18-11",biotoxins,"sa 18~1, 18~5, 18~11"
PSN-2009-120,2009-06-05,"Area 14 - add 14.25, expand 14.4, expand 14.16",sanitary closure,"area 14 - add 14~25, expand 14~4, expand 14~16"
PSN-2009-121,2009-06-05,Area 17 - reduce closure 17.12,sanitary closure,area 17 - reduce closure 17~12
PSN-2009-122,2009-06-05,"Area 18 - new closure 18.29, 18.30",sanitary closure,"area 18 - new closure 18~29, 18~30"
PSN-2009-123,2009-06-05,Area 23 - new closure 23.15,sanitary closure,area 23 - new closure 23~15
PSN-2009-124,2009-06-05,Area 19 - reduuce closure 19.3,sanitary closure,area 19 - reduuce closure 19~3
PSN-2009-125,2009-06-05,Area 29 - new closure 29.6,sanitary closure,area 29 - new closure 29~6
PSN-2009-126,2009-06-05,"Seasonal Sanitary Closure – May 31 to September 30 (Areas 7, 8 , 9, 10, 12, 13, 15, 16, 17, 18, 23, 25 and 28) reduced closure 18.C",sanitary closure,"seasonal sanitary closure – to (areas 7, 8 , 9, 10, 12, 13, 15, 16, 17, 18, 23, 25 and 28) reduced closure xx"
PSN2-2009-127,2009-06-05,"Seasonal Sanitary Closure – June 15 to September 15 (Area 2) expanded closures 2.A, 2.B, 2.C, 2.D, 2.E, 2.F, 2.G AND 2.H",sanitary closure,"seasonal sanitary closure – to (area 2) expanded closures xx, xx, xx, xx, xx, xx, xx and xx"
PTN-2009-131,2009-06-09,SA 25-13 and 25-14,biotoxins,sa 25~13 and 25~14
PSN-2009-132,2009-06-15,Area 17 - amend closure 17.1,sanitary closure,area 17 - amend closure 17~1
PTN2009-133,2009-06-16,Area 25,biotoxins,area 25
PSN-2009-136,2009-06-18,"Area 14, Close Baynes Sound C",sanitary closure,"area 14, close baynes sound c"
PSN-2009-137,2009-06-22,Expand the 25 m closure,sanitary closure,expand the 25 m closure
PTN-2009-147,2009-06-30,Area 25,biotoxins,area 25
PTN-2009-148,2009-07-02,"Area 26, except SA 26-3",biotoxins,"area 26, except sa 26~3"
PTN-2009-149,2009-07-02,SA 26-3,biotoxins,sa 26~3
PSN-2009-150,2009-07-08,"Area 20 , add 20.3 Becher Bay",sanitary closure,"area 20 , add 20~3 becher bay"
PTN-2009-151,2009-07-10,"Area 27, except 27-7, 27-9",biotoxins,"area 27, except 27~7, 27~9"
PTN-2009-152,2009-07-10,SA 27-7,biotoxins,sa 27~7
PTN-2009-153,2009-07-10,"Area 29, except SA 29-1, 29-2",biotoxins,"area 29, except sa 29~1, 29~2"
PTN-2009-155,2009-07-14,"Area 23, except SA 23-4, 23-5, 23-6 (except Useless Inlet) and 23-7, 23-8 ( amends the closure boundary)",biotoxins,"area 23, except sa 23~4, 23~5, 23~6 () and 23~7, 23~8 ( amends the closure boundary)"
PTN-2009-156,2009-07-15,"Area 23except SA 23-4, 23-7 and 23-8",biotoxins,"area 23except sa 23~4, 23~7 and 23~8"
PTN-2009-160,2009-07-16,SA 15-4,biotoxins,sa 15~4
PTN-2009-162,2009-07-21,Area 23 except SA 23-8,biotoxins,area 23 except sa 23~8
PTN-2009-164,2009-07-23,"Area 24, except SA 24-4, 24-5, 24-8, 24-9, 24-13 and 24-14",biotoxins,"area 24, except sa 24~4, 24~5, 24~8, 24~9, 24~13 and 24~14"
PTN-2009-165,2009-07-24,SA 1-5,biotoxins,sa 1~5
PTN-2009-166,2009-07-24,"Area 23 except SA 23-3, 23-4, 23-7, 23-8",biotoxins,"area 23 except sa 23~3, 23~4, 23~7, 23~8"
PTN-2009-167,2009-07-23,SA 23-3,biotoxins,sa 23~3
PTN-2009-168,2009-07-23,"Area 27, except SA 27-9",biotoxins,"area 27, except sa 27~9"
PTN-2009-171,2009-07-29,SA 2-1,biotoxins,sa 2~1
PTN-2009-172,2009-07-31,"Area 24, except SA 24-5, 24-8, 24-9",biotoxins,"area 24, except sa 24~5, 24~8, 24~9"
PTN-2009-173,2009-07-31,Area 26,biotoxins,area 26
PTN-2009-174,2009-07-31,Area 27,biotoxins,area 27
PTN-2009-176,2009-08-05,Area 24 except SA 24-5 and 24-9,biotoxins,area 24 except sa 24~5 and 24~9
PTN-2009-177,2009-08-07,Area 24 except SA 24-9,biotoxins,area 24 except sa 24~9
PCH-2009-177,2009-08-07,Portion of SA 14-8 (Fanny Bay),chemical closure,portion of sa 14~8 (fanny bay)
PTN-2009-178,2009-08-13,"Area 23 except SA 23-4, 23-7",biotoxins,"area 23 except sa 23~4, 23~7"
PTN-2009-183,2009-08-31,"Area 23 except SA 23-4, 23-7, 23-10",biotoxins,"area 23 except sa 23~4, 23~7, 23~10"
PTN-2009-184,2009-08-31,SA 23-10,biotoxins,sa 23~10
PTN-2009-186,2009-08-31,"Area 101, except SA 101-7",biotoxins,"area 101, except sa 101~7"
PTN-2009-187,2009-08-31,SA 101-7,biotoxins,sa 101~7
PTN-2009-190,2009-09-03,"Area 19, except 19-5 and 19-6",biotoxins,"area 19, except 19~5 and 19~6"
PTN-2009-192,2009-09-11,"Area 25, except SA 25-4 and 25-8",biotoxins,"area 25, except sa 25~4 and 25~8"
PTN-2009-193,2009-09-11,SA 25-4 and 25-8,biotoxins,sa 25~4 and 25~8
PTN-2009-196,2009-09-18,"Area 25, except SA 25-3, 25-4 and 25-8",biotoxins,"area 25, except sa 25~3, 25~4 and 25~8"
PTN-2009-197,2009-09-18,"SA 24-3, 25-4 and 25-8",biotoxins,"sa 24~3, 25~4 and 25~8"
PTN-2009-202,2009-09-30,"Area 24 except SA 24-2, 24-6, 24-7, 24-9",biotoxins,"area 24 except sa 24~2, 24~6, 24~7, 24~9"
PTN-2009-203,2009-09-30,"SA 24-2, 24-6, 24-7",biotoxins,"sa 24~2, 24~6, 24~7"
PTN-2009-205,2009-10-02,NA,biotoxins,NA
PTN-2009-206,2009-10-02,NA,biotoxins,NA
PSN-2009-212,2009-10-09,Area 13,sanitary closure,area 13
PTN-2009-213,2009-10-09,"Area 2 (except Subareas 2-1, 2-3, 2-7)",biotoxins,"area 2 (except subareas 2~1, 2~3, 2~7)"
PTN-2009-214,2009-10-09,"SA  2-3, 2-7",biotoxins,"sa 2~3, 2~7"
PTN-2009-216,2009-10-09,SA 17-1 and 17-2,biotoxins,sa 17~1 and 17~2
PTN-2009-219,2009-10-13,"Area 1, except SA 1-5",biotoxins,"area 1, except sa 1~5"
PSN-2009-220,2009-10-16,Area 23 - change closure 23.16 (Poett Nook) from seasonal to annual closure (PRISC),sanitary closure,area 23 - change closure 23~16 (poett nook) from seasonal to annual closure (prisc)
PTN-2009-222,2009-10-16,"Area 24, except SA 24-2, 24-6, 24-7 and 24-9",biotoxins,"area 24, except sa 24~2, 24~6, 24~7 and 24~9"
PTN-2009-223,2009-10-16,SA 24-6 and 24-7,biotoxins,sa 24~6 and 24~7
PTN-2009-224,2009-10-23,"Area 2 (except Subareas 2-1, 2-3, 2-6, 2-7)",biotoxins,"area 2 (except subareas 2~1, 2~3, 2~6, 2~7)"
PTN-2009-225,2009-10-23,"SA  2-3, 2-6, 2-7",biotoxins,"sa 2~3, 2~6, 2~7"
PTN-2009-226,2009-10-29,"Area 25, except SA 25-3, 25-4, 25-8 AND 25-11",biotoxins,"area 25, except sa 25~3, 25~4, 25~8 and 25~11"
PTN-2009-227,2009-10-29,"SA 24-3, 25-4, 25-8, 25-11",biotoxins,"sa 24~3, 25~4, 25~8, 25~11"
PTN-2009-228,2009-10-30,"Area 25, except SA 25-3, 25-4, 25-6, 25-8 AND 25-11",biotoxins,"area 25, except sa 25~3, 25~4, 25~6, 25~8 and 25~11"
PTN-2009-229,2009-10-30,"SA 24-3, 25-4, 25-6, 25-8, 25-11",biotoxins,"sa 24~3, 25~4, 25~6, 25~8, 25~11"
PTN-2009-231,2009-10-30,"Area 29, except SA 29-1, 29-2, 29-5",biotoxins,"area 29, except sa 29~1, 29~2, 29~5"
PTN-2009-233,2009-10-30,SA 13-18 and 29-5,biotoxins,sa 13~18 and 29~5
PSN-2009-234,2009-10-30,Area 17 emergency closure 17.dd,sanitary closure,area 17 emergency closure xx
PTN-2009-234,2009-11-05,"Area 23 (except 23-5, 23-6 (except Useless Inlet), and 23-7 AND 23-10)",biotoxins,"area 23 (except 23~5, 23~6 (), and 23~7 and 23~10)"
PTN-2009-235,2009-11-05,"SA 23-5, 23-6 (except Useless Inlet), and 23-7 AND 23-10",biotoxins,"sa 23~5, 23~6 (), and 23~7 and 23~10"
PSN-2009-236,2009-11-06,"Area 14, Close Baynes Sound B and C",sanitary closure,"area 14, close baynes sound b and c"
PTN-2009-237,2009-11-06,"Area 23 (except 23-4, 23-5, 23-6 (except Useless Inlet), and 23-7 AND 23-10)",biotoxins,"area 23 (except 23~4, 23~5, 23~6 (), and 23~7 and 23~10)"
PTN-2009-238,2009-11-06,"SA 23-4, 23-5, 23-6 (except Useless Inlet), and 23-7 AND 23-10",biotoxins,"sa 23~4, 23~5, 23~6 (), and 23~7 and 23~10"
PTN-2009-239,2009-11-06,"Area 24, except SA 24-2, 24-6, 24-7. 24-8. and 24-9",biotoxins,"area 24, except sa 24~2, 24~6, 24~7. 24~8. and 24~9"
PTN-2009-240,2009-11-06,"SA 24-6, 24-7 and 24-8",biotoxins,"sa 24~6, 24~7 and 24~8"
PSN-2009-243,2009-11-17,"Area 13, add 13.22 (April Point, Quadra Island, 13.23 Church House, Calm Channel",sanitary closure,"area 13, add 13~22 (april point, quadra island, 13~23 church house, calm channel"
PSN-2009-244,2009-11-17,"Area 15, 15.16 modify Theodosia Inlet, 15.2 modify Freke Anchorage",sanitary closure,"area 15, 15~16 modify theodosia inlet, 15~2 modify freke anchorage"
PSN-2009-245,2009-11-17,"Area 18, 18.31 Camp Bay, 18.28 Bedwell Harbor",sanitary closure,"area 18, 18~31 camp bay, 18~28 bedwell harbor"
PSN-2009-246,2009-11-17,"Area 23, 23.17 Santa Maria Island",sanitary closure,"area 23, 23~17 santa maria island"
PSN-2009-247,2009-11-17,"Area 26, 26.5 Malksope Inlet, 26.19 Ououkinsh Inlet",sanitary closure,"area 26, 26~5 malksope inlet, 26~19 ououkinsh inlet"
PTN-2009-248,2009-11-12,"Area 23 (except 23-4, 23-5, 23-6, 23-7 and 23-10)",biotoxins,"area 23 (except 23~4, 23~5, 23~6, 23~7 and 23~10)"
PTN-2009-249,2009-11-12,"SA 23-4, 23-5, 23-6, 23-7 and 23-10",biotoxins,"sa 23~4, 23~5, 23~6, 23~7 and 23~10"
PSN-2009-252,2009-11-13,"Area 14, Close Baynes Sound B",sanitary closure,"area 14, close baynes sound b"
PTN-2009-254,2009-11-13,SA 7-12 and 7-15,biotoxins,sa 7~12 and 7~15
PSN-2009-255,2009-11-16,"Area 14, Add Baynes Sound A and B",sanitary closure,"area 14, add baynes sound a and b"
PSN-2009-256,2009-11-17,"Areas 14, 17, 18, 23 and 24",sanitary closure,"areas 14, 17, 18, 23 and 24"
PTN-2009-258,2009-11-20,"SA 7-12, 17-15, 17- 17 and 7-24",biotoxins,"sa 7~12, 17~15, 17- 17 and 7~24"
PSN-2009-261,2009-11-23,Poriton of Area 14 (14.bb) and 19 (19-8 Mill Bay),sanitary closure,poriton of area 14 (xx) and 19 (19~8 mill bay)
PTN-2009-263,2009-11-25,SA 15-4,biotoxins,sa 15~4
PTN-2009-264,2009-11-27,"Area 2 (except Subareas 2-1, 2-8, 2-9, 2-12, 2-13)",biotoxins,"area 2 (except subareas 2~1, 2~8, 2~9, 2~12, 2~13)"
PTN-2009-265,2009-11-27,"SA  2-8, 2-9, 2-12, 2-13",biotoxins,"sa 2~8, 2~9, 2~12, 2~13"
PTN-2009-270,2009-11-27,"Area 24, except SA 24-2, 24-3, 24-5, 24-6, 24-8, 24-9, 24-13, 24-14",biotoxins,"area 24, except sa 24~2, 24~3, 24~5, 24~6, 24~8, 24~9, 24~13, 24~14"
PTN-2009-271,2009-11-27,"SA 24-3, 24-5, 24-6, 24-8, 24-9, 24-13, 24-14",biotoxins,"sa 24~3, 24~5, 24~6, 24~8, 24~9, 24~13, 24~14"
PTN-2009-272,2009-11-27,SA 24-7,biotoxins,sa 24~7
PSN-2009-275,2009-12-02,"Area 14, Close Baynes Sound Mgmt. Areas B&C (Open A)",sanitary closure,"area 14, close baynes sound mgmt. areas b&c (open a)"
PSN-2009-280,2009-12-04,"Area 14, Close Baynes Sound Mgmt. Area C  (Open B)",sanitary closure,"area 14, close baynes sound mgmt. area c (open b)"
PSN-2009-283,2009-12-09,Area 14 - change description of 14.17 to NAD 83,sanitary closure,area 14 - change description of 14~17 to nad 83
PTN-2009-284,2009-12-11,SA 1-5,biotoxins,sa 1~5
PTN-2009-286,2009-12-11,"SA 7-12, 17-15, 17- 17, 7-21 and 7-24",biotoxins,"sa 7~12, 17~15, 17- 17, 7~21 and 7~24"
PTN-2009-289,2009-12-11,"SA  24-5, 24-7, 24-10, 24-12",biotoxins,"sa 24~5, 24~7, 24~10, 24~12"
PSN-2009-292,2009-12-16,"Area 14, Close Baynes Sound Mgmt. Areas A and C",sanitary closure,"area 14, close baynes sound mgmt. areas a and c"
PTN-2009-294,2009-12-18,"SA 7-12, 17-15, 7-21 and 7-24",biotoxins,"sa 7~12, 17~15, 7~21 and 7~24"
PTN-2009-295,2009-12-18,SA 7-18 and 7-25,biotoxins,sa 7~18 and 7~25
PTN-2009-296,2009-12-18,SA 7-17,biotoxins,sa 7~17
PSN-2009-300,2009-12-21,"Area 14, Close Baynes Sound Mgmt. Areas A, B and C",sanitary closure,"area 14, close baynes sound mgmt. areas a, b and c"
PTN-2010-4,2010-01-08,SA 13-18,biotoxins,sa 13~18
PSN-2010-9,2010-01-11,"Area 14, Close Baynes Sound Mgmt. Areas A, B and C",sanitary closure,"area 14, close baynes sound mgmt. areas a, b and c"
PSN-2010-10,2010-01-12,"Area 14; portions of SA 14-8, 14-11, 14-12 (14.ee)",sanitary closure,"area 14; portions of sa 14~8, 14~11, 14~12 (xx)"
PCH-2010-11,2010-01-15,Portion of 6-1(roll over PCH-2005-1),chemical closure,portion of 6~1(roll over pch-~1)
PTN-2010-12,2010-01-15,Area 21 and 22 (ROLL OVER),biotoxins,area 21 and 22 (roll over)
PTN-2010-13,2010-01-15,Subarea 10-5 (ROLL OVER),biotoxins,subarea 10~5 (roll over)
PTN-2010-15,2010-01-15,Subareas 16-14 and 16-15 (ROLL OVER),biotoxins,subareas 16~14 and 16~15 (roll over)
PSN-2010-16,2010-01-15,"Area 7, change 7.13 Yeo Cove (ROLL OVER)",sanitary closure,"area 7, change 7~13 yeo cove (roll over)"
PSN-2010-17,2010-01-15,"Area 6, Revoke 6.4 Sarah Island (ROLL OVER)",sanitary closure,"area 6, revoke 6~4 sarah island (roll over)"
PSN-2010-19,2010-01-15,Area 2,sanitary closure,area 2
PCH-2010-20,2010-01-15,"Chemical Closure-portion of Subarea 4-11 (Galloway Rapids, Kitimat).",chemical closure,"chemical closure-portion of subarea 4~11 (galloway rapids, kitimat)."
PTN-2010-21,2010-01-15,A Portion of Subarea 7-17,biotoxins,a portion of subarea 7~17
PSN-2010-22,2010-01-15,Area 24.PRISC. Revoked map 24.5 Atleo River,sanitary closure,area xx. revoked map 24~5 atleo river
PTN-2010-24,2010-01-15,"Area 28, roll over PTN-2007-8",biotoxins,"area 28, roll over ptn-~8"
PSN-2010-25,2010-01-15,"Area 27, closure 27.19, Clesklagh Creek",sanitary closure,"area 27, closure 27~19, clesklagh creek"
PSN-2010-26,2010-01-15,"Area 4, roll over",sanitary closure,"area 4, roll over"
PSN-2010-27,2010-01-15,"Area 5, roll over",sanitary closure,"area 5, roll over"
PSN-2010-28,2010-01-15,"Area 8, roll over",sanitary closure,"area 8, roll over"
