area,subarea,label
8,3,8~3
8,4,8~4
8,5,8~5
8,6,8~6
8,7,8~7
8,8,8~8
8,9,8~9
8,10,8~10
8,11,8~11
8,12,8~12
8,13,8~13
8,14,8~14
8,15,8~15
8,16,8~16
9,1,9~1
9,2,9~2
9,3,9~3
9,4,9~4
9,5,9~5
9,6,9~6
9,7,9~7
9,8,9~8
9,9,9~9
9,10,9~10
9,11,9~11
9,12,9~12
10,1,10~1
10,2,10~2
10,3,10~3
10,4,10~4
10,5,10~5
10,6,10~6
10,7,10~7
10,8,10~8
10,9,10~9
10,10,10~10
10,11,10~11
10,12,10~12
11,1,11~1
11,2,11~2
11,3,11~3
11,4,11~4
11,5,11~5
11,6,11~6
11,7,11~7
11,8,11~8
11,9,11~9
11,10,11~10
12,1,12~1
12,2,12~2
12,3,12~3
12,4,12~4
12,5,12~5
12,6,12~6
12,7,12~7
12,8,12~8
12,9,12~9
12,10,12~10
12,11,12~11
12,12,12~12
12,13,12~13
12,14,12~14
12,14,12~14
12,15,12~15
12,16,12~16
12,17,12~17
12,18,12~18
12,19,12~19
12,20,12~20
12,21,12~21
12,22,12~22
12,23,12~23
12,24,12~24
12,25,12~25
12,26,12~26
12,27,12~27
12,28,12~28
12,29,12~29
12,30,12~30
12,31,12~31
12,32,12~32
12,33,12~33
12,34,12~34
12,35,12~35
12,36,12~36
12,37,12~37
12,38,12~38
12,39,12~39
12,40,12~40
12,41,12~41
12,42,12~42
12,43,12~43
12,44,12~44
12,45,12~45
12,46,12~46
12,47,12~47
12,48,12~48
13,1,13~1
13,2,13~2
13,3,13~3
13,4,13~4
13,5,13~5
13,6,13~6
13,7,13~7
13,8,13~8
13,9,13~9
13,10,13~10
13,11,13~11
13,12,13~12
13,13,13~13
13,14,13~14
13,15,13~15
13,16,13~16
13,17,13~17
13,18,13~18
13,19,13~19
13,20,13~20
13,21,13~21
13,22,13~22
13,23,13~23
13,24,13~24
13,25,13~25
13,26,13~26
13,27,13~27
13,28,13~28
13,29,13~29
13,30,13~30
13,31,13~31
13,32,13~32
13,33,13~33
13,34,13~34
13,35,13~35
13,36,13~36
13,37,13~37
13,38,13~38
13,39,13~39
13,40,13~40
13,41,13~41
13,42,13~42
13,43,13~43
14,1,14~1
14,2,14~2
14,3,14~3
14,4,14~4
14,5,14~5
14,6,14~6
14,7,14~7
14,8,14~8
14,9,14~9
14,10,14~10
14,11,14~11
14,12,14~12
14,13,14~13
14,14,14~14
14,15,14~15
15,1,15~1
15,2,15~2
15,3,15~3
15,4,15~4
15,5,15~5
15,6,15~6
16,1,16~1
16,2,16~2
16,3,16~3
16,4,16~4
16,5,16~5
16,6,16~6
16,7,16~7
16,8,16~8
16,9,16~9
16,10,16~10
16,11,16~11
16,12,16~12
16,13,16~13
16,14,16~14
16,15,16~15
16,16,16~16
16,17,16~17
16,18,16~18
16,19,16~19
16,20,16~20
16,21,16~21
16,22,16~22
17,1,17~1
17,2,17~2
17,3,17~3
17,4,17~4
17,5,17~5
17,6,17~6
17,7,17~7
17,8,17~8
17,9,17~9
17,10,17~10
17,11,17~11
17,12,17~12
17,13,17~13
17,14,17~14
17,15,17~15
17,16,17~16
17,17,17~17
17,18,17~18
17,19,17~19
17,20,17~20
17,21,17~21
18,1,18~1
18,2,18~2
18,3,18~3
18,4,18~4
18,5,18~5
18,6,18~6
18,7,18~7
18,8,18~8
18,9,18~9
18,10,18~10
18,11,18~11
19,1,19~1
19,2,19~2
19,3,19~3
19,4,19~4
19,5,19~5
19,6,19~6
19,7,19~7
19,8,19~8
19,9,19~9
19,10,19~10
19,11,19~11
19,12,19~12
20,1,20~1
20,2,20~2
20,3,20~3
20,4,20~4
20,5,20~5
20,6,20~6
20,7,20~7
21,0,21~0
22,0,22~0
23,1,23~1
23,2,23~2
23,3,23~3
23,4,23~4
23,5,23~5
23,6,23~6
23,7,23~7
23,8,23~8
23,9,23~9
23,10,23~10
23,11,23~11
24,1,24~1
24,2,24~2
24,3,24~3
24,4,24~4
24,5,24~5
24,6,24~6
24,7,24~7
24,8,24~8
24,9,24~9
24,10,24~10
24,11,24~11
24,12,24~12
24,13,24~13
24,14,24~14
25,1,25~1
25,2,25~2
25,3,25~3
25,4,25~4
25,5,25~5
25,6,25~6
25,7,25~7
25,8,25~8
25,9,25~9
25,10,25~10
25,11,25~11
25,12,25~12
25,13,25~13
25,14,25~14
25,15,25~15
25,16,25~16
26,1,26~1
26,2,26~2
26,3,26~3
26,4,26~4
26,5,26~5
26,6,26~6
26,7,26~7
26,8,26~8
26,9,26~9
26,10,26~10
26,11,26~11
27,1,27~1
27,1,27~1
27,2,27~2
27,3,27~3
27,4,27~4
27,5,27~5
27,6,27~6
27,7,27~7
27,8,27~8
27,9,27~9
27,10,27~10
27,11,27~11
28,1,28~1
28,2,28~2
28,3,28~3
28,4,28~4
28,5,28~5
28,6,28~6
28,7,28~7
28,8,28~8
28,9,28~9
28,10,28~10
28,11,28~11
28,12,28~12
28,13,28~13
28,14,28~14
29,1,29~1
29,2,29~2
29,3,29~3
29,4,29~4
29,5,29~5
29,6,29~6
29,7,29~7
29,8,29~8
29,9,29~9
29,10,29~10
29,11,29~11
29,12,29~12
29,13,29~13
29,14,29~14
29,15,29~15
29,16,29~16
29,17,29~17
101,1,101~1
101,2,101~2
101,3,101~3
101,4,101~4
101,5,101~5
101,6,101~6
101,7,101~7
101,8,101~8
101,9,101~9
101,10,101~10
102,1,102~1
102,2,102~2
102,3,102~3
103,0,103~0
104,1,104~1
104,2,104~2
104,3,104~3
104,4,104~4
104,5,104~5
105,1,105~1
105,2,105~2
106,1,106~1
106,2,106~2
107,1,107~1
107,2,107~2
107,3,107~3
108,1,108~1
108,2,108~2
109,0,109~0
110,0,110~0
111,0,111~0
121,1,121~1
121,2,121~2
121,3,121~3
123,1,123~1
123,2,123~2
123,3,123~3
123,4,123~4
123,5,123~5
123,6,123~6
123,7,123~7
123,8,123~8
123,9,123~9
124,1,124~1
124,2,124~2
124,3,124~3
124,4,124~4
125,1,125~1
125,2,125~2
125,3,125~3
125,4,125~4
125,5,125~5
125,6,125~6
126,1,126~1
126,2,126~2
126,3,126~3
126,4,126~4
127,1,127~1
127,2,127~2
127,3,127~3
127,4,127~4
130,1,130~1
130,2,130~2
130,3,130~3
142,1,142~1
142,2,142~2
