targets,layer,name,description,fld_value,units,path_in,path_in_exists,filename,path_out
FP,fp_wildcaught_weight,Food provision weights,Proportion of wild caught fisheries to mariculture,resilience_score,proportion,~/github/ohibc/calc_ohibc/master/dummy_layers/wgi_all_gl2016.csv,TRUE,fp_wildcaught_weight.csv,~/github/ohibc/calc_ohibc/layers/fp_wildcaught_weight.csv
HAB CP CS,hab_ebsa_health,EBSA habitat condition,Current condition of EBSA habitat based on trawled area,trawled_area,trawled area,~/github/ohibc/prep/hab_cs_cp/v2017/output/hab_ebsa_trawl.csv,TRUE,hab_ebsa_health.csv,~/github/ohibc/calc_ohibc/layers/hab_ebsa_health.csv
HAB CP CS,hab_extent,Habitat extent,"Area of habitats: mangrove, saltmarsh, seagrass, soft-bottom, seaice, coral",resilience_score,km2,~/github/ohibc/calc_ohibc/master/dummy_layers/wgi_all_gl2016.csv,TRUE,hab_extent.csv,~/github/ohibc/calc_ohibc/layers/hab_extent.csv
HAB CP CS,hab_sb_health,Soft Bottom habitat condition,Current condition of soft bottom habitat based on trawl effort,mean_hr_area,proportion,~/github/ohibc/prep/hab_cs_cp/v2017/output/hab_soft_btm_trawl.csv,TRUE,hab_sb_health.csv,~/github/ohibc/calc_ohibc/layers/hab_sb_health.csv
HAB CP CS,hab_trend,Habitat condition trend,Estimated change in habitat condition during most recent 5 years,resilience_score,trend,~/github/ohibc/calc_ohibc/master/dummy_layers/wgi_all_gl2016.csv,TRUE,hab_trend.csv,~/github/ohibc/calc_ohibc/layers/hab_trend.csv
HAB CS,hab_cf_health,Coastal forest habitat condition,Current condition of coastal forest habitat relative to historical condition,cf_area_km2,proportion,~/github/ohibc/prep/hab_cs_cp/v2017/output/hab_cf_area.csv,TRUE,hab_cf_health.csv,~/github/ohibc/calc_ohibc/layers/hab_cf_health.csv
HAB CS,hab_sm_health,Salt marsh habitat condition,Current condition of salt marsh habitat relative to historical condition,sm_area_km2,proportion,~/github/ohibc/prep/hab_cs_cp/v2017/output/hab_sm_area.csv,TRUE,hab_sm_health.csv,~/github/ohibc/calc_ohibc/layers/hab_sm_health.csv
ICO,ico_spp_presence,Region ID,List of iconic species and the regions in which they are found according to IUCN or Aquamaps,rgn_id,ICO spp presence within OHIBC regions,~/github/ohibc/prep/spp_ico/v2017/output/ico_spp_by_rgn.csv,TRUE,ico_spp_presence.csv,~/github/ohibc/calc_ohibc/layers/ico_spp_presence.csv
ICO,ico_spp_risk_score,IUCN or BCSEE extinction risk score,IUCN or BCSEE scored extinction risk category for iconic species per assessment year,risk_score,IUCN or BCSEE risk category score,~/github/ohibc/prep/spp_ico/v2017/output/ico_risk_by_year.csv,TRUE,ico_spp_risk_score.csv,~/github/ohibc/calc_ohibc/layers/ico_spp_risk_score.csv
ICO,ico_spp_trend,IUCN and COSEWIC trend,IUCN text field of population trend OR COSEWIC species health time series trend,iucn_pop_trend,IUCN and COSEWIC trend,~/github/ohibc/prep/spp_ico/v2017/output/ico_trend_by_id.csv,TRUE,ico_spp_trend.csv,~/github/ohibc/calc_ohibc/layers/ico_spp_trend.csv
LIV,liv_income,dollars,Median household income,median_income,??? Canadian dollars,~/github/ohibc/prep/le/v2017/output/liv_income.csv,TRUE,liv_income.csv,~/github/ohibc/calc_ohibc/layers/liv_income.csv
LIV,liv_unemployment,unemployment rate,Mean unemployment rate,unemployment_rate,proportion unemployed 0-1,~/github/ohibc/prep/le/v2017/output/liv_unemployment.csv,TRUE,liv_unemployment.csv,~/github/ohibc/calc_ohibc/layers/liv_unemployment.csv
LSP,lsp_prot_area_inland_ws,Inland coastal protected areas,Protected areas located 1 km inland,a_prot_inland,km2,~/github/ohibc/prep/lsp/v2017/output/lsp_protected_inland_ws.csv,TRUE,lsp_prot_area_inland_ws.csv,~/github/ohibc/calc_ohibc/layers/lsp_prot_area_inland_ws.csv
LSP,lsp_prot_area_offshore3nm,Offshore coastal protected areas,Protected areas located 3nm offshore,a_prot_3nm,km2,~/github/ohibc/prep/lsp/v2017/output/lsp_protected_offshore3nm.csv,TRUE,lsp_prot_area_offshore3nm.csv,~/github/ohibc/calc_ohibc/layers/lsp_prot_area_offshore3nm.csv
LSP,lsp_tot_area_inland_ws,Inland area,Inland area of OHI regions within 1km of shoreline,a_tot_inland,km2,~/github/ohibc/prep/lsp/v2017/output/lsp_a_total_inland_ws.csv,TRUE,lsp_tot_area_inland_ws.csv,~/github/ohibc/calc_ohibc/layers/lsp_tot_area_inland_ws.csv
LSP,lsp_tot_area_offshore3nm,Offshore area,Offshore area of OHI regions within 3nm of shoreline,a_tot_3nm,km2,~/github/ohibc/prep/lsp/v2017/output/lsp_a_total_offshore3nm.csv,TRUE,lsp_tot_area_offshore3nm.csv,~/github/ohibc/calc_ohibc/layers/lsp_tot_area_offshore3nm.csv
MAR,mar_harvest_tonnes,Mariculture harvest,Tonnes of mariculture harvest,harvest_tonnes,tonnes,~/github/ohibc/prep/mar/v2017/output/aq_harvest.csv,TRUE,mar_harvest_tonnes.csv,~/github/ohibc/calc_ohibc/layers/mar_harvest_tonnes.csv
MAR,mar_potential,Aquaculture production potential,Aquaculture production potential for finfish and shellfish at different reference levels,potential,tonnes per km2 per year,~/github/ohibc/prep/mar/v2017/output/aq_potential.csv,TRUE,mar_potential.csv,~/github/ohibc/calc_ohibc/layers/mar_potential.csv
MAR,mar_tenure_areas,Aquaculture tenure area,DFO aquaculture tenures,area_km2,km^2,~/github/ohibc/prep/mar/v2017/output/aq_areas.csv,TRUE,mar_tenure_areas.csv,~/github/ohibc/calc_ohibc/layers/mar_tenure_areas.csv
pressure,cc_acid,Ocean acidification,Ocean acidification pressure scaled using biological thresholds,pressure,scaled 0-1,~/github/ohibc/prep/_pressures/v2017/output/prs_oa_layer.csv,TRUE,cc_acid.csv,~/github/ohibc/calc_ohibc/layers/cc_acid.csv
pressure,cc_slr,Sea level rise,Sea level rise pressure,pressure,scaled 0-1,~/github/ohibc/prep/_pressures/v2017/output/prs_slr_layer.csv,TRUE,cc_slr.csv,~/github/ohibc/calc_ohibc/layers/cc_slr.csv
pressure,cc_sst,Sea surface temperature anomolies,Sea surface temperature anomolies,pressure,scaled 0-1,~/github/ohibc/prep/_pressures/v2017/output/prs_sst_layer.csv,TRUE,cc_sst.csv,~/github/ohibc/calc_ohibc/layers/cc_sst.csv
pressure,cc_uv,UV radiation pressure,Modeled UV radiation based on Erythemal UV Irradiance data provided by GES DISC.,pressure_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/cc_uv_gl2016.csv,TRUE,cc_uv.csv,~/github/ohibc/calc_ohibc/layers/cc_uv.csv
pressure,fp_art_hb,High bycatch due to artisanal fishing,The presence of destructive artisanal blast and poison (cyanide) fishing.,pressure_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/fp_art_hb_gl2016placeholder.csv,TRUE,fp_art_hb.csv,~/github/ohibc/calc_ohibc/layers/fp_art_hb.csv
pressure,fp_art_lb,Low bycatch due to artisanal fishing,"Extent of artisanal fishing (including: artisanal, subsistence, and recreational catch)",pressure_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/fp_art_lb_gl2016.csv,TRUE,fp_art_lb.csv,~/github/ohibc/calc_ohibc/layers/fp_art_lb.csv
pressure,fp_com_hb,High bycatch due to commercial fishing,Modeled destructive commercial fishing practices by 5 gear types and scaled by Net Primary Productivity,pressure_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/fp_com_hb_gl2016.csv,TRUE,fp_com_hb.csv,~/github/ohibc/calc_ohibc/layers/fp_com_hb.csv
pressure,fp_com_lb,Low bycatch due to commercial fishing,Modeled destructive commercial fishing practices by 2 gear types and scaled by Net Primary Productivity,pressure_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/fp_com_lb_gl2016.csv,TRUE,fp_com_lb.csv,~/github/ohibc/calc_ohibc/layers/fp_com_lb.csv
pressure,fp_targetharvest,Targeted harvest of cetaceans and marine turtles,Targeted harvest of cetaceans and marine turtles,pressure_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/fp_targetharvest_gl2016.csv,TRUE,fp_targetharvest.csv,~/github/ohibc/calc_ohibc/layers/fp_targetharvest.csv
pressure,hd_habitat,Management and protection of habitat to preserve biodiversity,Survey responses by country to the Convention on Biologicial Diversity (CBD) Third National Report: habitat related questions,resilience_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/hd_habitat_gl2016.csv,TRUE,hd_habitat.csv,~/github/ohibc/calc_ohibc/layers/hd_habitat.csv
pressure,hd_intertidal,Intertidal habitat destruction,Coastal population density (25 mi from shore)  as a proxy for intertidal habitat destruction,pressure_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/hd_intertidal_gl2016.csv,TRUE,hd_intertidal.csv,~/github/ohibc/calc_ohibc/layers/hd_intertidal.csv
pressure,hd_subtidal_hb,Subtidal hardbottom habitat destruction,High bycatch artisanal fishing practices (blast fishing) as a proxy for subtidal hard bottom habitat destruction,score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/hd_subtidal_hb_gl2016placeholder.csv,TRUE,hd_subtidal_hb.csv,~/github/ohibc/calc_ohibc/layers/hd_subtidal_hb.csv
pressure,hd_subtidal_sb,Subtidal softbottom habitat destruction,"Demersal destructive commercial fishing practices (i.e., trawling) in softbottom habitat as a proxy for soft bottom habitat destruction",pressure_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/hd_subtidal_sb_gl2016.csv,TRUE,hd_subtidal_sb.csv,~/github/ohibc/calc_ohibc/layers/hd_subtidal_sb.csv
pressure,po_chemicals,Chemical pollution,"Modeled chemical pollution from commercial shipping traffic, ports and harbors, and pesticide use",chem_pressure,scaled 0-1,~/github/ohibc/prep/cw/v2017/output/po_chemical.csv,TRUE,po_chemicals.csv,~/github/ohibc/calc_ohibc/layers/po_chemicals.csv
pressure,po_nutrients,Nutrient pollution,Modeled data based on fertilizer consumption from the Food and Agricultural Organization,nutr_pressure,scaled 0-1,~/github/ohibc/prep/cw/v2017/output/po_nutrient.csv,TRUE,po_nutrients.csv,~/github/ohibc/calc_ohibc/layers/po_nutrients.csv
pressure,po_water,Management and regulations to control water pollution to preserve biodiversity,Survey responses by country to the Convention on Biologicial Diversity (CBD) Third National Report: tourism related questions,resilience_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/po_water_gl2016.csv,TRUE,po_water.csv,~/github/ohibc/calc_ohibc/layers/po_water.csv
pressure,sp_alien,Nonindigenous species,Measure of harmful invasive species,pressure,scaled 0-1,~/github/ohibc/prep/_pressures/v2017/output/prs_inv_spp.csv,TRUE,sp_alien.csv,~/github/ohibc/calc_ohibc/layers/sp_alien.csv
pressure,sp_genetic,Genetic escapes,Introduced mariculture species (Mariculture Sustainability Index) as a proxy for genetic escapes,pressure,scaled 0-1,~/github/ohibc/prep/_pressures/v2017/output/prs_genesc.csv,TRUE,sp_genetic.csv,~/github/ohibc/calc_ohibc/layers/sp_genetic.csv
pressure,ss_spi,Weakness of social progress,Inverse of Social Progress Index scores,pressure_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/ss_spi_gl2016.csv,TRUE,ss_spi.csv,~/github/ohibc/calc_ohibc/layers/ss_spi.csv
pressure,ss_wgi,Weakness of governance,Inverse of World Governance Indicators (WGI) six combined scores,pressure_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/ss_wgi_gl2016.csv,TRUE,ss_wgi.csv,~/github/ohibc/calc_ohibc/layers/ss_wgi.csv
pressure resilience,element_wts_cp_km2_x_protection,Coastal protection weights,"Habitat extent multiplied by habitat protection rank for: coral, mangrove (offshore and inland 1km), saltmarsh, sea ice (shoreline), and seagrass",extent_rank,extent*rank,~/github/ohibc/calc_ohibc/master/dummy_layers/element_wts_cp_km2_x_protection_gl2016.csv,TRUE,element_wts_cp_km2_x_protection.csv,~/github/ohibc/calc_ohibc/layers/element_wts_cp_km2_x_protection.csv
pressure resilience,element_wts_cs_km2_x_storage,Carbon storage weights,"Habitat extent multiplied by carbon storage capacity for:  mangrove (offshore and inland 1km), saltmarsh, and sea ice",extent_rank,extent*storage,~/github/ohibc/calc_ohibc/master/dummy_layers/element_wts_cs_km2_x_storage_gl2016.csv,TRUE,element_wts_cs_km2_x_storage.csv,~/github/ohibc/calc_ohibc/layers/element_wts_cs_km2_x_storage.csv
pressure resilience,element_wts_hab_pres_abs,Habitat weights,List of habitats in each region,boolean,boolean,~/github/ohibc/calc_ohibc/master/dummy_layers/element_wts_hab_pres_abs_gl2016.csv,TRUE,element_wts_hab_pres_abs.csv,~/github/ohibc/calc_ohibc/layers/element_wts_hab_pres_abs.csv
resilience,fp_habitat,Management and protection of habitat to preserve biodiversity (fisheries),Survey responses by country to the Convention on Biologicial Diversity (CBD) Third National Report: habitat related questions,resilience_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/fp_habitat_gl2016.csv,TRUE,fp_habitat.csv,~/github/ohibc/calc_ohibc/layers/fp_habitat.csv
resilience,fp_mora,Commercial fishing management,Regulations and management of commerical fishing,value,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/fp_mora_gl2016.csv,TRUE,fp_mora.csv,~/github/ohibc/calc_ohibc/layers/fp_mora.csv
resilience,fp_mora_artisanal,Artisanal fisheries management effectiveness and opportunity,The opportunity for artisanal and recreational fishing based on the quality of management of the small-scale fishing sector,value,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/fp_mora_artisanal_gl2016.csv,TRUE,fp_mora_artisanal.csv,~/github/ohibc/calc_ohibc/layers/fp_mora_artisanal.csv
resilience,fp_mpa_coast,Coastal protected marine areas to protect fishery resources,Protected marine areas within 3nm of coastline (lasting special places goal calculated for coastal zone),resilience_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/fp_mpa_coast_gl2016.csv,TRUE,fp_mpa_coast.csv,~/github/ohibc/calc_ohibc/layers/fp_mpa_coast.csv
resilience,fp_mpa_eez,EEZ protected marine areas to protect fishery resources,Protected marine areas within EEZ to protect fishery resource (lasting special places goal results),resilience_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/fp_mpa_eez_gl2016.csv,TRUE,fp_mpa_eez.csv,~/github/ohibc/calc_ohibc/layers/fp_mpa_eez.csv
resilience,g_cites,CITES signatories,Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) signatories,resilience_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/g_cites_gl2016.csv,TRUE,g_cites.csv,~/github/ohibc/calc_ohibc/layers/g_cites.csv
resilience,g_mariculture,Management of mariculture practices to preserve biodiversity,Survey responses by country to the Convention on Biologicial Diversity (CBD) Third National Report: mariculture related questions,resilience_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/g_mariculture_gl2016.csv,TRUE,g_mariculture.csv,~/github/ohibc/calc_ohibc/layers/g_mariculture.csv
resilience,g_msi_gov,Mariculture Sustainability Index,Mariculture practice assessment criteria from the Mariculture Sustainability Index (MSI),resilience_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/g_msi_gov_gl2016.csv,TRUE,g_msi_gov.csv,~/github/ohibc/calc_ohibc/layers/g_msi_gov.csv
resilience,g_tourism,Management of tourism to preserve biodiversity,Survey responses by country to the Convention on Biologicial Diversity (CBD) Third National Report: tourism related questions,resilience_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/g_tourism_gl2016.csv,TRUE,g_tourism.csv,~/github/ohibc/calc_ohibc/layers/g_tourism.csv
resilience,hd_mpa_coast,Coastal protected marine areas to protect against habitat destruction,Protected marine areas within 3nm of coastline (lasting special places goal status score),resilience_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/hd_mpa_coast_gl2016.csv,TRUE,hd_mpa_coast.csv,~/github/ohibc/calc_ohibc/layers/hd_mpa_coast.csv
resilience,hd_mpa_eez,Protected marine areas within EEZ to protect against habitat destruction,Protected marine areas within EEZ (lasting special places status score for entire EEZ),resilience_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/hd_mpa_eez_gl2016.csv,TRUE,hd_mpa_eez.csv,~/github/ohibc/calc_ohibc/layers/hd_mpa_eez.csv
resilience,li_gci,Competitiveness in achieving sustained economic prosperity,Global Competitiveness Index (GCI) scores from the World Economic Forum,score,scaled,~/github/ohibc/calc_ohibc/master/dummy_layers/li_gci_gl2016.csv,TRUE,li_gci.csv,~/github/ohibc/calc_ohibc/layers/li_gci.csv
resilience,li_sector_evenness,Sector evenness as a measure of economic diversity,Shannon's Diversity Index calculated sector evenness based on the total number of sectors and the proportion of jobs belonging to any sector,resilience_score,scaled,~/github/ohibc/calc_ohibc/master/dummy_layers/li_sector_evenness_gl2016.csv,TRUE,li_sector_evenness.csv,~/github/ohibc/calc_ohibc/layers/li_sector_evenness.csv
resilience,res_spi,Social Progress Index,Social Progress Index scores,resilience_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/res_spi_gl2016.csv,TRUE,res_spi.csv,~/github/ohibc/calc_ohibc/layers/res_spi.csv
resilience,sp_alien_species,Management of nonindigenous species,Survey responses by country to the Convention on Biologicial Diversity (CBD) Third National Report: invasive species related questions,resilience_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/sp_alien_species_gl2016.csv,TRUE,sp_alien_species.csv,~/github/ohibc/calc_ohibc/layers/sp_alien_species.csv
resilience,species_diversity_3nm,Measure of coastal ecological integrity,Marine species condition (same calculation and data as the species subgoal status score)  calculated within 3 nm of shoreline as a proxy for ecological integrity,status,scaled 0-1,~/github/ohibc/prep/spp_ico/v2017/output/spp_status_3nm.csv,TRUE,species_diversity_3nm.csv,~/github/ohibc/calc_ohibc/layers/species_diversity_3nm.csv
resilience,wgi_all,Strength of governance,World Governance Indicators (WGI) six combined scores,resilience_score,scaled 0-1,~/github/ohibc/calc_ohibc/master/dummy_layers/wgi_all_gl2016.csv,TRUE,wgi_all.csv,~/github/ohibc/calc_ohibc/layers/wgi_all.csv
spatial,rgn_area,Region areas based on EEZ boundaries,Area of Ocean Health Index regions modified from exclusive economic zones,area_km2,km2,~/github/ohibc/calc_ohibc/master/dummy_layers/rgn_area.csv,TRUE,rgn_area.csv,~/github/ohibc/calc_ohibc/layers/rgn_area.csv
spatial,rgn_labels,Regions,"Regions by type (eez, subocean, unclaimed)",label,label,~/github/ohibc/calc_ohibc/master/dummy_layers/rgn_labels.csv,TRUE,rgn_labels.csv,~/github/ohibc/calc_ohibc/layers/rgn_labels.csv
SPP,spp_pop_trends,Species population trend,Species population trend based on most recent IUCN Red List assessment,iucn_pop_trend,'stable' 'increasing' or 'decreasing',~/github/ohibc/prep/spp_ico/v2017/output/spp_trend_by_id.csv,TRUE,spp_pop_trends.csv,~/github/ohibc/calc_ohibc/layers/spp_pop_trends.csv
SPP,spp_range_areas,Species range as pct of region,Species range as a percent of region area as determined by IUCN or AquaMaps range maps,spp_pct_area,percent of area,~/github/ohibc/prep/spp_ico/v2017/output/spp_area_by_rgn.csv,TRUE,spp_range_areas.csv,~/github/ohibc/calc_ohibc/layers/spp_range_areas.csv
SPP,spp_risk_scores,Species risk category score,Species risk score based on IUCN Red List extinction risk category,risk_score,rescaled category score,~/github/ohibc/prep/spp_ico/v2017/output/spp_risk_by_year.csv,TRUE,spp_risk_scores.csv,~/github/ohibc/calc_ohibc/layers/spp_risk_scores.csv
TR,tr_park_visits,Number of visitors,Number of visitors to provincial parks in OHIBC regions,visits_wt,count,~/github/ohibc/prep/tr/v2017/output/park_visits.csv,TRUE,tr_park_visits.csv,~/github/ohibc/calc_ohibc/layers/tr_park_visits.csv
TR,tr_park_visits_all,Number of visitors,Number of visitors to provincial parks in all BC province,visits,count,~/github/ohibc/prep/tr/v2017/output/park_visits_all.csv,TRUE,tr_park_visits_all.csv,~/github/ohibc/calc_ohibc/layers/tr_park_visits_all.csv
TR,tr_vis_ctr_visits,Number of visitors,Number of visitors to visitor centers in OHIBC regions,visits,count,~/github/ohibc/prep/tr/v2017/output/vis_ctr_visits.csv,TRUE,tr_vis_ctr_visits.csv,~/github/ohibc/calc_ohibc/layers/tr_vis_ctr_visits.csv
TR,tr_vis_ctr_visits_all,Number of visitors,Number of visitors to visitor centers in all BC Province,visits,count,~/github/ohibc/prep/tr/v2017/output/vis_ctr_visits_all.csv,TRUE,tr_vis_ctr_visits_all.csv,~/github/ohibc/calc_ohibc/layers/tr_vis_ctr_visits_all.csv
