am_sid,iucn_sid,map_iucn_sid,map_subpop,sciname,spp_group,spatial_source,cat_code,cat_score,pop_trend,trend_score
ITS-Mam-180514,13252,13252,NA,Mesoplodon stejnegeri,MARINE_MAMMALS,iucn,DD,NA,NA,NA
ITS-Mam-180672,13581,13581,NA,Mirounga angustirostris,MARINE_MAMMALS,iucn,LC,0,increasing,0.5
ITS-Mam-180469,15421,15421,NA,Orcinus orca,MARINE_MAMMALS,iucn,DD,NA,NA,NA
ITS-Mam-180649,17013,17013,NA,Phoca vitulina,MARINE_MAMMALS,iucn,LC,0,unknown,NA
ITS-Mam-180473,17027,17027,NA,Phocoena phocoena,MARINE_MAMMALS,iucn,LC,0,unknown,NA
ITS-Mam-180480,17032,17032,NA,Phocoenoides dalli,MARINE_MAMMALS,iucn,LC,0,unknown,NA
ITS-Mam-180463,18596,18596,NA,Pseudorca crassidens,MARINE_MAMMALS,iucn,DD,NA,NA,NA
ITS-Mam-180434,20731,20731,NA,Stenella coeruleoalba,MARINE_MAMMALS,iucn,LC,0,unknown,NA
Fis-22832,21856,21856,NA,Thunnus alalunga,TUNAS_BILLFISHES,iucn,NT,0.2,decreasing,-0.5
Fis-22836,21859,21859,NA,Thunnus obesus,TUNAS_BILLFISHES,iucn,VU,0.4,decreasing,-0.5
ITS-Mam-180498,23211,23211,NA,Ziphius cavirostris,MARINE_MAMMALS,iucn,LC,0,unknown,NA
Fis-24153,39324,39324,NA,Notorynchus cepedianus,CHONDRICHTHYES,iucn,DD,NA,NA,NA
Fis-29541,39328,39328,NA,Squatina californica,CHONDRICHTHYES,iucn,NT,0.2,decreasing,-0.5
Fis-23899,39339,39339,NA,Alopias vulpinus,CHONDRICHTHYES,iucn,VU,0.4,decreasing,-0.5
Fis-58485,39341,39341,NA,Isurus oxyrinchus,CHONDRICHTHYES,iucn,VU,0.4,decreasing,-0.5
Fis-29426,39342,39342,NA,Lamna ditropis,CHONDRICHTHYES,iucn,LC,0,stable,0
Fis-25233,39352,39352,NA,Galeorhinus galeus,CHONDRICHTHYES,iucn,VU,0.4,decreasing,-0.5
Fis-23222,39381,39381,NA,Prionace glauca,CHONDRICHTHYES,iucn,NT,0.2,unknown,NA
Fis-30722,39396,39396,NA,Tetronarce californica,CHONDRICHTHYES,iucn,LC,0,unknown,NA
ITS-Mam-180621,41666,41666,NA,Zalophus californianus,MARINE_MAMMALS,iucn,LC,0,increasing,0.5
ITS-Mam-180488,41755,41755,NA,Physeter macrocephalus,MARINE_MAMMALS,iucn,VU,0.4,unknown,NA
Fis-30562,44183,44183,NA,Beringraja binoculata,CHONDRICHTHYES,iucn,LC,0,stable,0
Fis-22998,44209,44209,NA,Apristurus brunneus,CHONDRICHTHYES,iucn,DD,NA,NA,NA
Fis-24068,60191,60191,NA,Hydrolagus colliei,CHONDRICHTHYES,iucn,LC,0,increasing,0.5
Fis-23213,60231,60231,NA,Parmaturus xaniurus,CHONDRICHTHYES,iucn,LC,0,unknown,NA
Fis-131852,63119,63119,NA,Amblyraja hyperborea,CHONDRICHTHYES,iucn,LC,0,unknown,NA
NA,153538,153538,NA,Zostera marina,SEAGRASSES,iucn,LC,0,decreasing,-0.5
Fis-131458,161350,161350,NA,Bathyraja maculata,CHONDRICHTHYES,iucn,LC,0,unknown,NA
Fis-24315,161375,161375,NA,Bathyraja trachura,CHONDRICHTHYES,iucn,LC,0,stable,0
NA,161402,161402,NA,Bathyraja interrupta,CHONDRICHTHYES,iucn,LC,0,increasing,0.5
Fis-30664,161403,161403,NA,Somniosus pacificus,CHONDRICHTHYES,iucn,DD,NA,NA,NA
Fis-131850,161452,161452,NA,Amblyraja badia,CHONDRICHTHYES,iucn,LC,0,unknown,NA
Fis-30566,161466,161466,NA,Raja inornata,CHONDRICHTHYES,iucn,LC,0,stable,0
Fis-24311,161471,161471,NA,Bathyraja parmifera,CHONDRICHTHYES,iucn,LC,0,unknown,NA
Fis-24312,161595,161595,NA,Raja rhina,CHONDRICHTHYES,iucn,LC,0,stable,0
Fis-24314,161629,161629,NA,Raja stellulata,CHONDRICHTHYES,iucn,LC,0,unknown,NA
Fis-24308,161661,161661,NA,Bathyraja aleutica,CHONDRICHTHYES,iucn,LC,0,stable,0
Fis-24310,161706,161706,NA,Bathyraja kincaidii,CHONDRICHTHYES,iucn,DD,NA,NA,NA
Fis-29507,170306,170306,NA,Scomber japonicus,TUNAS_BILLFISHES,iucn,LC,0,stable,0
Fis-22777,170310,170310,NA,Katsuwonus pelamis,TUNAS_BILLFISHES,iucn,LC,0,stable,0
Fis-123736,170341,170341,NA,Thunnus orientalis,TUNAS_BILLFISHES,iucn,VU,0.4,decreasing,-0.5
Fis-21631,170352,170352,NA,Sarda chiliensis,TUNAS_BILLFISHES,iucn,LC,0,decreasing,-0.5
NA,173320,173320,NA,Phyllospadix torreyi,SEAGRASSES,iucn,LC,0,stable,0
NA,173348,173348,NA,Zostera japonica,SEAGRASSES,iucn,LC,0,increasing,0.5
NA,173366,173366,NA,Phyllospadix serrulatus,SEAGRASSES,iucn,LC,0,stable,0
NA,173367,173367,NA,Phyllospadix scouleri,SEAGRASSES,iucn,LC,0,stable,0
NA,173373,173373,NA,Zostera pacifica,SEAGRASSES,iucn,LC,0,unknown,NA
NA,180325,180325,NA,Paelopatides confundens,SEACUCUMBERS,iucn,DD,NA,NA,NA
NA,180331,180331,NA,Mesothuria murrayi,SEACUCUMBERS,iucn,LC,0,unknown,NA
W-Hol-152565,180381,180381,NA,Pseudostichopus mollis,SEACUCUMBERS,iucn,DD,NA,NA,NA
W-Hol-529363,180436,180436,NA,Parastichopus californicus,SEACUCUMBERS,iucn,LC,0,stable,0
NA,180446,180446,NA,Holothuria stocki,SEACUCUMBERS,iucn,DD,NA,NA,NA
Fis-164793,195488,195488,NA,Squalus suckleyi,CHONDRICHTHYES,iucn,LC,0,stable,0
NA,19711843,19711843,NA,Apostichopus leukothele,SEACUCUMBERS,iucn,LC,0,unknown,NA
NA,19717509,19717509,NA,Capheira sulcata,SEACUCUMBERS,iucn,LC,0,unknown,NA
NA,19718050,19718050,NA,Capheira mollis,SEACUCUMBERS,iucn,LC,0,unknown,NA
NA,19743170,19743170,NA,Synallactes challengeri,SEACUCUMBERS,iucn,LC,0,unknown,NA
NA,22679859,22679859,NA,Cygnus buccinator,BOTW_marine,iucn,LC,0,increasing,0.5
NA,22679881,22679881,NA,Anser albifrons,BOTW_marine,iucn,LC,0,unknown,NA
NA,22679896,22679896,NA,Anser caerulescens,BOTW_marine,iucn,LC,0,increasing,0.5
NA,22679946,22679946,NA,Branta bernicla,BOTW_marine,iucn,LC,0,unknown,NA
NA,22680157,22680157,NA,Mareca penelope,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22680163,22680163,NA,Mareca americana,BOTW_marine,iucn,LC,0,stable,0
NA,22680229,22680229,NA,Spatula discors,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22680247,22680247,NA,Spatula clypeata,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22680301,22680301,NA,Anas acuta,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22680364,22680364,NA,Aythya valisineria,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22680367,22680367,NA,Aythya americana,BOTW_marine,iucn,LC,0,increasing,0.5
NA,22680391,22680391,NA,Aythya fuligula,BOTW_marine,iucn,LC,0,stable,0
NA,22680398,22680398,NA,Aythya marila,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22680402,22680402,NA,Aythya affinis,BOTW_marine,iucn,LC,0,decreasing,-0.5
ITS-175149,22680423,22680423,NA,Histrionicus histrionicus,BOTW_marine,iucn,LC,0,increasing,0.5
ITS-175147,22680427,22680427,NA,Clangula hyemalis,BOTW_marine,iucn,VU,0.4,decreasing,-0.5
ITS-175170,22680441,22680441,NA,Melanitta perspicillata,BOTW_marine,iucn,LC,0,decreasing,-0.5
ITS-175141,22680455,22680455,NA,Bucephala clangula,BOTW_marine,iucn,LC,0,stable,0
ITS-175144,22680459,22680459,NA,Bucephala islandica,BOTW_marine,iucn,LC,0,increasing,0.5
ITS-175145,22680462,22680462,NA,Bucephala albeola,BOTW_marine,iucn,LC,0,increasing,0.5
NA,22680472,22680472,NA,Lophodytes cucullatus,BOTW_marine,iucn,LC,0,increasing,0.5
ITS-175187,22680485,22680485,NA,Mergus serrator,BOTW_marine,iucn,LC,0,stable,0
NA,22680492,22680492,NA,Mergus merganser,BOTW_marine,iucn,LC,0,increasing,0.5
NA,22689714,22689714,NA,Chordeiles minor,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22693162,22693162,NA,Limosa fedoa,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22693195,22693195,NA,Numenius americanus,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22693207,22693207,NA,Tringa erythropus,BOTW_marine,iucn,LC,0,stable,0
NA,22693231,22693231,NA,Tringa melanoleuca,BOTW_marine,iucn,LC,0,stable,0
NA,22693235,22693235,NA,Tringa flavipes,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22693277,22693277,NA,Actitis macularius,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22693305,22693305,NA,Tringa incana,BOTW_marine,iucn,LC,0,stable,0
NA,22693319,22693319,NA,Tringa semipalmata,BOTW_marine,iucn,LC,0,stable,0
NA,22693341,22693341,NA,Arenaria melanocephala,BOTW_marine,iucn,LC,0,stable,0
NA,22693344,22693344,NA,Limnodromus griseus,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22693348,22693348,NA,Limnodromus scolopaceus,BOTW_marine,iucn,LC,0,unknown,NA
NA,22693356,22693356,NA,Calidris virgata,BOTW_marine,iucn,LC,0,decreasing,-0.5
ITS-176642,22693363,22693363,NA,Calidris canutus,BOTW_marine,iucn,NT,0.2,decreasing,-0.5
NA,22693373,22693373,NA,Calidris pusilla,BOTW_marine,iucn,NT,0.2,decreasing,-0.5
NA,22693376,22693376,NA,Calidris mauri,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22693396,22693396,NA,Calidris minutilla,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22693424,22693424,NA,Calidris ptilocnemis,BOTW_marine,iucn,LC,0,decreasing,-0.5
ITS-176661,22693427,22693427,NA,Calidris alpina,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22693468,22693468,NA,Calidris pugnax,BOTW_marine,iucn,LC,0,decreasing,-0.5
ITS-554381,22693735,22693735,NA,Pluvialis fulva,BOTW_marine,iucn,LC,0,decreasing,-0.5
ITS-176567,22693749,22693749,NA,Pluvialis squatarola,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22693764,22693764,NA,Charadrius semipalmatus,BOTW_marine,iucn,LC,0,stable,0
NA,22693777,22693777,NA,Charadrius vociferus,BOTW_marine,iucn,LC,0,decreasing,-0.5
ITS-176792,22694240,22694240,NA,Stercorarius pomarinus,BOTW_marine,iucn,LC,0,stable,0
ITS-176841,22694296,22694296,NA,Larus heermanni,BOTW_marine,iucn,NT,0.2,increasing,0.5
ITS-176832,22694308,22694308,NA,Larus canus,BOTW_marine,iucn,LC,0,unknown,NA
ITS-176830,22694317,22694317,NA,Larus delawarensis,BOTW_marine,iucn,LC,0,increasing,0.5
ITS-176829,22694321,22694321,NA,Larus californicus,BOTW_marine,iucn,LC,0,decreasing,-0.5
ITS-176814,22694334,22694334,NA,Larus glaucescens,BOTW_marine,iucn,LC,0,increasing,0.5
ITS-176817,22694337,22694337,NA,Larus occidentalis,BOTW_marine,iucn,LC,0,increasing,0.5
ITS-176816,22694362,22694362,NA,Larus schistisagus,BOTW_marine,iucn,LC,0,unknown,NA
NA,22694420,22694420,NA,Larus ridibundus,BOTW_marine,iucn,LC,0,unknown,NA
NA,22694432,22694432,NA,Larus philadelphia,BOTW_marine,iucn,LC,0,increasing,0.5
ITS-176845,22694502,22694502,NA,Rissa brevirostris,BOTW_marine,iucn,VU,0.4,decreasing,-0.5
ITS-176935,22694524,22694524,NA,Hydroprogne caspia,BOTW_marine,iucn,LC,0,increasing,0.5
ITS-176888,22694623,22694623,NA,Sterna hirundo,BOTW_marine,iucn,LC,0,unknown,NA
NA,22694787,22694787,NA,Chlidonias niger,BOTW_marine,iucn,LC,0,decreasing,-0.5
ITS-176974,22694841,22694841,NA,Uria aalge,BOTW_marine,iucn,LC,0,increasing,0.5
ITS-176978,22694847,22694847,NA,Uria lomvia,BOTW_marine,iucn,LC,0,increasing,0.5
ITS-176991,22694864,22694864,NA,Cepphus columba,BOTW_marine,iucn,LC,0,stable,0
ITS-176996,22694870,22694870,NA,Brachyramphus marmoratus,BOTW_marine,iucn,EN,0.6,decreasing,-0.5
ITS-176998,22694875,22694875,NA,Brachyramphus brevirostris,BOTW_marine,iucn,NT,0.2,decreasing,-0.5
ITS-177008,22694896,22694896,NA,Synthliboramphus antiquus,BOTW_marine,iucn,LC,0,decreasing,-0.5
ITS-177013,22694903,22694903,NA,Ptychoramphus aleuticus,BOTW_marine,iucn,NT,0.2,decreasing,-0.5
NA,22694906,22694906,NA,Aethia psittacula,BOTW_marine,iucn,LC,0,decreasing,-0.5
ITS-177023,22694924,22694924,NA,Cerorhinca monocerata,BOTW_marine,iucn,LC,0,decreasing,-0.5
ITS-177029,22694931,22694931,NA,Fratercula corniculata,BOTW_marine,iucn,LC,0,decreasing,-0.5
ITS-177032,22694934,22694934,NA,Fratercula cirrhata,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22695144,22695144,NA,Haliaeetus leucocephalus,BOTW_marine,iucn,LC,0,increasing,0.5
NA,22696453,22696453,NA,Falco columbarius,BOTW_marine,iucn,LC,0,stable,0
NA,22696599,22696599,NA,Podiceps grisegena,BOTW_marine,iucn,LC,0,decreasing,-0.5
ITS-174724,22696753,22696753,NA,Phalacrocorax penicillatus,BOTW_marine,iucn,LC,0,decreasing,-0.5
ITS-174717,22696776,22696776,NA,Phalacrocorax auritus,BOTW_marine,iucn,LC,0,increasing,0.5
NA,22696974,22696974,NA,Egretta thula,BOTW_marine,iucn,LC,0,increasing,0.5
NA,22696998,22696998,NA,Ardea herodias,BOTW_marine,iucn,LC,0,increasing,0.5
NA,22697829,22697829,NA,Gavia stellata,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22697839,22697839,NA,Gavia pacifica,BOTW_marine,iucn,LC,0,increasing,0.5
NA,22697842,22697842,NA,Gavia immer,BOTW_marine,iucn,LC,0,stable,0
NA,22697847,22697847,NA,Gavia adamsii,BOTW_marine,iucn,NT,0.2,decreasing,-0.5
ITS-174536,22697866,22697866,NA,Fulmarus glacialis,BOTW_marine,iucn,LC,0,increasing,0.5
NA,22698039,22698039,NA,Pterodroma ultima,BOTW_marine,iucn,NT,0.2,decreasing,-0.5
NA,22698182,22698182,NA,Ardenna bulleri,BOTW_marine,iucn,VU,0.4,stable,0
NA,22698195,22698195,NA,Ardenna creatopus,BOTW_marine,iucn,VU,0.4,unknown,NA
SLB-40419,22698511,22698511,NA,Hydrobates leucorhous,BOTW_marine,iucn,VU,0.4,decreasing,-0.5
NA,22698572,22698572,NA,Hydrobates furcatus,BOTW_marine,iucn,LC,0,increasing,0.5
NA,22705986,22705986,NA,Corvus caurinus,BOTW_marine,iucn,LC,0,increasing,0.5
NA,22711374,22711374,NA,Cistothorus palustris,BOTW_marine,iucn,LC,0,increasing,0.5
NA,22712077,22712077,NA,Tachycineta thalassina,BOTW_marine,iucn,LC,0,increasing,0.5
NA,22717434,22717434,NA,Eremophila alpestris,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22718575,22718575,NA,Anthus rubescens,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22721033,22721033,NA,Calcarius lapponicus,BOTW_marine,iucn,LC,0,increasing,0.5
NA,22721058,22721058,NA,Melospiza melodia,BOTW_marine,iucn,LC,0,stable,0
NA,22721836,22721836,NA,Geothlypis trichas,BOTW_marine,iucn,LC,0,stable,0
NA,22724332,22724332,NA,Euphagus cyanocephalus,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22727750,22727750,NA,Oxyura jamaicensis,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22728182,22728182,NA,Butorides striata,BOTW_marine,iucn,LC,0,decreasing,-0.5
ITS-174725,22728950,22728950,NA,Phalacrocorax pelagicus,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22728995,22728995,NA,Larus thayeri,BOTW_marine,iucn,LC,0,increasing,0.5
NA,22729867,22729867,NA,Gallinago delicata,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,22732425,22732425,NA,Melanitta americana,BOTW_marine,iucn,NT,0.2,decreasing,-0.5
ITS-174685,22733989,22733989,NA,Pelecanus occidentalis,BOTW_marine,iucn,LC,0,increasing,0.5
NA,22734194,22734194,NA,Melanitta deglandi,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,46967817,6494,West Pacific,Dermochelys coriacea,REPTILES_marine,iucn,CR,0.8,decreasing,-0.5
NA,62030590,62030590,NA,Larus smithsonianus,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,62101215,62101215,NA,Synthliboramphus hypoleucus,BOTW_marine,iucn,EN,0.6,decreasing,-0.5
NA,62101249,62101249,NA,Synthliboramphus scrippsi,BOTW_marine,iucn,VU,0.4,decreasing,-0.5
NA,62169677,62169677,NA,Fulica americana,BOTW_marine,iucn,LC,0,decreasing,-0.5
NA,70207409,70207409,NA,Mustela nivalis,TERRESTRIAL_MAMMALS_marine,iucn,LC,0,stable,0
NA,102998555,102998555,NA,Alauda arvensis,BOTW_marine,iucn,LC,0,decreasing,-0.5
Fis-29588,233,NA,NA,Acipenser medirostris,NA,am,NT,0.2,stable,0
Fis-29594,234,NA,NA,Acipenser transmontanus,NA,am,LC,0,stable,0
ITS-Mam-180525,2476,2476,NA,Balaenoptera edeni,MARINE_MAMMALS,am,DD,NA,NA,NA
Fis-48198,5363,NA,NA,Coregonus autumnalis,NA,am,LC,0,unknown,NA
ITS-Mam-180483,6335,6335,NA,Delphinapterus leucas,MARINE_MAMMALS,am,NT,0.2,unknown,NA
Rep-4381,6494,NA,NA,Dermochelys coriacea,NA,am,VU,0.4,decreasing,-0.5
ITS-Mam-180655,8010,8010,NA,Erignathus barbatus,MARINE_MAMMALS,am,LC,0,unknown,NA
Fis-30039,8951,NA,NA,Gasterosteus aculeatus,NA,am,LC,0,stable,0
ITS-Mam-180681,10303,NA,NA,Hydrodamalis gigas,NA,am,EX,1,NA,NA
Fis-25001,12103,NA,NA,Liosaccus pachygaster,NA,am,VU,0.4,NA,NA
ITS-Mam-180517,13244,13244,NA,Mesoplodon densirostris,MARINE_MAMMALS,am,DD,NA,NA,NA
Fis-24809,14214,NA,NA,Triglopsis quadricornis,NA,am,LC,0,stable,0
ITS-Mam-180639,15106,15106,NA,Odobenus rosmarus,MARINE_MAMMALS,am,VU,0.4,unknown,NA
Fis-24923,18878,NA,NA,Pungitius pungitius,NA,am,LC,0,stable,0
Fis-30583,19488,19488,NA,Rhincodon typus,CHONDRICHTHYES,am,EN,0.6,decreasing,-0.5
Fis-30643,20085,NA,NA,Sebastes paucispinus,NA,am,CR,0.8,NA,NA
Fis-22833,21857,21857,NA,Thunnus albacares,TUNAS_BILLFISHES,am,NT,0.2,decreasing,-0.5
ITS-Mam-180426,22563,22563,NA,Tursiops truncatus,MARINE_MAMMALS,am,LC,0,unknown,NA
Fis-29576,23148,23148,NA,Xiphias gladius,TUNAS_BILLFISHES,am,LC,0,decreasing,-0.5
Fis-30888,29609,NA,NA,Sebastolobus alascanus,NA,am,EN,0.6,NA,NA
Fis-23129,39378,39378,NA,Galeocerdo cuvier,CHONDRICHTHYES,am,NT,0.2,unknown,NA
Fis-23277,39388,39388,NA,Sphyrna zygaena,CHONDRICHTHYES,am,VU,0.4,decreasing,-0.5
ITS-Mam-622021,41670,41670,NA,Histriophoca fasciata,MARINE_MAMMALS,am,LC,0,unknown,NA
ITS-Mam-622018,41672,41672,NA,Pusa hispida,MARINE_MAMMALS,am,LC,0,unknown,NA
ITS-Mam-612591,41711,41711,NA,Eubalaena japonica,MARINE_MAMMALS,am,EN,0.6,unknown,NA
Fis-131445,44205,44205,NA,Trigonognathus kabeyai,CHONDRICHTHYES,am,DD,NA,NA,NA
Fis-30530,44566,44566,NA,Pseudotriakis microdon,CHONDRICHTHYES,am,LC,0,unknown,NA
Fis-32809,44993,44993,NA,Discopyge tschudii,CHONDRICHTHYES,am,NT,0.2,decreasing,-0.5
Fis-31217,60140,60140,NA,Harriotta raleighana,CHONDRICHTHYES,am,LC,0,stable,0
Fis-26520,60196,60196,NA,Hydrolagus purpurescens,CHONDRICHTHYES,am,DD,NA,NA,NA
Fis-61628,60215,60215,NA,Zameus squamulosus,CHONDRICHTHYES,am,DD,NA,NA,NA
Fis-29423,60225,60225,NA,Isurus paucus,CHONDRICHTHYES,am,VU,0.4,decreasing,-0.5
W-Msc-405014,61743,NA,NA,Haliotis kamtschatkana,NA,am,EN,0.6,stable,0
Fis-29858,62223,NA,NA,Coregonus sardinella,NA,am,LC,0,unknown,NA
Fis-26997,63107,63107,NA,Callorhinchus callorynchus,CHONDRICHTHYES,am,LC,0,unknown,NA
URM-Cn-5082,63573,NA,NA,Caryophyllia solida,NA,am,DD,NA,NA,NA
Fis-22920,135301,NA,NA,Oncorhynchus nerka,NA,am,LC,0,stable,0
Fis-29454,135567,NA,NA,Mugil cephalus,NA,am,LC,0,stable,0
Fis-24741,135574,NA,NA,Liopsetta glacialis,NA,am,LC,0,unknown,NA
Fis-52203,135660,NA,NA,Osmerus dentex,NA,am,LC,0,unknown,NA
Fis-63912,135719,NA,NA,Lethenteron camtschaticum,NA,am,LC,0,unknown,NA
Fis-28135,154635,NA,NA,Lestidiops ringens,NA,am,LC,0,unknown,NA
Fis-24651,154650,NA,NA,Gymnelus barsukovi,NA,am,DD,NA,NA,NA
Fis-28541,154663,NA,NA,Oneirodes acanthias,NA,am,LC,0,unknown,NA
Fis-52896,154674,NA,NA,Lampanyctus jordani,NA,am,LC,0,unknown,NA
Fis-50465,154698,NA,NA,Lophodolos indicus,NA,am,LC,0,unknown,NA
Fis-24768,154722,NA,NA,Melletes papilio,NA,am,LC,0,unknown,NA
Fis-31271,154750,NA,NA,Sagamichthys abei,NA,am,LC,0,unknown,NA
Fis-23135,154755,NA,NA,Genyonemus lineatus,NA,am,NT,0.2,decreasing,-0.5
Fis-125736,154778,NA,NA,Paraliparis megalopus,NA,am,DD,NA,NA,NA
Fis-52166,154803,NA,NA,Venefica tentaculata,NA,am,LC,0,unknown,NA
Fis-29263,154820,NA,NA,Alepisaurus ferox,NA,am,LC,0,unknown,NA
Fis-24759,154845,NA,NA,Lyopsetta exilis,NA,am,LC,0,stable,0
Fis-24895,154866,NA,NA,Pholis ornata,NA,am,LC,0,unknown,NA
Fis-30261,154953,NA,NA,Lycodes jugoricus,NA,am,LC,0,unknown,NA
Fis-120470,154969,NA,NA,Kuronezumia bubonis,NA,am,LC,0,unknown,NA
Fis-32457,154973,NA,NA,Bassozetus robustus,NA,am,LC,0,unknown,NA
Fis-24555,154977,NA,NA,Eopsetta jordani,NA,am,LC,0,stable,0
Fis-32104,154998,NA,NA,Argyropelecus hemigymnus,NA,am,LC,0,stable,0
Fis-143777,155009,NA,NA,Pseudobathylagus milleri,NA,am,LC,0,unknown,NA
Fis-50053,155012,NA,NA,Sternoptyx obscura,NA,am,LC,0,unknown,NA
Fis-22897,155030,NA,NA,Macroramphosus scolopax,NA,am,LC,0,unknown,NA
Fis-24930,155068,NA,NA,Remora brachyptera,NA,am,LC,0,stable,0
Fis-116901,155077,NA,NA,Lycenchelys monstrosa,NA,am,LC,0,unknown,NA
Fis-54783,155082,NA,NA,Eumicrotremus barbatus,NA,am,DD,NA,NA,NA
Fis-32362,155093,NA,NA,Derichthys serpentinus,NA,am,LC,0,unknown,NA
Fis-24514,155094,NA,NA,Clinocottus globiceps,NA,am,LC,0,unknown,NA
Fis-24933,155179,NA,NA,Rhacochilus vacca,NA,am,LC,0,unknown,NA
Fis-50311,155189,NA,NA,Scopeloberyx opisthopterus,NA,am,LC,0,unknown,NA
Fis-55811,155203,NA,NA,Talismania bifurcata,NA,am,LC,0,unknown,NA
Fis-30824,155216,NA,NA,Icelinus filamentosus,NA,am,LC,0,unknown,NA
Fis-29650,155287,NA,NA,Antimora microlepis,NA,am,DD,NA,NA,NA
Fis-145428,155305,NA,NA,Oneirodes luetkeni,NA,am,DD,NA,NA,NA
Fis-149461,155320,NA,NA,Nannobrachium gibbsi,NA,am,LC,0,unknown,NA
