csd_id,csd_name,topic,characteristic,total,year
5905037,MIDWAY,Selected Household Characteristics,"Median household income, 2000 ($) - All households",43318,2001
5905042,GREENWOOD,Labour Force Indicators,Unemployment rate,14.5,2001
5905042,GREENWOOD,Selected Household Characteristics,"Median household income, 2000 ($) - All households",29461,2001
5905050,KOOTENAY BOUNDARY C,Labour Force Indicators,Unemployment rate,9,2001
5905050,KOOTENAY BOUNDARY C,Selected Household Characteristics,"Median household income, 2000 ($) - All households",43977,2001
5905052,KOOTENAY BOUNDARY D,Labour Force Indicators,Unemployment rate,11.1,2001
5905052,KOOTENAY BOUNDARY D,Selected Household Characteristics,"Median household income, 2000 ($) - All households",37888,2001
5905054,KOOTENAY BOUNDARY E,Labour Force Indicators,Unemployment rate,9.7,2001
5905054,KOOTENAY BOUNDARY E,Selected Household Characteristics,"Median household income, 2000 ($) - All households",33214,2001
5907005,OSOYOOS,Labour Force Indicators,Unemployment rate,9.5,2001
5907005,OSOYOOS,Selected Household Characteristics,"Median household income, 2000 ($) - All households",32094,2001
5907009,KEREMEOS,Labour Force Indicators,Unemployment rate,14.5,2001
5907009,KEREMEOS,Selected Household Characteristics,"Median household income, 2000 ($) - All households",22110,2001
5907014,OLIVER,Labour Force Indicators,Unemployment rate,8.3,2001
5907014,OLIVER,Selected Household Characteristics,"Median household income, 2000 ($) - All households",31613,2001
5907022,OKANAGAN-SIMILKAMEEN A,Labour Force Indicators,Unemployment rate,11.9,2001
5907022,OKANAGAN-SIMILKAMEEN A,Selected Household Characteristics,"Median household income, 2000 ($) - All households",41058,2001
5907024,PRINCETON,Labour Force Indicators,Unemployment rate,14.2,2001
5907024,PRINCETON,Selected Household Characteristics,"Median household income, 2000 ($) - All households",32094,2001
5907026,OKANAGAN-SIMILKAMEEN B,Labour Force Indicators,Unemployment rate,5.6,2001
5907026,OKANAGAN-SIMILKAMEEN B,Selected Household Characteristics,"Median household income, 2000 ($) - All households",25610,2001
5907028,OKANAGAN-SIMILKAMEEN C,Labour Force Indicators,Unemployment rate,7,2001
5907028,OKANAGAN-SIMILKAMEEN C,Selected Household Characteristics,"Median household income, 2000 ($) - All households",32109,2001
5907035,SUMMERLAND,Labour Force Indicators,Unemployment rate,8.1,2001
5907035,SUMMERLAND,Selected Household Characteristics,"Median household income, 2000 ($) - All households",42941,2001
5907041,PENTICTON,Labour Force Indicators,Unemployment rate,11.2,2001
5907041,PENTICTON,Selected Household Characteristics,"Median household income, 2000 ($) - All households",33940,2001
5907047,OKANAGAN-SIMILKAMEEN D,Labour Force Indicators,Unemployment rate,8.1,2001
5907047,OKANAGAN-SIMILKAMEEN D,Selected Household Characteristics,"Median household income, 2000 ($) - All households",44847,2001
5907049,OKANAGAN-SIMILKAMEEN E,Labour Force Indicators,Unemployment rate,8.6,2001
5907049,OKANAGAN-SIMILKAMEEN E,Selected Household Characteristics,"Median household income, 2000 ($) - All households",51425,2001
5907051,OKANAGAN-SIMILKAMEEN F,Labour Force Indicators,Unemployment rate,7.2,2001
5907051,OKANAGAN-SIMILKAMEEN F,Selected Household Characteristics,"Median household income, 2000 ($) - All households",55811,2001
5907053,OKANAGAN-SIMILKAMEEN G,Labour Force Indicators,Unemployment rate,10.6,2001
5907053,OKANAGAN-SIMILKAMEEN G,Selected Household Characteristics,"Median household income, 2000 ($) - All households",24525,2001
5907055,OKANAGAN-SIMILKAMEEN H,Labour Force Indicators,Unemployment rate,11.5,2001
5907055,OKANAGAN-SIMILKAMEEN H,Selected Household Characteristics,"Median household income, 2000 ($) - All households",39939,2001
5907801,LOWER SIMILKAMEEN 2,Labour Force Indicators,Unemployment rate,0,2001
5907801,LOWER SIMILKAMEEN 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5907802,OSOYOOS 1,Labour Force Indicators,Unemployment rate,7,2001
5907802,OSOYOOS 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",32547,2001
5907803,PENTICTON 1,Labour Force Indicators,Unemployment rate,20,2001
5907803,PENTICTON 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",30072,2001
5907805,CHOPAKA 7 & 8,Labour Force Indicators,Unemployment rate,0,2001
5907805,CHOPAKA 7 & 8,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5907806,BLIND CREEK 6,Labour Force Indicators,Unemployment rate,NA,2001
5907806,BLIND CREEK 6,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5907807,CHUCHUWAYHA 2,Labour Force Indicators,Unemployment rate,0,2001
5907807,CHUCHUWAYHA 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5907808,ALEXIS 9,Labour Force Indicators,Unemployment rate,NA,2001
5907808,ALEXIS 9,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5907809,ASHNOLA 10,Labour Force Indicators,Unemployment rate,33.3,2001
5907809,ASHNOLA 10,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5909009,HOPE,Labour Force Indicators,Unemployment rate,11.9,2001
5909009,HOPE,Selected Household Characteristics,"Median household income, 2000 ($) - All households",35330,2001
5909014,FRASER VALLEY A,Labour Force Indicators,Unemployment rate,11.5,2001
5909014,FRASER VALLEY A,Selected Household Characteristics,"Median household income, 2000 ($) - All households",28288,2001
5909016,FRASER VALLEY B,Labour Force Indicators,Unemployment rate,13.2,2001
5909016,FRASER VALLEY B,Selected Household Characteristics,"Median household income, 2000 ($) - All households",27727,2001
5909020,CHILLIWACK,Labour Force Indicators,Unemployment rate,8.3,2001
5909020,CHILLIWACK,Selected Household Characteristics,"Median household income, 2000 ($) - All households",42042,2001
5909027,HARRISON HOT SPRINGS,Labour Force Indicators,Unemployment rate,3.8,2001
5909027,HARRISON HOT SPRINGS,Selected Household Characteristics,"Median household income, 2000 ($) - All households",37535,2001
5909032,KENT,Labour Force Indicators,Unemployment rate,5.3,2001
5909032,KENT,Selected Household Characteristics,"Median household income, 2000 ($) - All households",39304,2001
5909034,FRASER VALLEY D,Labour Force Indicators,Unemployment rate,5.9,2001
5909034,FRASER VALLEY D,Selected Household Characteristics,"Median household income, 2000 ($) - All households",51699,2001
5909036,FRASER VALLEY E,Labour Force Indicators,Unemployment rate,8.4,2001
5909036,FRASER VALLEY E,Selected Household Characteristics,"Median household income, 2000 ($) - All households",42373,2001
5909048,FRASER VALLEY C,Labour Force Indicators,Unemployment rate,17.1,2001
5909048,FRASER VALLEY C,Selected Household Characteristics,"Median household income, 2000 ($) - All households",35890,2001
5909052,ABBOTSFORD,Labour Force Indicators,Unemployment rate,8.2,2001
5909052,ABBOTSFORD,Selected Household Characteristics,"Median household income, 2000 ($) - All households",48319,2001
5909056,MISSION,Labour Force Indicators,Unemployment rate,8.1,2001
5909056,MISSION,Selected Household Characteristics,"Median household income, 2000 ($) - All households",49905,2001
5909060,FRASER VALLEY F,Labour Force Indicators,Unemployment rate,13.8,2001
5909060,FRASER VALLEY F,Selected Household Characteristics,"Median household income, 2000 ($) - All households",37266,2001
5909062,FRASER VALLEY G,Labour Force Indicators,Unemployment rate,9.1,2001
5909062,FRASER VALLEY G,Selected Household Characteristics,"Median household income, 2000 ($) - All households",41669,2001
5909064,FRASER VALLEY H,Labour Force Indicators,Unemployment rate,6.4,2001
5909064,FRASER VALLEY H,Selected Household Characteristics,"Median household income, 2000 ($) - All households",64025,2001
5909801,AYWAWWIS 15,Labour Force Indicators,Unemployment rate,NA,2001
5909801,AYWAWWIS 15,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909802,BOOTHROYD 5A,Labour Force Indicators,Unemployment rate,NA,2001
5909802,BOOTHROYD 5A,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909803,BOOTHROYD 8A,Labour Force Indicators,Unemployment rate,NA,2001
5909803,BOOTHROYD 8A,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909804,CHAWATHIL 4,Labour Force Indicators,Unemployment rate,33.3,2001
5909804,CHAWATHIL 4,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5909805,INKAHTSAPH 6,Labour Force Indicators,Unemployment rate,NA,2001
5909805,INKAHTSAPH 6,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909806,KOPCHITCHIN 2,Labour Force Indicators,Unemployment rate,40,2001
5909806,KOPCHITCHIN 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5909807,OHAMIL 1,Labour Force Indicators,Unemployment rate,0,2001
5909807,OHAMIL 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5909808,PUCKATHOLETCHIN 11,Labour Force Indicators,Unemployment rate,NA,2001
5909808,PUCKATHOLETCHIN 11,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909809,SADDLE ROCK 9,Labour Force Indicators,Unemployment rate,NA,2001
5909809,SADDLE ROCK 9,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909810,LUKSEETSISSUM 9,Labour Force Indicators,Unemployment rate,NA,2001
5909810,LUKSEETSISSUM 9,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909811,RUBY CREEK 2,Labour Force Indicators,Unemployment rate,NA,2001
5909811,RUBY CREEK 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909812,SCHKAM 2,Labour Force Indicators,Unemployment rate,37.5,2001
5909812,SCHKAM 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5909813,SHO-OOK 5,Labour Force Indicators,Unemployment rate,NA,2001
5909813,SHO-OOK 5,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909814,SKAWAHLOOK 1,Labour Force Indicators,Unemployment rate,NA,2001
5909814,SKAWAHLOOK 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909815,SPEYUM 3,Labour Force Indicators,Unemployment rate,NA,2001
5909815,SPEYUM 3,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909816,SPUZZUM 1,Labour Force Indicators,Unemployment rate,40,2001
5909816,SPUZZUM 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5909817,TUCKKWIOWHUM 1,Labour Force Indicators,Unemployment rate,NA,2001
5909817,TUCKKWIOWHUM 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909818,YALE TOWN 1,Labour Force Indicators,Unemployment rate,NA,2001
5909818,YALE TOWN 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909819,KAHMOOSE 4,Labour Force Indicators,Unemployment rate,33.3,2001
5909819,KAHMOOSE 4,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5909820,CHAUMOX 11,Labour Force Indicators,Unemployment rate,NA,2001
5909820,CHAUMOX 11,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909821,KWAWKWAWAPILT 6,Labour Force Indicators,Unemployment rate,10,2001
5909821,KWAWKWAWAPILT 6,Selected Household Characteristics,"Median household income, 2000 ($) - All households",40512,2001
5909822,SKOWKALE 10,Labour Force Indicators,Unemployment rate,8.3,2001
5909822,SKOWKALE 10,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5909823,SKOWKALE 11,Labour Force Indicators,Unemployment rate,0,2001
5909823,SKOWKALE 11,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5909824,SKWAH 4,Labour Force Indicators,Unemployment rate,18.8,2001
5909824,SKWAH 4,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5909825,SKWALI 3,Labour Force Indicators,Unemployment rate,NA,2001
5909825,SKWALI 3,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909826,SKWAY 5,Labour Force Indicators,Unemployment rate,40,2001
5909826,SKWAY 5,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5909827,SOOWAHLIE 14,Labour Force Indicators,Unemployment rate,27.8,2001
5909827,SOOWAHLIE 14,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5909828,SQUIAALA 7,Labour Force Indicators,Unemployment rate,NA,2001
5909828,SQUIAALA 7,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909829,SQUIAALA 8,Labour Force Indicators,Unemployment rate,NA,2001
5909829,SQUIAALA 8,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909830,TZEACHTEN 13,Labour Force Indicators,Unemployment rate,14.5,2001
5909830,TZEACHTEN 13,Selected Household Characteristics,"Median household income, 2000 ($) - All households",31991,2001
5909831,YAKWEAKWIOOSE 12,Labour Force Indicators,Unemployment rate,50,2001
5909831,YAKWEAKWIOOSE 12,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5909832,SEABIRD ISLAND,Labour Force Indicators,Unemployment rate,21.4,2001
5909832,SEABIRD ISLAND,Selected Household Characteristics,"Median household income, 2000 ($) - All households",23616,2001
5909833,SCOWLITZ 1,Labour Force Indicators,Unemployment rate,NA,2001
5909833,SCOWLITZ 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909834,TSEATAH 2,Labour Force Indicators,Unemployment rate,NA,2001
5909834,TSEATAH 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909835,AITCHELITCH 9,Labour Force Indicators,Unemployment rate,NA,2001
5909835,AITCHELITCH 9,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909836,BOSTON BAR 1A,Labour Force Indicators,Unemployment rate,NA,2001
5909836,BOSTON BAR 1A,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909837,CHEAM 1,Labour Force Indicators,Unemployment rate,38.9,2001
5909837,CHEAM 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5909838,SCHELOWAT 1,Labour Force Indicators,Unemployment rate,NA,2001
5909838,SCHELOWAT 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909839,CHEHALIS 5,Labour Force Indicators,Unemployment rate,30.8,2001
5909839,CHEHALIS 5,Selected Household Characteristics,"Median household income, 2000 ($) - All households",31168,2001
5909840,SWAHLISEAH 14,Labour Force Indicators,Unemployment rate,NA,2001
5909840,SWAHLISEAH 14,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909841,STULLAWHEETS 8,Labour Force Indicators,Unemployment rate,NA,2001
5909841,STULLAWHEETS 8,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909842,DOUGLAS 8,Labour Force Indicators,Unemployment rate,0,2001
5909842,DOUGLAS 8,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5909843,PETERS 1,Labour Force Indicators,Unemployment rate,0,2001
5909843,PETERS 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5909844,POPKUM 1,Labour Force Indicators,Unemployment rate,NA,2001
5909844,POPKUM 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909845,SKOOKUMCHUCK 4,Labour Force Indicators,Unemployment rate,60,2001
5909845,SKOOKUMCHUCK 4,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5909846,FRANKS 10,Labour Force Indicators,Unemployment rate,NA,2001
5909846,FRANKS 10,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909847,BUCKTUM 4,Labour Force Indicators,Unemployment rate,NA,2001
5909847,BUCKTUM 4,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909848,TIPELLA 7,Labour Force Indicators,Unemployment rate,NA,2001
5909848,TIPELLA 7,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909849,SKWAHLA 2,Labour Force Indicators,Unemployment rate,NA,2001
5909849,SKWAHLA 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909852,BAPTISTE SMITH 1A,Labour Force Indicators,Unemployment rate,NA,2001
5909852,BAPTISTE SMITH 1A,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909855,SACHTEEN 2,Labour Force Indicators,Unemployment rate,NA,2001
5909855,SACHTEEN 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909860,SACHTEEN 2A,Labour Force Indicators,Unemployment rate,NA,2001
5909860,SACHTEEN 2A,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909865,SAMAHQUAM 1,Labour Force Indicators,Unemployment rate,NA,2001
5909865,SAMAHQUAM 1,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909870,KUTHLALTH 3,Labour Force Indicators,Unemployment rate,NA,2001
5909870,KUTHLALTH 3,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909875,BAPTISTE SMITH 1B,Labour Force Indicators,Unemployment rate,40,2001
5909875,BAPTISTE SMITH 1B,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5909876,ALBERT FLAT 5,Labour Force Indicators,Unemployment rate,NA,2001
5909876,ALBERT FLAT 5,Selected Household Characteristics,"Median household income, 2000 ($) - All households",NA,2001
5909877,UPPER SUMAS 6,Labour Force Indicators,Unemployment rate,23.5,2001
5909877,UPPER SUMAS 6,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5909878,MATSQUI MAIN 2,Labour Force Indicators,Unemployment rate,40,2001
5909878,MATSQUI MAIN 2,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5909879,HOLACHTEN 8,Labour Force Indicators,Unemployment rate,12.9,2001
5909879,HOLACHTEN 8,Selected Household Characteristics,"Median household income, 2000 ($) - All households",37637,2001
5909880,LAKAHAHMEN 11,Labour Force Indicators,Unemployment rate,23.1,2001
5909880,LAKAHAHMEN 11,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5909881,SKWEAHM 10,Labour Force Indicators,Unemployment rate,15,2001
5909881,SKWEAHM 10,Selected Household Characteristics,"Median household income, 2000 ($) - All households",30329,2001
5909882,SQUAWKUM CREEK 3,Labour Force Indicators,Unemployment rate,42.9,2001
5909882,SQUAWKUM CREEK 3,Selected Household Characteristics,"Median household income, 2000 ($) - All households",0,2001
5915001,LANGLEY,Labour Force Indicators,Unemployment rate,5.1,2001
5915001,LANGLEY,Selected Household Characteristics,"Median household income, 2000 ($) - All households",61443,2001
5915002,LANGLEY,Labour Force Indicators,Unemployment rate,7.2,2001
5915002,LANGLEY,Selected Household Characteristics,"Median household income, 2000 ($) - All households",41891,2001
5915004,SURREY,Labour Force Indicators,Unemployment rate,7.4,2001
5915004,SURREY,Selected Household Characteristics,"Median household income, 2000 ($) - All households",53957,2001
5915007,WHITE ROCK,Labour Force Indicators,Unemployment rate,4.9,2001
5915007,WHITE ROCK,Selected Household Characteristics,"Median household income, 2000 ($) - All households",44691,2001
5915011,DELTA,Labour Force Indicators,Unemployment rate,5.4,2001
5915011,DELTA,Selected Household Characteristics,"Median household income, 2000 ($) - All households",66303,2001
5915015,RICHMOND,Labour Force Indicators,Unemployment rate,7.2,2001
