term,estimate,std.error,statistic,p.value,goal,n_obs,years,r_sq,fn
rgn_nameNorth Coast,0.21635161954740392,0.08126886927721932,2.662170908388041,0.009212512466718064,CW,96,16,0.9943896382797394,TRUE
rgn_nameNorth Vancouver Island,2.143802769560505,0.09976875924369573,21.48771605271787,5.4922497005673015e-37,CW,96,16,0.9943896382797394,TRUE
rgn_nameStrait of Georgia,-4.579442099408662,0.1676348635907423,-27.317957621206684,4.74748391125176e-45,CW,96,16,0.9943896382797394,TRUE
rgn_nameWest Vancouver Island,-1.1413469927206017,0.11991529197638476,-9.517943657639346,3.1784716218763773e-15,CW,96,16,0.9943896382797394,TRUE
(Intercept),87.19894880299607,0.6444970674963758,135.297665731406,7.876599621448767e-105,CW,96,16,0.9939242928673843,FALSE
cwb_score,-0.3025035013405221,1.006865591274911,-0.30044079762174297,0.7645416252129035,CW,96,16,0.9939242928673843,FALSE
rgn_nameHaida Gwaii,3.937824644114835,0.10075997050097765,39.08124054161595,8.05665907479204e-58,CW,96,16,0.9939242928673843,FALSE
rgn_nameNorth Coast,0.35186089697192485,0.16516339086367066,2.1303806801978187,0.035898997683170016,CW,96,16,0.9939242928673843,FALSE
rgn_nameNorth Vancouver Island,2.0059907092364413,0.1686374972392006,11.895282734130491,4.3472873235830875e-20,CW,96,16,0.9939242928673843,FALSE
rgn_nameStrait of Georgia,-4.9324567166939906,0.20880644277413912,-23.622148105982102,4.167168365913797e-40,CW,96,16,0.9939242928673843,FALSE
rgn_nameWest Vancouver Island,-1.337107545884863,0.2209381145018,-6.0519550866085146,3.323054109116681e-8,CW,96,16,0.9939242928673843,FALSE
(Intercept),57.99686263425205,42.22126804266319,1.373640947392867,0.17308245635851402,FP,94,16,0.12781574230784165,TRUE
cwb_score,2.896939240853679,73.5953895686063,0.03936305328138967,0.9686911248486733,FP,94,16,0.12781574230784165,TRUE
rgn_nameHaida Gwaii,-13.72706381660443,7.14206414024521,-1.9220023157245316,0.05787845405848732,FP,94,16,0.12781574230784165,TRUE
rgn_nameNorth Coast,-10.371500871473046,4.264436511287883,-2.4320917532761666,0.01706137479496478,FP,94,16,0.12781574230784165,TRUE
rgn_nameNorth Vancouver Island,-1.8778709669474964,5.238354252689965,-0.35848491269623173,0.7208488802659282,FP,94,16,0.12781574230784165,TRUE
rgn_nameStrait of Georgia,-3.373515573867428,8.930392893015753,-0.3777566803926145,0.7065314031355899,FP,94,16,0.12781574230784165,TRUE
rgn_nameWest Vancouver Island,-2.428715048238193,6.298458211685339,-0.38560469349979515,0.7007307087062026,FP,94,16,0.12781574230784165,TRUE
(Intercept),15.988189048602797,32.564351437837104,0.49097213187626493,0.624682362282351,FP,94,16,0.14558345269794026,FALSE
cwb_score,68.4640337461708,50.87825305859488,1.3456443496069515,0.1819137592946531,FP,94,16,0.14558345269794026,FALSE
rgn_nameHaida Gwaii,-17.905940841336108,5.0537892970116145,-3.543072294668908,6.3861345157726e-4,FP,94,16,0.14558345269794026,FALSE
rgn_nameNorth Coast,-20.374415676703368,8.322951661848702,-2.447979575574969,0.016374504075264713,FP,94,16,0.14558345269794026,FALSE
rgn_nameNorth Vancouver Island,-11.9394157987392,8.49897740474202,-1.4048061584535547,0.16363938082143173,FP,94,16,0.14558345269794026,FALSE
rgn_nameStrait of Georgia,-16.47690252895838,10.735517742906822,-1.5348027848815218,0.1284610805811276,FP,94,16,0.14558345269794026,FALSE
rgn_nameWest Vancouver Island,-16.313471404397195,11.147132353864643,-1.4634679921730196,0.14694307694880437,FP,94,16,0.14558345269794026,FALSE
(Intercept),101.80196002067197,1.0343813705520393,98.41820717086316,1.3041961854660935e-92,HS,96,16,0.9606656802906518,TRUE
cwb_score,-3.1569494993717178,1.8030012969822193,-1.7509413357914243,0.08340156005755844,HS,96,16,0.9606656802906518,TRUE
rgn_nameHaida Gwaii,0.25525577110475367,0.17508449240595064,1.4579005119020936,0.14838773983339262,HS,96,16,0.9606656802906518,TRUE
rgn_nameNorth Coast,-0.08579553261566311,0.10466160039791522,-0.8197422195865074,0.41455299117575317,HS,96,16,0.9606656802906518,TRUE
rgn_nameNorth Vancouver Island,-0.07514821817805115,0.1284865669354957,-0.5848721774609942,0.5601135275771603,HS,96,16,0.9606656802906518,TRUE
rgn_nameStrait of Georgia,-3.290043701111718,0.21588750110506782,-15.23962102609416,1.5425271672179918e-26,HS,96,16,0.9606656802906518,TRUE
rgn_nameWest Vancouver Island,0.06935998788729361,0.1544321519673189,0.44912919365373893,0.6544302319303024,HS,96,16,0.9606656802906518,TRUE
(Intercept),101.61281559393986,0.7927393852167472,128.17934555649376,9.436598286938318e-103,HS,96,16,0.9611429090490873,FALSE
cwb_score,-2.5370285177670167,1.2384571630772516,-2.0485395808629705,0.04345281244148808,HS,96,16,0.9611429090490873,FALSE
rgn_nameHaida Gwaii,0.16174556902067241,0.12393601320746393,1.3050731973273724,0.19523206415947555,HS,96,16,0.9611429090490873,FALSE
rgn_nameNorth Coast,0.3578468992887499,0.20315301889921455,1.7614648368394659,0.08159399494765454,HS,96,16,0.9611429090490873,FALSE
rgn_nameNorth Vancouver Island,0.1520390792618894,0.2074262128223672,0.7329791022704084,0.4654973712872206,HS,96,16,0.9611429090490873,FALSE
rgn_nameStrait of Georgia,-3.140175398472717,0.25683451395222645,-12.226454109110968,9.449327628619339e-21,HS,96,16,0.9611429090490873,FALSE
rgn_nameWest Vancouver Island,0.3784134711983925,0.27175662061812117,1.3924719491200477,0.1672487904731938,HS,96,16,0.9611429090490873,FALSE
(Intercept),63.819848708037426,8.981928019490258,7.1053618521048145,2.8502023303247065e-10,Index,96,16,0.3979162256190949,TRUE
cwb_score,22.703448829179926,15.656148041315811,1.4501299278255821,0.1505373558293688,Index,96,16,0.3979162256190949,TRUE
rgn_nameHaida Gwaii,0.812451630726282,1.520325435946278,0.534393236814194,0.5944019437951613,Index,96,16,0.3979162256190949,TRUE
rgn_nameNorth Coast,1.3868233072926683,0.9088166008606915,1.5259660815826672,0.13056430867988597,Index,96,16,0.3979162256190949,TRUE
rgn_nameNorth Vancouver Island,0.02881429751470067,1.11569787366736,0.025826254754780967,0.9794537404224483,Index,96,16,0.3979162256190949,TRUE
rgn_nameStrait of Georgia,-3.576990807640273,1.874633525349042,-1.908101375160388,0.05960191157038455,Index,96,16,0.3979162256190949,TRUE
rgn_nameWest Vancouver Island,3.4022279567019216,1.3409932857986013,2.5370954446470577,0.012919362898136014,Index,96,16,0.3979162256190949,TRUE
(Intercept),97.58770109581353,6.649645568939751,14.675624450067245,1.719506202290853e-25,Index,96,16,0.4449732331074706,FALSE
cwb_score,-32.5654352718782,10.388409280972816,-3.134785547150548,0.002330014281134525,Index,96,16,0.4449732331074706,FALSE
rgn_nameHaida Gwaii,4.761393453993296,1.0395983553053074,4.580031730230064,1.5046803048497054e-5,Index,96,16,0.4449732331074706,FALSE
rgn_nameNorth Coast,5.56856632554279,1.7040853490211536,3.2677743099789214,0.0015410992874223004,Index,96,16,0.4449732331074706,FALSE
rgn_nameNorth Vancouver Island,5.964856212373784,1.739929695304697,3.4282168000639914,9.221591188206488e-4,Index,96,16,0.4449732331074706,FALSE
rgn_nameStrait of Georgia,5.1387852492749095,2.1543757248622915,2.3852781063077484,0.01918742046584833,Index,96,16,0.4449732331074706,FALSE
rgn_nameWest Vancouver Island,11.62908907705041,2.2795451340281843,5.101495427072614,1.8890425452109113e-6,Index,96,16,0.4449732331074706,FALSE
(Intercept),31.742559112188694,7.3690272214771255,4.307564371546165,4.2401557018475855e-5,LV,96,16,0.5753726597276603,TRUE
cwb_score,84.73124914095482,12.844745677051137,6.5965688438922205,2.921896220901304e-9,LV,96,16,0.5753726597276603,TRUE
rgn_nameHaida Gwaii,-8.259692339962703,1.247317891958347,-6.621962527126587,2.6044796025066533e-9,LV,96,16,0.5753726597276603,TRUE
rgn_nameNorth Coast,-0.9321197586699955,0.7456187865835089,-1.2501291215328016,0.2145294953696327,LV,96,16,0.5753726597276603,TRUE
rgn_nameNorth Vancouver Island,-6.394694122076538,0.9153500210821678,-6.986064319435361,4.939263163401676e-10,LV,96,16,0.5753726597276603,TRUE
rgn_nameStrait of Georgia,-6.4505525574410285,1.5380022472474346,-4.194111269333705,6.458065639827251e-5,LV,96,16,0.5753726597276603,TRUE
rgn_nameWest Vancouver Island,-5.352077844785714,1.1001887351384896,-4.864690642475997,4.916450563161911e-6,LV,96,16,0.5753726597276603,TRUE
(Intercept),82.69472847155598,6.928540703321838,11.935374563349047,3.611881590597948e-20,LV,96,16,0.36864979338240245,FALSE
cwb_score,-3.8338336749934228,10.824113225250102,-0.35419378892397335,0.7240314462375834,LV,96,16,0.36864979338240245,FALSE
rgn_nameHaida Gwaii,-1.1118256700002265,1.0832005172551962,-1.026426457787858,0.30747226766976643,LV,96,16,0.36864979338240245,FALSE
rgn_nameNorth Coast,-2.403307279815614,1.7755569947632557,-1.3535511881081912,0.1793072642437941,LV,96,16,0.36864979338240245,FALSE
rgn_nameNorth Vancouver Island,-1.776530809452225,1.8129047014394613,-0.9799361257332748,0.32977394529399995,LV,96,16,0.36864979338240245,FALSE
rgn_nameStrait of Georgia,3.390633894613924,2.2447331583624317,1.5104841668964542,0.1344623275245173,LV,96,16,0.36864979338240245,FALSE
rgn_nameWest Vancouver Island,1.1450910886229293,2.3751523419453107,0.4821126916368953,0.6309094242264084,LV,96,16,0.36864979338240245,FALSE
(Intercept),79.2062826735655,35.75801702436112,2.215063621106396,0.029308534675633473,SP,96,16,0.5477273094028379,TRUE
cwb_score,-35.52942005661596,62.328801453594856,-0.5700321396853489,0.5700920863262773,SP,96,16,0.5477273094028379,TRUE
rgn_nameHaida Gwaii,14.855348216335953,6.052578322067371,2.454383475249575,0.016058923291691812,SP,96,16,0.5477273094028379,TRUE
rgn_nameNorth Coast,-11.647022866765097,3.6180961832560867,-3.219102610003977,0.0017951612217822197,SP,96,16,0.5477273094028379,TRUE
rgn_nameNorth Vancouver Island,-12.124782401900209,4.441712678399429,-2.729753876441502,0.00763912399958504,SP,96,16,0.5477273094028379,TRUE
rgn_nameStrait of Georgia,-11.376084391525835,7.463116757160719,-1.5243074390616624,0.1309776079763014,SP,96,16,0.5477273094028379,TRUE
rgn_nameWest Vancouver Island,9.290886185572939,5.33863783355744,1.7403102580161143,0.08526096356558342,SP,96,16,0.5477273094028379,TRUE
(Intercept),223.81263332106846,21.333315830253166,10.491225794523496,3.1147330715193307e-17,SP,96,16,0.7292494255278882,FALSE
cwb_score,-258.6130122625136,33.327974230702075,-7.759637908753441,1.3485963195907176e-11,SP,96,16,0.7292494255278882,FALSE
rgn_nameHaida Gwaii,28.63807768173962,3.335227392258749,8.586544278273264,2.6918364412333685e-13,SP,96,16,0.7292494255278882,FALSE
rgn_nameNorth Coast,26.725853639222894,5.467026862632,4.888553561333009,4.469302687030073e-6,SP,96,16,0.7292494255278882,FALSE
rgn_nameNorth Vancouver Island,24.70692778996825,5.582022278864044,4.426160727362086,2.7128522188216463e-5,SP,96,16,0.7292494255278882,FALSE
rgn_nameStrait of Georgia,34.65386029364869,6.911643226549581,5.013838121813549,2.698687098192357e-6,SP,96,16,0.7292494255278882,FALSE
rgn_nameWest Vancouver Island,60.08203784843239,7.313210274046811,8.215549067644355,1.5671424138183693e-12,SP,96,16,0.7292494255278882,FALSE
(Intercept),184.68033001602055,48.370256299060784,3.8180556430007284,4.174839520372913e-4,TR,50,10,0.11723997045034973,TRUE
cwb_score,-136.5677813650194,74.24073528968611,-1.8395262497351919,0.07259084635140226,TR,50,10,0.11723997045034973,TRUE
rgn_nameNorth Coast,-19.08619057410167,7.96992350471454,-2.3947771346627604,0.02095503035516147,TR,50,10,0.11723997045034973,TRUE
rgn_nameNorth Vancouver Island,-1.715145035185042,3.121300063647086,-0.5494970045209235,0.5854427836335512,TR,50,10,0.11723997045034973,TRUE
rgn_nameStrait of Georgia,6.382580770771704,3.7222000260139754,1.714733417378075,0.09343042464638708,TR,50,10,0.11723997045034973,TRUE
rgn_nameWest Vancouver Island,0.7168878250365075,2.8255813178746867,0.2537133935949605,0.8008988192318612,TR,50,10,0.11723997045034973,TRUE
(Intercept),70.77449452029694,54.39275059586364,1.3011751335421355,0.19997113657138513,TR,50,10,0.05390069392465602,FALSE
cwb_score,37.208639341159696,80.8861708462291,0.4600123723484971,0.6477725235574203,TR,50,10,0.05390069392465602,FALSE
rgn_nameNorth Coast,-9.759524929626973,9.967744145134537,-0.9791106982205999,0.3328783041883444,TR,50,10,0.05390069392465602,FALSE
rgn_nameNorth Vancouver Island,-3.8033202708123586,10.288979580406123,-0.36964989978746127,0.7134165728757633,TR,50,10,0.05390069392465602,FALSE
rgn_nameStrait of Georgia,-4.237627675127869,13.700392606542147,-0.3093070247566728,0.7585480104183848,TR,50,10,0.05390069392465602,FALSE
rgn_nameWest Vancouver Island,-6.212304941537704,14.860471264614647,-0.41804225659587774,0.677949468349176,TR,50,10,0.05390069392465602,FALSE
