geo_code,csd_name,topic,characteristic,total,year
5901039,INVERMERE,Income in 2000,Median total income of persons 15 years of age and over ($),23066,2001
5901039,INVERMERE,Labour Force Indicators,Employment rate,69.7,2001
5901039,INVERMERE,Labour Force Indicators,Unemployment rate,4.2,2001
5901040,RADIUM HOT SPRINGS,Income in 2000,Median total income of persons 15 years of age and over ($),21337,2001
5901040,RADIUM HOT SPRINGS,Labour Force Indicators,Employment rate,64.9,2001
5901040,RADIUM HOT SPRINGS,Labour Force Indicators,Unemployment rate,3.1,2001
5901046,EAST KOOTENAY F,Income in 2000,Median total income of persons 15 years of age and over ($),23355,2001
5901046,EAST KOOTENAY F,Labour Force Indicators,Employment rate,60.6,2001
5901046,EAST KOOTENAY F,Labour Force Indicators,Unemployment rate,9.7,2001
5901048,EAST KOOTENAY G,Income in 2000,Median total income of persons 15 years of age and over ($),19992,2001
5901048,EAST KOOTENAY G,Labour Force Indicators,Employment rate,69.1,2001
5901048,EAST KOOTENAY G,Labour Force Indicators,Unemployment rate,6.3,2001
5901801,TOBACCO PLAINS 2,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5901801,TOBACCO PLAINS 2,Labour Force Indicators,Employment rate,38.5,2001
5901801,TOBACCO PLAINS 2,Labour Force Indicators,Unemployment rate,0,2001
5901802,ISIDORE'S RANCH 4,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5901802,ISIDORE'S RANCH 4,Labour Force Indicators,Employment rate,NA,2001
5901802,ISIDORE'S RANCH 4,Labour Force Indicators,Unemployment rate,NA,2001
5901803,KOOTENAY 1,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5901803,KOOTENAY 1,Labour Force Indicators,Employment rate,45.5,2001
5901803,KOOTENAY 1,Labour Force Indicators,Unemployment rate,35.7,2001
5901804,COLUMBIA LAKE 3,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5901804,COLUMBIA LAKE 3,Labour Force Indicators,Employment rate,64,2001
5901804,COLUMBIA LAKE 3,Labour Force Indicators,Unemployment rate,11.1,2001
5901805,CASSIMAYOOKS (MAYOOK) 5,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5901805,CASSIMAYOOKS (MAYOOK) 5,Labour Force Indicators,Employment rate,NA,2001
5901805,CASSIMAYOOKS (MAYOOK) 5,Labour Force Indicators,Unemployment rate,NA,2001
5901806,SHUSWAP,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5901806,SHUSWAP,Labour Force Indicators,Employment rate,56,2001
5901806,SHUSWAP,Labour Force Indicators,Unemployment rate,28.6,2001
5901807,BUMMERS FLAT 6,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5901807,BUMMERS FLAT 6,Labour Force Indicators,Employment rate,NA,2001
5901807,BUMMERS FLAT 6,Labour Force Indicators,Unemployment rate,NA,2001
5903004,CRESTON,Income in 2000,Median total income of persons 15 years of age and over ($),18490,2001
5903004,CRESTON,Labour Force Indicators,Employment rate,46.4,2001
5903004,CRESTON,Labour Force Indicators,Unemployment rate,9.9,2001
5903010,CENTRAL KOOTENAY A,Income in 2000,Median total income of persons 15 years of age and over ($),14630,2001
5903010,CENTRAL KOOTENAY A,Labour Force Indicators,Employment rate,51.5,2001
5903010,CENTRAL KOOTENAY A,Labour Force Indicators,Unemployment rate,9,2001
5903011,SALMO,Income in 2000,Median total income of persons 15 years of age and over ($),20271,2001
5903011,SALMO,Labour Force Indicators,Employment rate,46.9,2001
5903011,SALMO,Labour Force Indicators,Unemployment rate,15.5,2001
5903013,CENTRAL KOOTENAY B,Income in 2000,Median total income of persons 15 years of age and over ($),15526,2001
5903013,CENTRAL KOOTENAY B,Labour Force Indicators,Employment rate,51.7,2001
5903013,CENTRAL KOOTENAY B,Labour Force Indicators,Unemployment rate,9.3,2001
5903015,NELSON,Income in 2000,Median total income of persons 15 years of age and over ($),20667,2001
5903015,NELSON,Labour Force Indicators,Employment rate,57.9,2001
5903015,NELSON,Labour Force Indicators,Unemployment rate,9,2001
5903017,CENTRAL KOOTENAY C,Income in 2000,Median total income of persons 15 years of age and over ($),17192,2001
5903017,CENTRAL KOOTENAY C,Labour Force Indicators,Employment rate,60.6,2001
5903017,CENTRAL KOOTENAY C,Labour Force Indicators,Unemployment rate,9,2001
5903019,SLOCAN,Income in 2000,Median total income of persons 15 years of age and over ($),13977,2001
5903019,SLOCAN,Labour Force Indicators,Employment rate,60,2001
5903019,SLOCAN,Labour Force Indicators,Unemployment rate,10.8,2001
5903023,KASLO,Income in 2000,Median total income of persons 15 years of age and over ($),18005,2001
5903023,KASLO,Labour Force Indicators,Employment rate,51.2,2001
5903023,KASLO,Labour Force Indicators,Unemployment rate,13.1,2001
5903027,SILVERTON,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5903027,SILVERTON,Labour Force Indicators,Employment rate,52.5,2001
5903027,SILVERTON,Labour Force Indicators,Unemployment rate,19.2,2001
5903032,NEW DENVER,Income in 2000,Median total income of persons 15 years of age and over ($),16615,2001
5903032,NEW DENVER,Labour Force Indicators,Employment rate,48.1,2001
5903032,NEW DENVER,Labour Force Indicators,Unemployment rate,15.2,2001
5903039,CENTRAL KOOTENAY D,Income in 2000,Median total income of persons 15 years of age and over ($),16034,2001
5903039,CENTRAL KOOTENAY D,Labour Force Indicators,Employment rate,44,2001
5903039,CENTRAL KOOTENAY D,Labour Force Indicators,Unemployment rate,20.9,2001
5903041,CENTRAL KOOTENAY E,Income in 2000,Median total income of persons 15 years of age and over ($),18797,2001
5903041,CENTRAL KOOTENAY E,Labour Force Indicators,Employment rate,55,2001
5903041,CENTRAL KOOTENAY E,Labour Force Indicators,Unemployment rate,14.2,2001
5903043,CENTRAL KOOTENAY F,Income in 2000,Median total income of persons 15 years of age and over ($),25615,2001
5903043,CENTRAL KOOTENAY F,Labour Force Indicators,Employment rate,64,2001
5903043,CENTRAL KOOTENAY F,Labour Force Indicators,Unemployment rate,8.8,2001
5903045,CASTLEGAR,Income in 2000,Median total income of persons 15 years of age and over ($),21540,2001
5903045,CASTLEGAR,Labour Force Indicators,Employment rate,55.3,2001
5903045,CASTLEGAR,Labour Force Indicators,Unemployment rate,11.2,2001
5903047,CENTRAL KOOTENAY G,Income in 2000,Median total income of persons 15 years of age and over ($),18852,2001
5903047,CENTRAL KOOTENAY G,Labour Force Indicators,Employment rate,53.8,2001
5903047,CENTRAL KOOTENAY G,Labour Force Indicators,Unemployment rate,14.1,2001
5903050,NAKUSP,Income in 2000,Median total income of persons 15 years of age and over ($),17996,2001
5903050,NAKUSP,Labour Force Indicators,Employment rate,48.3,2001
5903050,NAKUSP,Labour Force Indicators,Unemployment rate,20.7,2001
5903052,CENTRAL KOOTENAY H,Income in 2000,Median total income of persons 15 years of age and over ($),17792,2001
5903052,CENTRAL KOOTENAY H,Labour Force Indicators,Employment rate,61.1,2001
5903052,CENTRAL KOOTENAY H,Labour Force Indicators,Unemployment rate,10.9,2001
5903056,CENTRAL KOOTENAY I,Income in 2000,Median total income of persons 15 years of age and over ($),20572,2001
5903056,CENTRAL KOOTENAY I,Labour Force Indicators,Employment rate,57.4,2001
5903056,CENTRAL KOOTENAY I,Labour Force Indicators,Unemployment rate,11.7,2001
5903058,CENTRAL KOOTENAY J,Income in 2000,Median total income of persons 15 years of age and over ($),23877,2001
5903058,CENTRAL KOOTENAY J,Labour Force Indicators,Employment rate,56.4,2001
5903058,CENTRAL KOOTENAY J,Labour Force Indicators,Unemployment rate,12.6,2001
5903060,CENTRAL KOOTENAY K,Income in 2000,Median total income of persons 15 years of age and over ($),16903,2001
5903060,CENTRAL KOOTENAY K,Labour Force Indicators,Employment rate,46.2,2001
5903060,CENTRAL KOOTENAY K,Labour Force Indicators,Unemployment rate,19.1,2001
5903807,CRESTON 1,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5903807,CRESTON 1,Labour Force Indicators,Employment rate,52.9,2001
5903807,CRESTON 1,Labour Force Indicators,Unemployment rate,18.2,2001
5905005,FRUITVALE,Income in 2000,Median total income of persons 15 years of age and over ($),20411,2001
5905005,FRUITVALE,Labour Force Indicators,Employment rate,57.5,2001
5905005,FRUITVALE,Labour Force Indicators,Unemployment rate,6.7,2001
5905009,MONTROSE,Income in 2000,Median total income of persons 15 years of age and over ($),23714,2001
5905009,MONTROSE,Labour Force Indicators,Employment rate,49.2,2001
5905009,MONTROSE,Labour Force Indicators,Unemployment rate,16.3,2001
5905014,TRAIL,Income in 2000,Median total income of persons 15 years of age and over ($),20003,2001
5905014,TRAIL,Labour Force Indicators,Employment rate,46,2001
5905014,TRAIL,Labour Force Indicators,Unemployment rate,12.5,2001
5905018,WARFIELD,Income in 2000,Median total income of persons 15 years of age and over ($),26601,2001
5905018,WARFIELD,Labour Force Indicators,Employment rate,61.5,2001
5905018,WARFIELD,Labour Force Indicators,Unemployment rate,5,2001
5905023,ROSSLAND,Income in 2000,Median total income of persons 15 years of age and over ($),22998,2001
5905023,ROSSLAND,Labour Force Indicators,Employment rate,65.5,2001
5905023,ROSSLAND,Labour Force Indicators,Unemployment rate,8.5,2001
5905026,KOOTENAY BOUNDARY A,Income in 2000,Median total income of persons 15 years of age and over ($),21912,2001
5905026,KOOTENAY BOUNDARY A,Labour Force Indicators,Employment rate,58.4,2001
5905026,KOOTENAY BOUNDARY A,Labour Force Indicators,Unemployment rate,11.4,2001
5905030,KOOTENAY BOUNDARY B,Income in 2000,Median total income of persons 15 years of age and over ($),23331,2001
5905030,KOOTENAY BOUNDARY B,Labour Force Indicators,Employment rate,58.9,2001
5905030,KOOTENAY BOUNDARY B,Labour Force Indicators,Unemployment rate,7.1,2001
5905032,GRAND FORKS,Income in 2000,Median total income of persons 15 years of age and over ($),17649,2001
5905032,GRAND FORKS,Labour Force Indicators,Employment rate,53,2001
5905032,GRAND FORKS,Labour Force Indicators,Unemployment rate,7.2,2001
5905037,MIDWAY,Income in 2000,Median total income of persons 15 years of age and over ($),15494,2001
5905037,MIDWAY,Labour Force Indicators,Employment rate,45.5,2001
5905037,MIDWAY,Labour Force Indicators,Unemployment rate,3.8,2001
5905042,GREENWOOD,Income in 2000,Median total income of persons 15 years of age and over ($),15854,2001
5905042,GREENWOOD,Labour Force Indicators,Employment rate,43.2,2001
5905042,GREENWOOD,Labour Force Indicators,Unemployment rate,14.5,2001
5905050,KOOTENAY BOUNDARY C,Income in 2000,Median total income of persons 15 years of age and over ($),19041,2001
5905050,KOOTENAY BOUNDARY C,Labour Force Indicators,Employment rate,48.4,2001
5905050,KOOTENAY BOUNDARY C,Labour Force Indicators,Unemployment rate,9,2001
5905052,KOOTENAY BOUNDARY D,Income in 2000,Median total income of persons 15 years of age and over ($),17221,2001
5905052,KOOTENAY BOUNDARY D,Labour Force Indicators,Employment rate,58.8,2001
5905052,KOOTENAY BOUNDARY D,Labour Force Indicators,Unemployment rate,11.1,2001
5905054,KOOTENAY BOUNDARY E,Income in 2000,Median total income of persons 15 years of age and over ($),15644,2001
5905054,KOOTENAY BOUNDARY E,Labour Force Indicators,Employment rate,65.5,2001
5905054,KOOTENAY BOUNDARY E,Labour Force Indicators,Unemployment rate,9.7,2001
5907005,OSOYOOS,Income in 2000,Median total income of persons 15 years of age and over ($),16545,2001
5907005,OSOYOOS,Labour Force Indicators,Employment rate,36.4,2001
5907005,OSOYOOS,Labour Force Indicators,Unemployment rate,9.5,2001
5907009,KEREMEOS,Income in 2000,Median total income of persons 15 years of age and over ($),13125,2001
5907009,KEREMEOS,Labour Force Indicators,Employment rate,29.3,2001
5907009,KEREMEOS,Labour Force Indicators,Unemployment rate,14.5,2001
5907014,OLIVER,Income in 2000,Median total income of persons 15 years of age and over ($),16955,2001
5907014,OLIVER,Labour Force Indicators,Employment rate,41.4,2001
5907014,OLIVER,Labour Force Indicators,Unemployment rate,8.3,2001
5907022,OKANAGAN-SIMILKAMEEN A,Income in 2000,Median total income of persons 15 years of age and over ($),18221,2001
5907022,OKANAGAN-SIMILKAMEEN A,Labour Force Indicators,Employment rate,56.7,2001
5907022,OKANAGAN-SIMILKAMEEN A,Labour Force Indicators,Unemployment rate,11.9,2001
5907024,PRINCETON,Income in 2000,Median total income of persons 15 years of age and over ($),15843,2001
5907024,PRINCETON,Labour Force Indicators,Employment rate,46,2001
5907024,PRINCETON,Labour Force Indicators,Unemployment rate,14.2,2001
5907026,OKANAGAN-SIMILKAMEEN B,Income in 2000,Median total income of persons 15 years of age and over ($),12180,2001
5907026,OKANAGAN-SIMILKAMEEN B,Labour Force Indicators,Employment rate,60.4,2001
5907026,OKANAGAN-SIMILKAMEEN B,Labour Force Indicators,Unemployment rate,5.6,2001
5907028,OKANAGAN-SIMILKAMEEN C,Income in 2000,Median total income of persons 15 years of age and over ($),15524,2001
5907028,OKANAGAN-SIMILKAMEEN C,Labour Force Indicators,Employment rate,54.1,2001
5907028,OKANAGAN-SIMILKAMEEN C,Labour Force Indicators,Unemployment rate,7,2001
5907035,SUMMERLAND,Income in 2000,Median total income of persons 15 years of age and over ($),21658,2001
5907035,SUMMERLAND,Labour Force Indicators,Employment rate,51.5,2001
5907035,SUMMERLAND,Labour Force Indicators,Unemployment rate,8.1,2001
5907041,PENTICTON,Income in 2000,Median total income of persons 15 years of age and over ($),18576,2001
5907041,PENTICTON,Labour Force Indicators,Employment rate,47.9,2001
5907041,PENTICTON,Labour Force Indicators,Unemployment rate,11.2,2001
5907047,OKANAGAN-SIMILKAMEEN D,Income in 2000,Median total income of persons 15 years of age and over ($),21962,2001
5907047,OKANAGAN-SIMILKAMEEN D,Labour Force Indicators,Employment rate,51.1,2001
5907047,OKANAGAN-SIMILKAMEEN D,Labour Force Indicators,Unemployment rate,8.1,2001
5907049,OKANAGAN-SIMILKAMEEN E,Income in 2000,Median total income of persons 15 years of age and over ($),22832,2001
5907049,OKANAGAN-SIMILKAMEEN E,Labour Force Indicators,Employment rate,61.3,2001
5907049,OKANAGAN-SIMILKAMEEN E,Labour Force Indicators,Unemployment rate,8.6,2001
5907051,OKANAGAN-SIMILKAMEEN F,Income in 2000,Median total income of persons 15 years of age and over ($),22026,2001
5907051,OKANAGAN-SIMILKAMEEN F,Labour Force Indicators,Employment rate,59.3,2001
5907051,OKANAGAN-SIMILKAMEEN F,Labour Force Indicators,Unemployment rate,7.2,2001
5907053,OKANAGAN-SIMILKAMEEN G,Income in 2000,Median total income of persons 15 years of age and over ($),12466,2001
5907053,OKANAGAN-SIMILKAMEEN G,Labour Force Indicators,Employment rate,42.2,2001
5907053,OKANAGAN-SIMILKAMEEN G,Labour Force Indicators,Unemployment rate,10.6,2001
5907055,OKANAGAN-SIMILKAMEEN H,Income in 2000,Median total income of persons 15 years of age and over ($),18916,2001
5907055,OKANAGAN-SIMILKAMEEN H,Labour Force Indicators,Employment rate,51.8,2001
5907055,OKANAGAN-SIMILKAMEEN H,Labour Force Indicators,Unemployment rate,11.5,2001
5907801,LOWER SIMILKAMEEN 2,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5907801,LOWER SIMILKAMEEN 2,Labour Force Indicators,Employment rate,42.9,2001
5907801,LOWER SIMILKAMEEN 2,Labour Force Indicators,Unemployment rate,0,2001
5907802,OSOYOOS 1,Income in 2000,Median total income of persons 15 years of age and over ($),15565,2001
5907802,OSOYOOS 1,Labour Force Indicators,Employment rate,42.4,2001
5907802,OSOYOOS 1,Labour Force Indicators,Unemployment rate,7,2001
5907803,PENTICTON 1,Income in 2000,Median total income of persons 15 years of age and over ($),17574,2001
5907803,PENTICTON 1,Labour Force Indicators,Employment rate,18.9,2001
5907803,PENTICTON 1,Labour Force Indicators,Unemployment rate,20,2001
5907805,CHOPAKA 7 & 8,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5907805,CHOPAKA 7 & 8,Labour Force Indicators,Employment rate,25,2001
5907805,CHOPAKA 7 & 8,Labour Force Indicators,Unemployment rate,0,2001
5907806,BLIND CREEK 6,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5907806,BLIND CREEK 6,Labour Force Indicators,Employment rate,NA,2001
5907806,BLIND CREEK 6,Labour Force Indicators,Unemployment rate,NA,2001
5907807,CHUCHUWAYHA 2,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5907807,CHUCHUWAYHA 2,Labour Force Indicators,Employment rate,66.7,2001
5907807,CHUCHUWAYHA 2,Labour Force Indicators,Unemployment rate,0,2001
5907808,ALEXIS 9,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5907808,ALEXIS 9,Labour Force Indicators,Employment rate,NA,2001
5907808,ALEXIS 9,Labour Force Indicators,Unemployment rate,NA,2001
5907809,ASHNOLA 10,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5907809,ASHNOLA 10,Labour Force Indicators,Employment rate,55.6,2001
5907809,ASHNOLA 10,Labour Force Indicators,Unemployment rate,33.3,2001
5909009,HOPE,Income in 2000,Median total income of persons 15 years of age and over ($),18239,2001
5909009,HOPE,Labour Force Indicators,Employment rate,53.3,2001
5909009,HOPE,Labour Force Indicators,Unemployment rate,11.9,2001
5909014,FRASER VALLEY A,Income in 2000,Median total income of persons 15 years of age and over ($),15925,2001
5909014,FRASER VALLEY A,Labour Force Indicators,Employment rate,57.9,2001
5909014,FRASER VALLEY A,Labour Force Indicators,Unemployment rate,11.5,2001
5909016,FRASER VALLEY B,Income in 2000,Median total income of persons 15 years of age and over ($),14508,2001
5909016,FRASER VALLEY B,Labour Force Indicators,Employment rate,46.8,2001
5909016,FRASER VALLEY B,Labour Force Indicators,Unemployment rate,13.2,2001
5909020,CHILLIWACK,Income in 2000,Median total income of persons 15 years of age and over ($),20087,2001
5909020,CHILLIWACK,Labour Force Indicators,Employment rate,57.4,2001
5909020,CHILLIWACK,Labour Force Indicators,Unemployment rate,8.3,2001
5909027,HARRISON HOT SPRINGS,Income in 2000,Median total income of persons 15 years of age and over ($),20552,2001
5909027,HARRISON HOT SPRINGS,Labour Force Indicators,Employment rate,55.8,2001
5909027,HARRISON HOT SPRINGS,Labour Force Indicators,Unemployment rate,3.8,2001
5909032,KENT,Income in 2000,Median total income of persons 15 years of age and over ($),18566,2001
5909032,KENT,Labour Force Indicators,Employment rate,58.5,2001
5909032,KENT,Labour Force Indicators,Unemployment rate,5.3,2001
5909034,FRASER VALLEY D,Income in 2000,Median total income of persons 15 years of age and over ($),20964,2001
5909034,FRASER VALLEY D,Labour Force Indicators,Employment rate,56.5,2001
5909034,FRASER VALLEY D,Labour Force Indicators,Unemployment rate,5.9,2001
5909036,FRASER VALLEY E,Income in 2000,Median total income of persons 15 years of age and over ($),21226,2001
5909036,FRASER VALLEY E,Labour Force Indicators,Employment rate,56.9,2001
5909036,FRASER VALLEY E,Labour Force Indicators,Unemployment rate,8.4,2001
5909048,FRASER VALLEY C,Income in 2000,Median total income of persons 15 years of age and over ($),16539,2001
5909048,FRASER VALLEY C,Labour Force Indicators,Employment rate,46,2001
5909048,FRASER VALLEY C,Labour Force Indicators,Unemployment rate,17.1,2001
5909052,ABBOTSFORD,Income in 2000,Median total income of persons 15 years of age and over ($),20335,2001
5909052,ABBOTSFORD,Labour Force Indicators,Employment rate,61.5,2001
5909052,ABBOTSFORD,Labour Force Indicators,Unemployment rate,8.2,2001
5909056,MISSION,Income in 2000,Median total income of persons 15 years of age and over ($),21862,2001
5909056,MISSION,Labour Force Indicators,Employment rate,60.8,2001
5909056,MISSION,Labour Force Indicators,Unemployment rate,8.1,2001
5909060,FRASER VALLEY F,Income in 2000,Median total income of persons 15 years of age and over ($),21639,2001
5909060,FRASER VALLEY F,Labour Force Indicators,Employment rate,61.6,2001
5909060,FRASER VALLEY F,Labour Force Indicators,Unemployment rate,13.8,2001
5909062,FRASER VALLEY G,Income in 2000,Median total income of persons 15 years of age and over ($),20577,2001
5909062,FRASER VALLEY G,Labour Force Indicators,Employment rate,62,2001
5909062,FRASER VALLEY G,Labour Force Indicators,Unemployment rate,9.1,2001
5909064,FRASER VALLEY H,Income in 2000,Median total income of persons 15 years of age and over ($),23370,2001
5909064,FRASER VALLEY H,Labour Force Indicators,Employment rate,68.8,2001
5909064,FRASER VALLEY H,Labour Force Indicators,Unemployment rate,6.4,2001
5909801,AYWAWWIS 15,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909801,AYWAWWIS 15,Labour Force Indicators,Employment rate,NA,2001
5909801,AYWAWWIS 15,Labour Force Indicators,Unemployment rate,NA,2001
5909802,BOOTHROYD 5A,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909802,BOOTHROYD 5A,Labour Force Indicators,Employment rate,NA,2001
5909802,BOOTHROYD 5A,Labour Force Indicators,Unemployment rate,NA,2001
5909803,BOOTHROYD 8A,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909803,BOOTHROYD 8A,Labour Force Indicators,Employment rate,NA,2001
5909803,BOOTHROYD 8A,Labour Force Indicators,Unemployment rate,NA,2001
5909804,CHAWATHIL 4,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5909804,CHAWATHIL 4,Labour Force Indicators,Employment rate,35,2001
5909804,CHAWATHIL 4,Labour Force Indicators,Unemployment rate,33.3,2001
5909805,INKAHTSAPH 6,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909805,INKAHTSAPH 6,Labour Force Indicators,Employment rate,NA,2001
5909805,INKAHTSAPH 6,Labour Force Indicators,Unemployment rate,NA,2001
5909806,KOPCHITCHIN 2,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5909806,KOPCHITCHIN 2,Labour Force Indicators,Employment rate,37.5,2001
5909806,KOPCHITCHIN 2,Labour Force Indicators,Unemployment rate,40,2001
5909807,OHAMIL 1,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5909807,OHAMIL 1,Labour Force Indicators,Employment rate,37.5,2001
5909807,OHAMIL 1,Labour Force Indicators,Unemployment rate,0,2001
5909808,PUCKATHOLETCHIN 11,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909808,PUCKATHOLETCHIN 11,Labour Force Indicators,Employment rate,NA,2001
5909808,PUCKATHOLETCHIN 11,Labour Force Indicators,Unemployment rate,NA,2001
5909809,SADDLE ROCK 9,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909809,SADDLE ROCK 9,Labour Force Indicators,Employment rate,NA,2001
5909809,SADDLE ROCK 9,Labour Force Indicators,Unemployment rate,NA,2001
5909810,LUKSEETSISSUM 9,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909810,LUKSEETSISSUM 9,Labour Force Indicators,Employment rate,NA,2001
5909810,LUKSEETSISSUM 9,Labour Force Indicators,Unemployment rate,NA,2001
5909811,RUBY CREEK 2,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909811,RUBY CREEK 2,Labour Force Indicators,Employment rate,NA,2001
5909811,RUBY CREEK 2,Labour Force Indicators,Unemployment rate,NA,2001
5909812,SCHKAM 2,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5909812,SCHKAM 2,Labour Force Indicators,Employment rate,35.7,2001
5909812,SCHKAM 2,Labour Force Indicators,Unemployment rate,37.5,2001
5909813,SHO-OOK 5,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909813,SHO-OOK 5,Labour Force Indicators,Employment rate,NA,2001
5909813,SHO-OOK 5,Labour Force Indicators,Unemployment rate,NA,2001
5909814,SKAWAHLOOK 1,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909814,SKAWAHLOOK 1,Labour Force Indicators,Employment rate,NA,2001
5909814,SKAWAHLOOK 1,Labour Force Indicators,Unemployment rate,NA,2001
5909815,SPEYUM 3,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909815,SPEYUM 3,Labour Force Indicators,Employment rate,NA,2001
5909815,SPEYUM 3,Labour Force Indicators,Unemployment rate,NA,2001
5909816,SPUZZUM 1,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5909816,SPUZZUM 1,Labour Force Indicators,Employment rate,50,2001
5909816,SPUZZUM 1,Labour Force Indicators,Unemployment rate,40,2001
5909817,TUCKKWIOWHUM 1,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909817,TUCKKWIOWHUM 1,Labour Force Indicators,Employment rate,NA,2001
5909817,TUCKKWIOWHUM 1,Labour Force Indicators,Unemployment rate,NA,2001
5909818,YALE TOWN 1,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909818,YALE TOWN 1,Labour Force Indicators,Employment rate,NA,2001
5909818,YALE TOWN 1,Labour Force Indicators,Unemployment rate,NA,2001
5909819,KAHMOOSE 4,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5909819,KAHMOOSE 4,Labour Force Indicators,Employment rate,50,2001
5909819,KAHMOOSE 4,Labour Force Indicators,Unemployment rate,33.3,2001
5909820,CHAUMOX 11,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909820,CHAUMOX 11,Labour Force Indicators,Employment rate,NA,2001
5909820,CHAUMOX 11,Labour Force Indicators,Unemployment rate,NA,2001
5909821,KWAWKWAWAPILT 6,Income in 2000,Median total income of persons 15 years of age and over ($),18854,2001
5909821,KWAWKWAWAPILT 6,Labour Force Indicators,Employment rate,26.1,2001
5909821,KWAWKWAWAPILT 6,Labour Force Indicators,Unemployment rate,10,2001
5909822,SKOWKALE 10,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5909822,SKOWKALE 10,Labour Force Indicators,Employment rate,57.5,2001
5909822,SKOWKALE 10,Labour Force Indicators,Unemployment rate,8.3,2001
