layer,targets,name,units,description,data_source,bibtex
lv_unempl_fn,LVF,Unemployment rate (First Nations),proportion,Mean unemployment rate for First Nations communities,census,statisticscanada_2017
lv_income_nonfn,LVN,Median household income (non-FN),2016 Can$,Population-weighted mean of CPI-adjusted median household income for non-FN communities,census,statisticscanada_2017
lv_unempl_nonfn,LVN,Unemployment rate (non-FN),proportion,Mean unemployment rate for non-FN communities,census,statisticscanada_2017
lsp_prot_area_inland_ws,LSP,Inland coastal protected areas,sq km,Protected areas located 1 km inland,WDPA 2017,iucn_2018a
lsp_prot_area_offshore3nm,LSP,Offshore coastal protected areas,sq km,Protected areas located within 3nm offshore,WDPA 2017,iucn_2018a
lsp_tot_area_inland_ws,LSP,Total inland watershed area,sq km,Inland area of OHI regions within coastal subwatersheds,DataBC portal,geobc_2011
lsp_tot_area_offshore3nm,LSP,Total offshore 3 nm area,sq km,Offshore area of OHI regions within 3nm of shoreline,(created),ohara_2019
mapp_resilience,resilience,MaPP Resilience,scaled 0-1,Resilience due to MaPP process and plans,(created),ohara_2019
aqc_harvest_tonnes,AQC,Mariculture harvest,tonnes,Tonnes of mariculture harvest,DFO,dfo_aq_production_2017
aqc_potential,AQC,Aquaculture production potential,t/sq km/year,Aquaculture production potential for finfish and shellfish at different reference levels,Gentry et al 2017,gentry_2017
aqc_tenure_areas,AQC,Aquaculture tenure area,sq km,DFO aquaculture tenures,DFO,dfo_aq_tenures_2017
po_chemical,pressures,Chemical pollution,scaled 0-1,"Modeled chemical pollution from commercial shipping traffic, ports and harbors, and pesticide use",CHI,halpern_2019
po_chemical_3nm,CW pressures,Coastal chemical pollution,scaled 0-1,"Modeled chemical pollution from commercial shipping traffic, ports and harbors, land-based pesticide use (organic pollution), and urban runoff (inorganic pollution)",CHI,halpern_2019
po_nutrient,pressures,Nutrient pollution,scaled 0-1,Modeled data based on fertilizer consumption from the Food and Agricultural Organization,CHI,halpern_2019
po_nutrient_3nm,CW pressures,Coastal nutrient pollution,scaled 0-1,Modeled data based on fertilizer consumption from the Food and Agricultural Organization,CHI,halpern_2019
po_pathogen,CW pressures,Pathogen pollution,scaled 0-1,population density without access to improved sanitation,,ianac_2011; environmentcanada_2011; environmentcanada_2010; environmentcanada_2007
po_trash,CW pressures,Marine plastics,scaled 0-1,Global marine plastics,Van Sebille 2015,vansebille_2015
rgn_areas,spatial,Region areas based on EEZ boundaries,sq km,Area of OHIBC regions modified from MaPP boundaries within BC exclusive economic zone,(created),ohara_2019
rgn_labels,spatial,Regions,region name,Region names by region ID,(created),ohara_2019
sal_catch,SAL,Salmon catch/catch target,ratio,Salmon catch relative to catch target as proxy for maximizing sustainable yield for commercial fishing purposes,DFO,lgllimited_2017; pacificsalmoncommission_2017; dfo_sal_data_2017
sp_alien,pressures,Nonindigenous species,scaled 0-1,Measure of harmful invasive species, ,molnar_2008
sp_genetic,pressures,Genetic escapes,scaled 0-1,Introduced mariculture species (Mariculture Sustainability Index) as a proxy for genetic escapes,DFO,trujillo_2007
species_diversity_3nm,resilience,Coastal ecological integrity,scaled 0-1,Marine species condition (same calculation and data as the species subgoal status score) calculated within 3 nm of shoreline as a proxy for ecological integrity,"IUCN 2017, AquaMaps 2017, BirdLife Int'l 2017, COSEWIC 2017",iucn_2018; kaschner_2016; bli_2018; bcsee_2018
species_diversity_eez,resilience,Marine ecological integrity,scaled 0-1,Marine species condition (same calculation and data as the species subgoal status score) calculated within eez as a proxy for ecological integrity,"IUCN 2017, AquaMaps 2017, BirdLife Int'l 2017, COSEWIC 2017",iucn_2018; kaschner_2016; bli_2018; bcsee_2018
spp_pop_trends,SPP,Species population trend,stable incr decr,Species population trend based on most recent IUCN Red List assessment,"IUCN 2017, COSEWIC 2017",iucn_2018; bcsee_2018
spp_range_areas,SPP,Species range as pct of region,ratio,Species range as a proportion of region area as determined by IUCN or AquaMaps range maps,"IUCN 2017, AquaMaps 2017, BirdLife Int'l 2017",iucn_2018; kaschner_2016; bli_2018
spp_risk_scores,SPP,Species risk category score,scaled 0-1,Species risk score based on IUCN Red List extinction risk category,"IUCN 2017, COSEWIC 2017",iucn_2018; bcsee_2018
ss_cwbi_all,pressures,Inverse Community Well-Being Index all,scaled 0-1,(1 - Community Well-Being Index) across all OHIBC census subdivisions reporting on four components and overall index,CWBI,cwbi_2015
ss_cwbi_fn,pressures,Inverse Community Well-Being Index First Nations,scaled 0-1,(1 - Community Well-Being Index) across OHIBC First Nations census subdivisions reporting on four components and overall index,CWBI,cwbi_2015
tr_park_visits,TR,Park visitors,count,Number of visitors to provincial parks in OHIBC regions,BC Parks,bcparks_2017
tr_vis_ctr_visits,TR,Visitor center visitors,count,Number of visitors to visitor centers in OHIBC regions,DataBC,destbc_2016
