layer,dir_prep,fn_data,ingest,name_data_fld,targets,name,units,description
hd_subtidal_hb,ohibc:calc_ohibc/master/dummy_layers,hd_subtidal_hb_gl2016placeholder.csv,TRUE,score,pressure,Subtidal hardbottom habitat destruction,scaled 0-1,High bycatch artisanal fishing practices (blast fishing) as a proxy for subtidal hard bottom habitat destruction
hd_subtidal_sb,ohibc:calc_ohibc/master/dummy_layers,hd_subtidal_sb_gl2016.csv,TRUE,pressure_score,pressure,Subtidal softbottom habitat destruction,scaled 0-1,"Demersal destructive commercial fishing practices (i.e., trawling) in softbottom habitat as a proxy for soft bottom habitat destruction"
ico_spp_risk_score,ohibc:prep/spp_ico/v2017/output,ico_risk_by_year.csv,TRUE,risk_score,ICO,IUCN or BCSEE extinction risk score,IUCN or BCSEE risk category score,IUCN or BCSEE scored extinction risk category for iconic species per assessment year
ico_spp_presence,ohibc:prep/spp_ico/v2017/output,ico_spp_by_rgn.csv,TRUE,rgn_id,ICO,Region ID,ICO spp presence within OHIBC regions,List of iconic species and the regions in which they are found according to IUCN or Aquamaps
le_gdp,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,LE,GDP,2012 USD,Gross Domestic Product (GDP)
le_gdp_pc_ppp,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,LE,GDP per capita PPP,USD,Gross domestic product per person at purchasing power parity
le_jobs_cur_adj_value,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,LE,Current jobs adjusted,value,Modeled LE data
le_jobs_cur_base_value,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,LE,Current jobs base,value,Modeled LE data
le_jobs_ref_adj_value,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,LE,Reference jobs adjusted,value,Modeled LE data
le_jobs_ref_base_value,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,LE,Reference jobs base,value,Modeled LE data
le_jobs_sector_year,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,LE,Jobs,number of jobs,Modeled LE data
le_popn,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,LE,Total human population,number of people,Human population of OHI regions
le_rev_cur_adj_value,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,LE,Current revenue adjusted,value,Modeled LE data
le_rev_cur_base_value,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,LE,Current revenue base,value,Modeled LE data
le_rev_ref_adj_value,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,LE,Reference revenue adjusted,value,Modeled LE data
le_rev_ref_base_value,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,LE,Reference revenue base,value,Modeled LE data
le_rev_sector_year,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,LE,Revenue,2010 USD,Modeled LE data
le_revenue_adj,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,LE,Revenue adjusted,USD,Modeled LE data
le_sector_weight,ohibc:calc_ohibc/master/dummy_layers,le_sector_weight_gl2016.csv,TRUE,weight,LE,Sector weight by jobs,value,Proportion of jobs within each sector
le_unemployment,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,LE,Unemployment,proportion,Modeled LE data
le_wage_cur_adj_value,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,LE,Current wages adjusted,value,Modeled LE data
le_wage_cur_base_value,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,LE,Current wages base,value,Modeled LE data
le_wage_ref_adj_value,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,LE,Reference wages adjusted,value,Modeled LE data
le_wage_ref_base_value,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,LE,Reference wages base,value,Modeled LE data
le_wage_sector_year,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,LE,Wages,2010 USD,Modeled LE data
le_workforcesize_adj,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,LE,Adjusted workforce size,number of jobs,Modeled LE data
li_gci,ohibc:calc_ohibc/master/dummy_layers,li_gci_gl2016.csv,TRUE,score,resilience,Competitiveness in achieving sustained economic prosperity,scaled,Global Competitiveness Index (GCI) scores from the World Economic Forum
li_sector_evenness,ohibc:calc_ohibc/master/dummy_layers,li_sector_evenness_gl2016.csv,TRUE,resilience_score,resilience,Sector evenness as a measure of economic diversity,scaled,Shannon's Diversity Index calculated sector evenness based on the total number of sectors and the proportion of jobs belonging to any sector
lsp_prot_area_inland_ws,ohibc:prep/lsp/v2017/output,lsp_protected_inland_ws.csv,TRUE,a_prot_inland,LSP,Inland coastal protected areas,km2,Protected areas located 1 km inland
lsp_prot_area_offshore3nm,ohibc:prep/lsp/v2017/output,lsp_protected_offshore3nm.csv,TRUE,a_prot_3nm,LSP,Offshore coastal protected areas,km2,Protected areas located 3nm offshore
lsp_tot_area_inland_ws,ohibc:prep/lsp/v2017/output,lsp_a_total_inland_ws.csv,TRUE,a_tot_inland,LSP,Inland area,km2,Inland area of OHI regions within 1km of shoreline
lsp_tot_area_offshore3nm,ohibc:prep/lsp/v2017/output,lsp_a_total_offshore3nm.csv  ,TRUE,a_tot_3nm,LSP,Offshore area,km2,Offshore area of OHI regions within 3nm of shoreline
mar_coastalpopn_inland25mi,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,MAR,Inland coastal population,number of people,Total coastal population within 25 miles of coast.
mar_harvest_tonnes,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,MAR,Mariculture harvest,tonnes,Tonnes of mariculture harvest
mar_sustainability_score,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,MAR,Mariculture sustainability score,score,Mariculture sustainability from the Mariculture Sustainability Index (MSI).
po_chemical,ohibc:prep/cw/v2017/output,po_chemical.csv,TRUE,chem_pressure,pressure,Chemical pollution,scaled 0-1,"Modeled chemical pollution from commercial shipping traffic, ports and harbors, and pesticide use"
po_chemical_3nm,ohibc:prep/cw/v2017/output,po_chemical_3nm.csv,TRUE,chem_pressure,CW pressure,Coastal chemical pollution,scaled 0-1,"Modeled chemical pollution from commercial shipping traffic, ports and harbors, land-based pesticide use (organic pollution), and urban runoff (inorganic pollution)"
po_nutrient,prep/cw/v2017/output,po_nutrient.csv,TRUE,nutr_pressure,pressure,Nutrient pollution,scaled 0-1,Modeled data based on fertilizer consumption from the Food and Agricultural Organization
po_nutrient_3nm,ohibc:prep/cw/v2017/output,po_nutrient_3nm.csv,TRUE,nutr_pressure,CW pressure,Coastal nutrient pollution,scaled 0-1,Modeled data based on fertilizer consumption from the Food and Agricultural Organization
po_pathogens_closures,ohibc:prep/ao/v2017/output,ao_closures.csv,TRUE,days_avg,CW pressure,Pathogen pollution,scaled 0-1,Area-weighted closure days due to all causes (biotoxins chemical sanitation)
po_trash,ohibc:prep/cw/v2017/output,po_trash.csv,TRUE,trash_pressure,CW pressure,Marine plastics,scaled 0-1,Global marine plastics
po_water,ohibc:calc_ohibc/master/dummy_layers,po_water_gl2016.csv,TRUE,resilience_score,pressure,Management and regulations to control water pollution to preserve biodiversity,scaled 0-1,Survey responses by country to the Convention on Biologicial Diversity (CBD) Third National Report: tourism related questions
res_spi,ohibc:calc_ohibc/master/dummy_layers,res_spi_gl2016.csv,FALSE,resilience_score,resilience,Social Progress Index,scaled 0-1,Social Progress Index scores
rgn_area,ohibc:calc_ohibc/master/dummy_layers,rgn_area.csv,TRUE,area_km2,spatial,Region areas based on EEZ boundaries,km2,Area of Ocean Health Index regions modified from exclusive economic zones
rgn_labels,ohibc:calc_ohibc/master/dummy_layers,rgn_labels.csv,TRUE,label,spatial,Regions,label,"Regions by type (eez, subocean, unclaimed)"
sp_alien,ohibc:calc_ohibc/master/dummy_layers,sp_alien_gl2016.csv,TRUE,pressure_score,pressure,Nonindigenous species,scaled 0-1,Measure of harmful invasive species
sp_alien_species,ohibc:calc_ohibc/master/dummy_layers,sp_alien_species_gl2016.csv,TRUE,resilience_score,resilience,Management of nonindigenous species,scaled 0-1,Survey responses by country to the Convention on Biologicial Diversity (CBD) Third National Report: invasive species related questions
sp_genetic,ohibc:calc_ohibc/master/dummy_layers,sp_genetic_gl2016.csv,TRUE,pressure_score,pressure,Genetic escapes,scaled 0-1,Introduced mariculture species (Mariculture Sustainability Index) as a proxy for genetic escapes
species_diversity_3nm,ohibc:prep/spp_ico/v2017/output,spp_status_3nm.csv,TRUE,status,resilience,Measure of coastal ecological integrity,scaled 0-1,Marine species condition (same calculation and data as the species subgoal status score)  calculated within 3 nm of shoreline as a proxy for ecological integrity
spp_risk_scores,ohibc:prep/spp_ico/v2017/output,spp_risk_by_year.csv,TRUE,risk_score,SPP,Species risk category score,rescaled category score,Species risk score based on IUCN Red List extinction risk category
spp_pop_trends,ohibc:prep/spp_ico/v2017/output,spp_trend_by_id.csv,TRUE,pop_trend,SPP,Species population trend,'stable' 'increasing' or 'decreasing',Species population trend based on most recent IUCN Red List assessment
spp_range_areas,ohibc:prep/spp_ico/v2017/output,spp_area_by_rgn.csv,TRUE,spp_pct_area,SPP,Species range as pct of region,percent of area,Species range as a percent of region area as determined by IUCN or AquaMaps range maps
ss_spi,ohibc:calc_ohibc/master/dummy_layers,ss_spi_gl2016.csv,FALSE,pressure_score,pressure,Weakness of social progress,scaled 0-1,Inverse of Social Progress Index scores
ss_wgi,ohibc:calc_ohibc/master/dummy_layers,ss_wgi_gl2016.csv,TRUE,pressure_score,pressure,Weakness of governance,scaled 0-1,Inverse of World Governance Indicators (WGI) six combined scores
tr_jobs_pct_tourism,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,TR,Percent direct employment in tourism,proportion,Percent direct employment in tourism
tr_sustainability,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,TR,Tourism sustainability index,score,Tourism Competitiveness Index (TTCI)
tr_travelwarnings,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,TR,US State Department travel warnings,score,Countries with US State Department travel warnings
wgi_all,ohibc:calc_ohibc/master/dummy_layers,wgi_all_gl2016.csv,TRUE,resilience_score,resilience,Strength of governance,scaled 0-1,World Governance Indicators (WGI) six combined scores
