am_sid,iucn_sid,spatial_source,sciname,cat_score,pr_score,trend_score
Fis-23899,39339,am,Alopias vulpinus,0.4,NA,-0.5
Fis-23904,18123960,am,Anoplogaster cornuta,0,NA,NA
Fis-23905,190385,am,Antimora rostrata,0,NA,NA
Fis-24068,60191,am,Hydrolagus colliei,0,NA,0
Fis-24151,16545183,am,Nomeus gronovii,0,NA,NA
Fis-24154,15601872,am,Notoscopelus resplendens,0,NA,0
Fis-24308,161661,am,Bathyraja aleutica,0,NA,NA
Fis-24310,161402,am,Bathyraja interrupta,0,NA,NA
Fis-24311,161471,am,Bathyraja parmifera,0,NA,NA
Fis-24312,161595,am,Raja rhina,0,NA,0
Fis-24314,161629,am,Raja stellulata,0,NA,NA
Fis-24315,161375,am,Bathyraja trachura,0,NA,NA
Fis-24332,NA,am,Salvelinus malma,0.2,0.2,NA
Fis-24354,184099,am,Spirinchus thaleichthys,0.2,0.2,NA
Fis-24450,183957,am,Atherinops affinis,0,NA,0
Fis-24451,183848,am,Atractoscion nobilis,0,NA,NA
Fis-24482,183991,am,Caulolatilus princeps,0,NA,NA
Fis-24514,155094,am,Clinocottus globiceps,0,NA,NA
Fis-24555,154977,am,Eopsetta jordani,0,NA,0
Fis-24609,190107,am,Eumecichthys fiski,0,NA,NA
Fis-24699,NA,am,Hypsopsetta guttulata,0,NA,NA
Fis-24741,135574,am,Liopsetta glacialis,0,NA,NA
Fis-24759,154845,am,Lyopsetta exilis,0,NA,0
Fis-24766,183618,am,Medialuna californiensis,0,NA,0
Fis-24768,154722,am,Hemilepidotus papilio,0,NA,NA
Fis-24809,14214,am,Myoxocephalus quadricornis,0,NA,0
Fis-24832,183355,am,Ophidion scrippsae,0,NA,NA
Fis-24895,154866,am,Pholis ornata,0,NA,NA
Fis-24899,19014407,am,Platichthys stellatus,0,NA,0
Fis-24923,18878,am,Pungitius pungitius,0,NA,0
Fis-24925,183926,am,Quietula y-cauda,0,NA,NA
Fis-24929,198650,am,Remora australis,0,NA,0
Fis-24930,155068,am,Remora brachyptera,0,NA,0
Fis-24933,155179,am,Rhacochilus vacca,0,NA,NA
Fis-25017,183353,am,Cosmocampus arctus,0,NA,NA
Fis-25165,15598887,am,Hygophum reinhardtii,0,NA,NA
Fis-25178,190261,am,Notolychnus valdiviae,0,NA,0
Fis-25233,39352,am,Galeorhinus galeus,0.4,NA,-0.5
Fis-25421,16509297,am,Promethichthys prometheus,0,NA,0
Fis-25456,190350,am,Avocettina infans,0,NA,NA
Fis-25469,190239,am,Poromitra crassiceps,0,NA,NA
Fis-25475,18125776,am,Coryphaenoides armatus,0,NA,NA
Fis-26206,15598524,am,Benthosema suborbitale,0,NA,0
Fis-26349,190403,am,Polyacanthonotus challengeri,0,NA,NA
Fis-26351,18140291,am,Narcetes stomias,0,NA,0
Fis-26352,15149121,am,Rouleina attrita,0,NA,NA
Fis-26531,198614,am,Diogenichthys atlanticus,0,NA,0
Fis-26565,190356,am,Aldrovandia affinis,0,NA,NA
Fis-26911,183593,am,Porichthys margaritatus,0,NA,NA
Fis-26997,63107,am,Callorhinchus callorynchus,0,NA,NA
Fis-27226,60471877,am,Lamprogrammus brunswigi,0,NA,NA
Fis-27245,18139045,am,Spectrunculus grandis,0,NA,NA
Fis-27254,195838,am,Aldrovandia phalacra,0,NA,NA
Fis-27275,21110056,am,Diretmoides pauciradiatus,0,NA,NA
Fis-27300,194989,am,Dysomma brevirostre,0,NA,NA
Fis-27598,15147816,am,Bajacalifornia megalops,0,NA,NA
Fis-27984,15148858,am,Herwigia kreffti,0,NA,NA
Fis-28109,18155933,am,Barbantus curvifrons,0,NA,NA
Fis-28112,21104612,am,Holtbyrnia innesi,0,NA,NA
Fis-28135,154635,am,Lestidiops ringens,0,NA,NA
Fis-28170,18253303,am,Valenciennellus tripunctulatus,0,NA,NA
Fis-28178,18257501,am,Rhadinesthes decimus,0,NA,NA
Fis-28239,190317,am,Bolinichthys photothorax,0,NA,0
Fis-28451,20431538,am,Decapterus muroadsi,0,NA,NA
Fis-28541,154663,am,Oneirodes acanthias,0,NA,NA
Fis-28825,161486,am,Bathyraja spinosissima,0,NA,NA
Fis-29263,154820,am,Alepisaurus ferox,0,NA,NA
Fis-29358,170350,am,Coryphaena equiselis,0,NA,0
Fis-29423,60225,am,Isurus paucus,0.4,NA,-0.5
Fis-29426,39342,am,Lamna ditropis,0,NA,0
Fis-29454,135567,am,Mugil cephalus,0,NA,0
Fis-29507,170306,iucn,Scomber japonicus,0,NA,0
Fis-29523,195097,am,Seriola lalandi,0,NA,0
Fis-29541,39328,am,Squatina californica,0.2,NA,NA
Fis-29588,233,am,Acipenser medirostris,0.8,0.8,0
Fis-29594,234,am,Acipenser transmontanus,0.714285714285714,0.714285714285714,0
Fis-29601,60469186,am,Alepisaurus brevirostris,0,NA,NA
Fis-29645,183283,am,Pronotogrammus multifasciatus,0,NA,NA
Fis-29731,198578,am,Beryx decadactylus,0,NA,NA
Fis-29801,190324,am,Chauliodus sloani,0,NA,NA
Fis-29858,NA,am,Coregonus sardinella,0.4,0.4,NA
Fis-29877,190067,am,Cryptopsaras couesii,0,NA,NA
Fis-29880,198757,am,Cyclothone braueri,0,NA,0
Fis-29881,192929,am,Cymatogaster aggregata,0,NA,0
Fis-29948,183856,am,Engraulis mordax,0,NA,0
Fis-30017,190163,am,Exocoetus obtusirostris,0,NA,NA
Fis-30039,8951,am,Gasterosteus aculeatus,0.3,0.3,0
Fis-30042,178917,am,Gibbonsia metzi,0,NA,NA
Fis-30043,178902,am,Gibbonsia montereyensis,0,NA,NA
Fis-30255,190116,am,Luvarus imperialis,0,NA,NA
Fis-30261,154953,am,Lycodes jugoricus,0,NA,NA
Fis-30341,16509242,am,Nealotus tripes,0,NA,0
Fis-30362,195852,am,Notacanthus chemnitzii,0,NA,NA
Fis-30514,183724,am,Porichthys notatus,0,NA,NA
Fis-30530,44566,am,Pseudotriakis microdon,0,NA,NA
Fis-30562,44183,am,Raja binoculata,0.2,NA,NA
Fis-30575,190378,am,Regalecus glesne,0,NA,NA
Fis-30583,19488,am,Rhincodon typus,0.4,NA,-0.5
Fis-30588,190432,am,Ruvettus pretiosus,0,NA,0
Fis-30643,NA,am,Sebastes paucispinis,0.8,NA,NA
Fis-30655,183750,am,Seriphus politus,0,NA,NA
Fis-30668,178105,am,Sphyraena argentea,0,NA,NA
Fis-30693,65374916,am,Syngnathus leptorhynchus,0,NA,NA
Fis-30711,198716,am,Tetragonurus cuvieri,0,NA,0
Fis-30783,184042,am,Citharichthys fragilis,0,NA,NA
Fis-30824,155216,am,Icelinus filamentosus,0,NA,NA
Fis-30832,202670,am,Leptocottus armatus,0,NA,0
Fis-30867,183346,am,Pleuronichthys ritteri,0,NA,NA
Fis-30868,183696,am,Pleuronichthys verticalis,0,NA,NA
Fis-30888,29609,am,Sebastolobus alascanus,0.6,NA,NA
Fis-30919,60483273,am,Rondeletia loricata,0,NA,NA
Fis-30920,21110276,am,Barbourisia rufa,0,NA,NA
Fis-31004,18227119,am,Eurypharynx pelecanoides,0,NA,NA
Fis-31020,18127741,am,Ceratias holboelli,0,NA,NA
Fis-31166,198579,am,Hoplostethus mediterraneus,0,NA,NA
Fis-31217,60140,am,Harriotta raleighana,0,NA,0
Fis-31235,190147,am,Searsia koefoedi,0,NA,NA
Fis-31237,15622831,am,Ectreposebastes imus,0,NA,NA
Fis-31240,18252612,am,Cyclothone acclinidens,0,NA,0
Fis-31271,154750,am,Sagamichthys abei,0,NA,NA
Fis-32102,18252619,am,Cyclothone pallida,0,NA,0
Fis-32103,18252629,am,Cyclothone pseudopallida,0,NA,0
Fis-32104,154998,am,Argyropelecus hemigymnus,0,NA,0
Fis-32330,18253296,am,Sternoptyx diaphana,0,NA,NA
Fis-32336,18155920,am,Opisthoproctus soleatus,0,NA,NA
Fis-32350,15601909,am,Neoscopelus macrolepidotus,0,NA,NA
Fis-32362,155093,am,Derichthys serpentinus,0,NA,NA
Fis-32379,199187,am,Stemonidium hypomelas,0,NA,NA
Fis-32421,18158583,am,Nesiarchus nasutus,0,NA,0
Fis-32457,154973,am,Bassozetus robustus,0,NA,NA
Fis-32714,196052,am,Myxine circifrons,0,NA,NA
Fis-32809,44993,am,Discopyge tschudii,0.2,NA,-0.5
Fis-32810,190384,am,Cubiceps caeruleus,0,NA,NA
Fis-33134,195841,am,Halosaurus attenuatus,0,NA,NA
Fis-33178,199068,am,Ilyophis brunneus,0,NA,NA
Fis-33181,18227109,am,Cyema atrum,0,NA,NA
Fis-33227,15601934,am,Leptochilichthys agassizii,0,NA,NA
Fis-33790,190149,am,Malacosteus niger,0,NA,NA
Fis-33804,190089,am,Diceratias pileatus,0,NA,NA
Fis-33821,18256560,am,Echiostoma barbatum,0,NA,NA
Fis-34206,190298,am,Photostylus pycnopterus,0,NA,NA
Fis-34410,190264,am,Rouleina maderensis,0,NA,NA
Fis-34595,57453720,am,Maulisia argipalla,0,NA,NA
Fis-34615,190217,am,Platytroctes apus,0,NA,NA
Fis-34639,155227,am,Serrivomer sector,0,NA,NA
Fis-34782,21133028,am,Heterophotus ophistoma,0,NA,NA
Fis-34827,18257303,am,Melanostomias bartonbeani,0,NA,NA
Fis-34831,20665743,am,Howella brodiei,0,NA,NA
Fis-34848,190353,am,Aristostomias tittmanni,0,NA,NA
Fis-35686,183761,am,Hippoglossina macrops,0,NA,NA
Fis-47643,13485635,am,Magnisudis atlantica,0,NA,NA
Fis-48198,NA,am,Coregonus autumnalis,0.7,0.7,NA
Fis-48258,NA,am,Entosphenus tridentatus,0,0,NA
Fis-48267,202625,am,Lampetra ayresii,0.2,0.2,NA
Fis-49079,190157,am,Lophodolos acanthognathus,0,NA,NA
Fis-49220,170341,iucn,Thunnus thynnus,0.4,NA,-0.5
Fis-49729,60479648,am,Mentodus facilis,0,NA,NA
Fis-49750,21133058,am,Neonesthes microcephalus,0,NA,NA
Fis-49902,13462713,am,Evermannella indica,0,NA,NA
Fis-49909,13462731,am,Odontostomops normalops,0,NA,NA
Fis-49913,13485675,am,Benthalbella infans,0,NA,NA
Fis-49921,20662028,am,Scopelarchoides danae,0,NA,NA
Fis-49922,190316,am,Scopelarchus analis,0,NA,NA
Fis-50053,155012,am,Sternoptyx obscura,0,NA,NA
Fis-50301,21132822,am,Melamphaes simus,0,NA,NA
Fis-50311,155189,am,Scopeloberyx opisthopterus,0,NA,NA
Fis-50370,190447,am,Caulophryne polynema,0,NA,NA
Fis-50370,21112867,am,Caulophryne polynema,0,NA,NA
Fis-50380,42830239,am,Melanocetus murrayi,0,NA,NA
Fis-50449,190278,am,Dolopichthys longicornis,0,NA,NA
Fis-50465,154698,am,Lophodolos indicus,0,NA,NA
Fis-50466,60471825,am,Kali macrura,0,NA,NA
Fis-50469,42830277,am,Microlophichthys microlophus,0,NA,NA
Fis-50491,18128749,am,Oneirodes eschrichtii,0,NA,NA
Fis-50569,21112879,am,Ceratias uranoscopus,0,NA,NA
Fis-50614,60470770,am,Haplophryne mollis,0,NA,NA
Fis-50633,21112898,am,Linophryne pennibarbata,0,NA,NA
Fis-50636,42830286,am,Photocorynus spiniceps,0,NA,NA
Fis-50764,60469175,am,Abyssobrotula galatheae,0,NA,NA
Fis-50841,15522140,am,Coryphaenoides leptolepis,0,NA,NA
Fis-52119,161430,am,Bathyraja lindbergi,0,NA,NA
Fis-52159,190109,am,Chiasmodon subniger,0,NA,NA
Fis-52166,154803,am,Venefica tentaculata,0,NA,NA
Fis-52203,NA,am,Osmerus dentex,0,NA,NA
Fis-52896,154674,am,Lampanyctus jordani,0,NA,NA
Fis-53389,190447,am,Caulophryne jordani,0,NA,NA
Fis-54081,NA,am,Sardinops sagax,0,NA,NA
Fis-54508,155322,am,Plectrogenium nanum,0,NA,NA
Fis-55811,155203,am,Talismania bifurcata,0,NA,NA
Fis-57570,18180983,am,Pachycara bulbiceps,0,NA,NA
Fis-58485,39341,am,Isurus oxyrinchus,0.4,NA,-0.5
Fis-63912,135719,am,Lethenteron camtschaticum,0,NA,NA
Fis-64212,190315,am,Serrivomer beanii,0,NA,NA
Fis-64697,18127840,am,Melanocetus johnsonii,0,NA,NA
ITS-174536,22697866,iucn-bli,Fulmarus glacialis,0.8,0.8,0.5
ITS-174628,22698511,iucn-bli,Oceanodroma leucorhoa,0.2,0.2,0
ITS-174685,22733989,iucn-bli,Pelecanus occidentalis,0,NA,0.5
ITS-174717,22696776,iucn-bli,Phalacrocorax auritus,0.3,0.3,0.5
ITS-174724,22696753,iucn-bli,Phalacrocorax penicillatus,0.8,0.8,-0.5
ITS-174725,22728950,iucn-bli,Phalacrocorax pelagicus,0.2,0.2,-0.5
ITS-175141,22680455,iucn-bli,Bucephala clangula,0,0,0
ITS-175144,22680459,iucn-bli,Bucephala islandica,0.1,0.1,0.5
ITS-175145,22680462,iucn-bli,Bucephala albeola,0,0,0.5
ITS-175147,22680427,iucn-bli,Clangula hyemalis,0.5,0.5,-0.5
ITS-175149,22680423,iucn-bli,Histrionicus histrionicus,0.2,0.2,0.5
ITS-175170,22680441,iucn-bli,Melanitta perspicillata,0.4,0.4,-0.5
ITS-175187,22680485,iucn-bli,Mergus serrator,0.2,0.2,0
ITS-176792,22694240,iucn-bli,Stercorarius pomarinus,0,NA,0
ITS-176808,22694343,iucn-bli,Larus hyperboreus,0,NA,0
ITS-176814,22694334,iucn-bli,Larus glaucescens,0.2,0.2,0.5
ITS-176816,22694362,iucn-bli,Larus schistisagus,0,NA,NA
ITS-176817,22694337,iucn-bli,Larus occidentalis,0,NA,0.5
ITS-176829,22694321,iucn-bli,Larus californicus,0.5,0.5,-0.5
ITS-176830,22694317,iucn-bli,Larus delawarensis,0.2,0.2,0.5
ITS-176832,22694308,iucn-bli,Larus canus,0.2,0.2,NA
ITS-176835,22694420,iucn-bli,Larus ridibundus,0,NA,-0.5
ITS-176839,22694432,iucn-bli,Larus philadelphia,0,NA,0.5
ITS-176841,22694296,iucn-bli,Larus heermanni,0.2,NA,0.5
ITS-176845,22694502,iucn-bli,Rissa brevirostris,0.4,NA,-0.5
ITS-176866,22694479,iucn-bli,Xema sabini,0,NA,0
ITS-176875,22694497,iucn-bli,Rissa tridactyla,0.8,0.8,-0.5
ITS-176888,22694623,iucn-bli,Sterna hirundo,0,NA,-0.5
ITS-176890,22694629,iucn-bli,Sterna paradisaea,0.2,0.2,-0.5
ITS-176935,22694524,iucn-bli,Hydroprogne caspia,0.4,0.4,0.5
ITS-176959,22694787,iucn-bli,Chlidonias niger,0.2,0.2,-0.5
ITS-176974,22694841,iucn-bli,Uria aalge,0.6,0.6,0.5
ITS-176978,22694847,iucn-bli,Uria lomvia,0.8,0.8,0.5
ITS-176991,22694864,iucn-bli,Cepphus columba,0.2,0.2,0
ITS-176996,22694870,iucn-bli,Brachyramphus marmoratus,0.4,0.4,-0.5
ITS-176998,22694875,iucn-bli,Brachyramphus brevirostris,0.2,NA,-0.5
ITS-177008,22694896,iucn-bli,Synthliboramphus antiquus,0.5,0.5,-0.5
ITS-177013,22694903,iucn-bli,Ptychoramphus aleuticus,0.4,0.4,-0.5
ITS-177023,22694924,iucn-bli,Cerorhinca monocerata,0.2,0.2,-0.5
ITS-177032,22694934,iucn-bli,Fratercula cirrhata,0.5,0.5,-0.5
ITS-Mam-180434,20731,iucn,Stenella coeruleoalba,0,NA,NA
ITS-Mam-180438,6336,iucn,Delphinus delphis,0,NA,NA
ITS-Mam-180444,11145,iucn,Lagenorhynchus obliquidens,0.1,0.1,NA
ITS-Mam-180454,12125,iucn,Lissodelphis borealis,0.2,0.2,NA
ITS-Mam-180457,9461,iucn,Grampus griseus,0.2,0.2,NA
ITS-Mam-180469,15421,am,Orcinus orca,0.6,0.6,NA
ITS-Mam-180473,17027,iucn,Phocoena phocoena,0.4,0.4,NA
ITS-Mam-180480,17032,iucn,Phocoenoides dalli,0.1,0.1,NA
ITS-Mam-180488,41755,iucn,Physeter macrocephalus,0.3,0.3,NA
ITS-Mam-180498,23211,iucn,Ziphius cavirostris,0,NA,NA
ITS-Mam-180521,8097,iucn,Eschrichtius robustus,0.4,0.4,0
ITS-Mam-180524,2474,iucn,Balaenoptera acutorostrata,0.2,0.2,0
ITS-Mam-180526,2475,iucn,Balaenoptera borealis,1,1,NA
ITS-Mam-180527,2478,iucn,Balaenoptera physalus,0.6,0.6,NA
ITS-Mam-180528,2477,iucn,Balaenoptera musculus,0.8,0.8,0.5
ITS-Mam-180530,13006,iucn,Megaptera novaeangliae,0.4,0.4,0.5
ITS-Mam-180547,7750,iucn,Enhydra lutris,0.4,0.4,-0.5
ITS-Mam-180621,41666,iucn,Zalophus californianus,0,0,0.5
ITS-Mam-180625,8239,iucn,Eumetopias jubatus,0.4,0.4,0.5
ITS-Mam-180627,3590,iucn,Callorhinus ursinus,0.6,0.6,-0.5
ITS-Mam-180649,17013,iucn,Phoca vitulina,0,0,0
ITS-Mam-180672,13581,iucn,Mirounga angustirostris,0.8,0.8,0.5
ITS-Mam-180681,10303,am,Hydrodamalis gigas,1,NA,NA
Rep-2666,3897,iucn,Caretta caretta,0.4,NA,NA
Rep-4381,46967817,iucn,Dermochelys coriacea,0.7,0.7,-0.5
Rep-5181,8005,iucn,Eretmochelys imbricata,0.8,NA,-0.5
Rep-6936,11534,iucn,Lepidochelys olivacea,0.4,NA,-0.5
SLB-190538,NA,am,Grimalditeuthis bonplandii,0,NA,NA
SLB-40185,22694931,iucn-bli,Fratercula corniculata,0.6,0.6,-0.5
SLB-70957,163207,am,Haliphron atlanticus,0,NA,NA
SLB-70962,163211,am,Argonauta hians,0,NA,NA
SLB-70969,163312,am,Bolitaena pygmaea,0,NA,NA
SLB-71422,176066,am,Chiroteuthis veranyi,0,NA,NA
SLB-71435,162909,am,Egea inermis,0,NA,NA
SLB-71465,163256,am,Discoteuthis discus,0,NA,NA
SLB-71490,163094,am,Abraliopsis felis,0,NA,NA
SLB-71509,163247,am,Berryteuthis anonychus,0,NA,NA
SLB-71510,176070,am,Berryteuthis magister,0,NA,NA
SLB-71523,162950,am,Gonatus onyx,0,NA,NA
SLB-71541,162961,am,Joubiniteuthis portieri,0,NA,NA
W-Hol-529363,NA,am,Apostichopus californicus,0,NA,NA
W-Msc-138803,163080,am,Argonauta argo,0,NA,NA
W-Msc-138849,162986,am,Japetella diaphana,0,NA,NA
W-Msc-139422,163338,am,Bathothauma lyromma,0,NA,NA
W-Msc-140609,163267,am,Taningia danae,0,NA,NA
W-Msc-141680,163228,am,Thysanoteuthis rhombus,0,NA,NA
W-Msc-141962,162988,am,Vitreledonella richardi,0,NA,NA
W-Msc-157031,163353,am,Pyroteuthis margaritifera,0,NA,NA
W-Msc-181382,163163,am,Ommastrephes bartramii,0,NA,NA
W-Msc-181386,162941,am,Cranchia scabra,0,NA,NA
W-Msc-341818,163218,am,Liocranchia reinhardti,0,NA,NA
W-Msc-341869,162938,am,Histioteuthis hoylei,0,NA,NA
W-Msc-342067,176085,am,Todarodes pacificus,0,NA,NA
W-Msc-342242,163089,am,Pyroteuthis addolux,0,NA,NA
W-Msc-342313,162926,am,Eucleoteuthis luminosa,0,NA,NA
W-Msc-342337,163294,am,Hyaloteuthis pelagica,0,NA,NA
W-Msc-397161,NA,am,Ostrea conchaphila,0.4,0.4,NA
W-Msc-405014,61743,am,Haliotis kamtschatkana,0.6,0.6,0
NA,3897,iucn,Testudo caretta,0.4,NA,NA
NA,8005,iucn,Testudo imbricata,0.8,NA,-0.5
NA,11145,iucn,Lagenorhynchus ognevi,0,NA,NA
NA,11534,iucn,Chelonia olivacea,0.4,NA,-0.5
NA,12302,iucn,Lontra canadensis,0,0,0
NA,17032,iucn,Phocoenoides truei,0,NA,NA
NA,20731,iucn,Stenella euphrosyne,0,NA,NA
NA,21856,iucn,Germo germon,0.2,NA,-0.5
NA,21859,iucn,Thunnus mebachi,0.4,NA,-0.5
NA,153538,iucn,Zostera marina,0,0,-0.5
NA,170306,iucn,Pneumatophorus colias,0,NA,0
NA,170310,iucn,Euthynnus pelamis,0,NA,0
NA,170341,iucn,Orcynus schlegelii,0.4,NA,-0.5
NA,170352,iucn,Pelamys chiliensis,0,NA,-0.5
NA,173320,iucn,Phyllospadix torreyi,0.2,0.2,0
NA,173348,iucn,Zostera japonica,0,NA,0.5
NA,173366,iucn,Phyllospadix serrulatus,0.2,0.2,0
NA,173367,iucn,Phyllospadix scouleri,0,0,0
NA,173373,iucn,Zostera pacifica,0,NA,NA
NA,180331,iucn,Mesothuria murrayi,0,NA,NA
NA,180436,iucn,Parastichopus californicus,0,NA,0
NA,185000,iucn,Polycheles nanus,0,NA,0
NA,19711843,iucn,Apostichopus leukothele,0,NA,NA
NA,19717509,iucn,Capheira sulcata,0,NA,NA
NA,19718050,iucn,Capheira mollis,0,NA,NA
NA,19743170,iucn,Synallactes challengeri,0,NA,NA
NA,22679859,iucn-bli,Cygnus buccinator,0.2,0.2,0.5
NA,22679881,iucn-bli,Anser albifrons,0.2,0.2,NA
NA,22679896,iucn-bli,Anser caerulescens,0.0666666666666667,0.2,0.5
NA,22679946,iucn-bli,Branta bernicla,0.4,0.4,NA
NA,22680157,iucn-bli,Anas penelope,0,NA,-0.5
NA,22680163,iucn-bli,Anas americana,0,0,0
NA,22680229,iucn-bli,Anas discors,0.1,0.1,-0.5
NA,22680247,iucn-bli,Anas clypeata,0,0,-0.5
NA,22680301,iucn-bli,Anas acuta,0.2,0.2,-0.5
NA,22680364,iucn-bli,Aythya valisineria,0.2,0.2,-0.5
NA,22680367,iucn-bli,Aythya americana,0.2,0.2,0.5
NA,22680391,iucn-bli,Aythya fuligula,0,NA,0
NA,22680398,iucn-bli,Aythya marila,0.2,0.2,-0.5
NA,22680402,iucn-bli,Aythya affinis,0,0,-0.5
NA,22680472,iucn-bli,Lophodytes cucullatus,0,0,0.5
NA,22680492,iucn-bli,Mergus merganser,0,0,0.5
NA,22689714,iucn-bli,Chordeiles minor,0.2,0.2,-0.5
NA,22693162,iucn-bli,Limosa fedoa,0,NA,-0.5
NA,22693178,iucn-bli,Numenius phaeopus,0,NA,-0.5
NA,22693195,iucn-bli,Numenius americanus,0.4,0.4,-0.5
NA,22693207,iucn-bli,Tringa erythropus,0,NA,0
NA,22693231,iucn-bli,Tringa melanoleuca,0,0,0
NA,22693235,iucn-bli,Tringa flavipes,0.1,0.1,-0.5
NA,22693277,iucn-bli,Actitis macularia,0,0,-0.5
NA,22693305,iucn-bli,Heteroscelus incanus,0.2,0.4,0
NA,22693319,iucn-bli,Catoptrophorus semipalmatus,0,NA,0
NA,22693341,iucn-bli,Arenaria melanocephala,0.2,0.2,0
NA,22693344,iucn-bli,Limnodromus griseus,0.5,0.5,-0.5
NA,22693348,iucn-bli,Limnodromus scolopaceus,0.2,0.2,NA
NA,22693356,iucn-bli,Aphriza virgata,0,NA,-0.5
NA,22693363,iucn-bli,Calidris canutus,0.7,0.7,-0.5
NA,22693369,iucn-bli,Calidris alba,0.1,0.1,NA
NA,22693373,iucn-bli,Calidris pusilla,0.2,NA,-0.5
NA,22693376,iucn-bli,Calidris mauri,0.2,0.2,-0.5
NA,22693396,iucn-bli,Calidris minutilla,0.2,0.2,-0.5
NA,22693424,iucn-bli,Calidris ptilocnemis,0.2,0.2,-0.5
NA,22693427,iucn-bli,Calidris alpina,0.2,0.2,-0.5
NA,22693431,iucn-bli,Calidris ferruginea,0.2,NA,0.5
NA,22693468,iucn-bli,Calidris pugnax,0,NA,-0.5
NA,22693735,iucn-bli,Pluvialis fulva,0,NA,-0.5
NA,22693740,iucn-bli,Pluvialis dominica,0.3,0.3,-0.5
NA,22693749,iucn-bli,Pluvialis squatarola,0,0,-0.5
NA,22693764,iucn-bli,Charadrius semipalmatus,0.1,0.1,0
NA,22693777,iucn-bli,Charadrius vociferus,0.1,0.1,-0.5
NA,22694420,iucn-bli,Chroicocephalus ridibundus ridibundus,0,NA,-0.5
NA,22694479,iucn-bli,Larus sabini,0,NA,0
NA,22694524,iucn-bli,Sterna caspia,0,NA,0.5
NA,22694906,iucn-bli,Aethia psittacula,0,NA,-0.5
NA,22694938,iucn-bli,Pandion haliaetus,0,0,0.5
NA,22695144,iucn-bli,Haliaeetus leucocephalus,0,0,0.5
NA,22696453,iucn-bli,Falco columbarius,0,0,0
