lic_area,desc,lic_area_orig,desc_orig
CLAM AREA F27,West Coast of Vancouver Island - Area 27.,CLAM AREA F27,West Coast of Vancouver Island - Area 27.
CLAM AREA G,Queen Charlotte Sound - Areas 11 and 12.,CLAM AREA G,Queen Charlotte Sound - Areas 11 and 12.
CRAB AREA A,"Areas 1, 2, 101 to 110, 130 and 142.",CRAB AREA A,"Areas 1, 2, 101 to 110, 130 and 142."
CRAB AREA B,Areas 3 to 10.,CRAB AREA B,Areas 3 to 10.
CRAB AREA E,"Areas 20 to 27, 121 and 123 to 127.",CRAB AREA E,"Areas 20 to 27, 121 and 123 to 127."
CRAB AREA QUATSINO - E,"Areas 20 to 27, 121 and 123 to 127.",CRAB AREA E,"Areas 20 to 27, 121 and 123 to 127."
CRAB AREA SOOKE - E,"Areas 20 to 27, 121 and 123 to 127.",CRAB AREA E,"Areas 20 to 27, 121 and 123 to 127."
CRAB AREA TOFINO - E,"Areas 20 to 27, 121 and 123 to 127.",CRAB AREA E,"Areas 20 to 27, 121 and 123 to 127."
CRAB AREA G,"Areas 11, 12, 13, 15 and 111.",CRAB AREA G,"Areas 11, 12, 13, 15 and 111."
CRAB AREA H,"Areas 14, 16 to 19 and Subarea 29-5.",CRAB AREA H,"Areas 14, 16 to 19 and Subarea 29-5."
CRAB AREA I,Areas 28 and 29 excluding Subareas 29-5 and 29-8.,CRAB AREA I,Areas 28 and 29 excluding Subareas 29-5 and 29-8.
CRAB AREA J,Subarea 29-8.,CRAB AREA J,Subarea 29-8.
FOOD AND BAIT HERRING GULF,"Areas 13, 14, 17, 18 and 29",FOOD AND BAIT HERRING GULF,"Areas 13, 14, 17, 18 and 29"
FOOD AND BAIT HERRING NORTH,"Areas 3, 4 and 5.",FOOD AND BAIT HERRING NORTH,"Areas 3, 4 and 5."
GEODUCK AREA G,"Areas 12 through 19, and 29.",GEODUCK AREA G,"Areas 12 through 19, and 29."
GEODUCK AREA N,Areas 1 through 10 and related offshore areas.,GEODUCK AREA N,Areas 1 through 10 and related offshore areas.
GEODUCK AREA W,"Areas 20, 23, 24, 25, 26, 27 and related offshore areas.?",GEODUCK AREA W,"Areas 20, 23, 24, 25, 26, 27 and related offshore areas.?"
HERRING GILL NET GULF,Areas 14 to 18.,HERRING GILL NET GULF,Areas 14 to 18.
HERRING GILL NET PRINCE RUPERT,"Areas 3, 4 and 5.",HERRING GILL NET PRINCE RUPERT,"Areas 3, 4 and 5."
HERRING GILL NET WCVI,Areas 23 and 25.,HERRING GILL NET WCVI,Areas 23 and 25.
HERRING SEINE CENTRAL,"Areas 6, 7 and 8.",HERRING SEINE CENTRAL,"Areas 6, 7 and 8."
HERRING SEINE GULF,Areas 14 to 18.,HERRING SEINE GULF,Areas 14 to 18.
HERRING SEINE PRINCE RUPERT,Area 5.,HERRING SEINE PRINCE RUPERT ?,Area 5.
HERRING SEINE WCVI,Areas 23 and 25.,HERRING SEINE WCVI,Areas 23 and 25.
Lower Fraser,"DFO organizational area established in 2001; includes management area 28 and that portion of management area 29 below the Sawmill Creek confluence with the Fraser River, and the watersheds which drain into this area portion.",Lower Fraser,"DFO organizational area established in 2001; includes management area 28 and that portion of management area 29 below the Sawmill Creek confluence with the Fraser River, and the watersheds which drain into this area portion."
North Coast DFO,"organizational area established in 2001; includes management areas 1 through 10, 101 through 110, 130 and 142, and the watersheds which drain into these areas.",North Coast DFO,"organizational area established in 2001; includes management areas 1 through 10, 101 through 110, 130 and 142, and the watersheds which drain into these areas."
RED SEA URCHIN AREA N,"Areas 1 through 10, 101, 105, 106, 109 and 142.",RED SEA URCHIN AREA N,"Areas 1 through 10, 101, 105, 106, 109 and 142."
RED SEA URCHIN AREA S,Areas 11 through 29 and 123.,RED SEA URCHIN AREA S,Areas 11 through 29 and 123.
ROCKFISH AREA INSIDE,"Areas 13 to 19, and 28 and 29, and Subareas 12-1 to 12-13, 12-15 to 12-48 and Subareas 20-4 to 20-7",ROCKFISH AREA INSIDE,"Areas 13 to 19, and 28 and 29, and Subareas 12-1 to 12-13, 12-15 to 12-48 and Subareas 20-4 to 20-7"
ROCKFISH AREA OUTSIDE,"Areas 1 to 11, 21, 23 to 27, 101 to 111, 121, 123 to 127, 130 and 142 and Subareas 12-14, and 20-1 to 20-3",ROCKFISH AREA OUTSIDE,"Areas 1 to 11, 21, 23 to 27, 101 to 111, 121, 123 to 127, 130 and 142 and Subareas 12-14, and 20-1 to 20-3"
ROE HERRING (CO) CENTRAL,Areas 6 to 8.,ROE HERRING (CO) CENTRAL,Areas 6 to 8.
ROE HERRING (CO) GULF,Areas 14 to 18.,ROE HERRING (CO) GULF,Areas 14 to 18.
ROE HERRING (CO) WCVI,Areas 23 and 25.,ROE HERRING (CO) WCVI,Areas 23 and 25.
ROE HERRING CENTRAL,Areas 6 to 11.,ROE HERRING CENTRAL,Areas 6 to 11.
ROE HERRING GULF,"Areas 12 to 19, 28 and 29.",ROE HERRING GULF,"Areas 12 to 19, 28 and 29."
ROE HERRING PRINCE RUPERT,"Areas 3, 4 and 5.",ROE HERRING PRINCE RUPERT,"Areas 3, 4 and 5."
ROE HERRING QCI,Area 2.,ROE HERRING QCI,Area 2.
ROE HERRING WCVI,Areas 23 to 27.,ROE HERRING WCVI,Areas 23 to 27.
ROE HERRING(CO) PRINCE RUPERT,"Areas 3, 4 and 5.",ROE HERRING(CO) PRINCE RUPERT,"Areas 3, 4 and 5."
SALMON AREA A,"Areas 1 to 10, Subarea 101-7.",SALMON AREA A SEINE,"Areas 1 to 10, Subarea 101-7."
SALMON AREA B,Areas 11 to 29 and 121.,SALMON AREA B SEINE,Areas 11 to 29 and 121.
SALMON AREA C,"Areas 1 to 10, Subarea 101-7.",SALMON AREA C GILL NET,"Areas 1 to 10, Subarea 101-7."
SALMON AREA D,Areas 11 to 15 and 23 to 27.,SALMON AREA D GILL NET,Areas 11 to 15 and 23 to 27.
SALMON AREA E,"Areas 16 to 22, 28, 29 and 121.",SALMON AREA E GILL NET,"Areas 16 to 22, 28, 29 and 121."
SALMON AREA F,"Areas 1 to 10, 101 to 110, 130 and 142.",SALMON AREA F TROLL,"Areas 1 to 10, 101 to 110, 130 and 142."
SALMON AREA G,"Areas 11, 20 to 27, 111, 121, 123 to 127 and Subareas 12-5 to 12-16.",SALMON AREA G TROLL,"Areas 11, 20 to 27, 111, 121, 123 to 127 and Subareas 12-5 to 12-16."
SALMON AREA H,"Areas 12 to 19, 28 and 29.",SALMON AREA H TROLL,"Areas 12 to 19, 28 and 29."
SARDINE SEINE AREA,"Areas 6 to 12, 20, 23 to 27 and 121, 123 to 127.",SARDINE SEINE AREA,"Areas 6 to 12, 20, 23 to 27 and 121, 123 to 127."
SEA CUCUMBER AREA C,"Portions of Areas 7, 8, 9 and 10.",SEA CUCUMBER AREA C,"Portions of Areas 7, 8, 9 and 10."
SEA CUCUMBER AREA G,Portions of Areas 12 and 13.,SEA CUCUMBER AREA G,Portions of Areas 12 and 13.
SEA CUCUMBER AREA P,"Subareas 4-3, 5-1, 5-2, 5-4, 5-5, 5-7, 5-11 to 5-24, 6-2, 6-3, 6-5 to 6-12, 6-14 to 6-16 and 6-26 to 6-28.",SEA CUCUMBER AREA P,"Subareas 4-3, 5-1, 5-2, 5-4, 5-5, 5-7, 5-11 to 5-24, 6-2, 6-3, 6-5 to 6-12, 6-14 to 6-16 and 6-26 to 6-28."
SEA CUCUMBER AREA P,"Portions of Areas 3, 4, 5 and 6.",SEA CUCUMBER AREA P,"Portions of Areas 3, 4, 5 and 6."
SEA CUCUMBER AREA W,Portions of Area 24.,SEA CUCUMBER AREA W,Portions of Area 24.
South Coast,"DFO organizational area established in 2001; includes management areas 11 through 27, 111, 121, 123 to 127, and the watersheds which drain into these areas.",South Coast,"DFO organizational area established in 2001; includes management areas 11 through 27, 111, 121, 123 to 127, and the watersheds which drain into these areas."
Yukon River,Alaskan coastal waters,Yukon/Transboundary,DFO organizational area established in 2001; includes the Yukon territory and BC/Yukon transboundary watersheds.
wcvi pfma 21 to 27,wcvi pfma 21 to 27,NA,NA
ecvi pfma 12 to 19,ecvi pfma 12 to 19,NA,NA
stikine river (lower),Alaskan coastal waters,NA,NA
stikine river (upper),Alaskan coastal waters,NA,NA
taku river,Alaskan coastal waters,NA,NA
