rgn_name,rgn_id,assessid,stockid,area_km2,a_prop
Pacific Offshore,7,DFO-PAC-PCODWCVANI-1956-2002-COLLIE,PCODWCVANI,147691.781,0.83275
Haida Gwaii,2,DFO-PAC-RSOLE5AB-1944-2014-OSGOOD,RSOLE5AB,8688.437,0.08005
Central Coast,3,DFO-PAC-RSOLE5AB-1944-2014-OSGOOD,RSOLE5AB,17283.416,0.15924
North Vancouver Island,4,DFO-PAC-RSOLE5AB-1944-2014-OSGOOD,RSOLE5AB,5317.24,0.04899
Aristazabal Island,8,DFO-PAC-RSOLE5AB-1944-2014-OSGOOD,RSOLE5AB,83.206,7.7e-4
Pacific Offshore,7,DFO-PAC-RSOLE5AB-1944-2014-OSGOOD,RSOLE5AB,77166.98,0.71096
North Coast,1,DFO-PAC-RSOLEHSTR-1945-2014-OSGOOD,RSOLEHSTR,16289.563,0.1152
Haida Gwaii,2,DFO-PAC-RSOLEHSTR-1945-2014-OSGOOD,RSOLEHSTR,36463.267,0.25786
Central Coast,3,DFO-PAC-RSOLEHSTR-1945-2014-OSGOOD,RSOLEHSTR,2218.376,0.01569
Aristazabal Island,8,DFO-PAC-RSOLEHSTR-1945-2014-OSGOOD,RSOLEHSTR,3063.401,0.02166
Pacific Offshore,7,DFO-PAC-RSOLEHSTR-1945-2014-OSGOOD,RSOLEHSTR,83371.474,0.58959
West Vancouver Island,5,DFO-PAC-SABLEFPCAN-1913-2010-HIVELY,SABLEFPCAN,28112.45,0.06211
Strait of Georgia,6,DFO-PAC-SABLEFPCAN-1913-2010-HIVELY,SABLEFPCAN,8104.505,0.01791
North Coast,1,DFO-PAC-SABLEFPCAN-1913-2010-HIVELY,SABLEFPCAN,17411.489,0.03847
Haida Gwaii,2,DFO-PAC-SABLEFPCAN-1913-2010-HIVELY,SABLEFPCAN,45944.503,0.10151
Central Coast,3,DFO-PAC-SABLEFPCAN-1913-2010-HIVELY,SABLEFPCAN,20431.85,0.04514
North Vancouver Island,4,DFO-PAC-SABLEFPCAN-1913-2010-HIVELY,SABLEFPCAN,13632.793,0.03012
Aristazabal Island,8,DFO-PAC-SABLEFPCAN-1913-2010-HIVELY,SABLEFPCAN,3201.815,0.00707
Pacific Offshore,7,DFO-PAC-SABLEFPCAN-1913-2010-HIVELY,SABLEFPCAN,315764.157,0.69766
West Vancouver Island,5,DFO-PAC-SARDBC-2002-2012-OSGOOD,SARDBC,14233.561,0.85534
North Vancouver Island,4,DFO-PAC-SARDBC-2002-2012-OSGOOD,SARDBC,2407.182,0.14466
Strait of Georgia,6,DFO-PANDALSMA14-1987-2011-WATSON,PANDALSMA14,1642.397,1
Strait of Georgia,6,DFO-PANDALSMA16-1987-2011-WATSON,PANDALSMA16,1142.425,1
West Vancouver Island,5,DFO-PANDALSMA18-19-1987-2011-WATSON,PANDALSMA18-19,530.896,0.45708
Strait of Georgia,6,DFO-PANDALSMA18-19-1987-2011-WATSON,PANDALSMA18-19,630.592,0.54292
Strait of Georgia,6,DFO-PANDALSMAFR-1987-2011-WATSON,PANDALSMAFR,2131.677,1
Strait of Georgia,6,DFO-PANDALSMAGTSE-1990-2012-WATSON,PANDALSMAGTSE,803.852,0.4804
North Vancouver Island,4,DFO-PANDALSMAGTSE-1990-2012-WATSON,PANDALSMAGTSE,869.431,0.5196
North Coast,1,DFO-PANDALSMAPRD-1987-2011-WATSON,PANDALSMAPRD,4653.122,0.81917
Haida Gwaii,2,DFO-PANDALSMAPRD-1987-2011-WATSON,PANDALSMAPRD,1027.15,0.18083
North Coast,1,DFO-PERCHQCI-1939-2013-WATSON,PERCHQCI,9192.315,0.09764
Haida Gwaii,2,DFO-PERCHQCI-1939-2013-WATSON,PERCHQCI,19336.618,0.20538
Central Coast,3,DFO-PERCHQCI-1939-2013-WATSON,PERCHQCI,20071.136,0.21319
North Vancouver Island,4,DFO-PERCHQCI-1939-2013-WATSON,PERCHQCI,7265.741,0.07717
Aristazabal Island,8,DFO-PERCHQCI-1939-2013-WATSON,PERCHQCI,3181.532,0.03379
Pacific Offshore,7,DFO-PERCHQCI-1939-2013-WATSON,PERCHQCI,35101.1,0.37283
West Vancouver Island,5,DFO-PERCHWCVANI-1939-2013-WATSON,PERCHWCVANI,25845.526,0.14573
North Vancouver Island,4,DFO-PERCHWCVANI-1939-2013-WATSON,PERCHWCVANI,3817.328,0.02152
Pacific Offshore,7,DFO-PERCHWCVANI-1939-2013-WATSON,PERCHWCVANI,147691.781,0.83275
West Vancouver Island,5,DFO-QROCKPCOASTIN-1918-2010-WATSON,QROCKPCOASTIN,1700.008,0.12229
Strait of Georgia,6,DFO-QROCKPCOASTIN-1918-2010-WATSON,QROCKPCOASTIN,8104.636,0.58301
North Vancouver Island,4,DFO-QROCKPCOASTIN-1918-2010-WATSON,QROCKPCOASTIN,4096.768,0.2947
West Vancouver Island,5,DFO-QROCKPCOASTOUT-1918-2010-WATSON,QROCKPCOASTOUT,26412.579,0.06021
North Coast,1,DFO-QROCKPCOASTOUT-1918-2010-WATSON,QROCKPCOASTOUT,17411.398,0.03969
Haida Gwaii,2,DFO-QROCKPCOASTOUT-1918-2010-WATSON,QROCKPCOASTOUT,45944.315,0.10473
Central Coast,3,DFO-QROCKPCOASTOUT-1918-2010-WATSON,QROCKPCOASTOUT,20431.99,0.04657
North Vancouver Island,4,DFO-QROCKPCOASTOUT-1918-2010-WATSON,QROCKPCOASTOUT,9536.367,0.02174
Aristazabal Island,8,DFO-QROCKPCOASTOUT-1918-2010-WATSON,QROCKPCOASTOUT,3201.783,0.0073
Pacific Offshore,7,DFO-QROCKPCOASTOUT-1918-2010-WATSON,QROCKPCOASTOUT,315764.157,0.71977
Strait of Georgia,6,DFO-SSHRIMPSMAGTSE-1992-2011-WATSON,SSHRIMPSMAGTSE,803.852,0.4804
North Vancouver Island,4,DFO-SSHRIMPSMAGTSE-1992-2011-WATSON,SSHRIMPSMAGTSE,869.431,0.5196
North Coast,1,DFO-SSHRIMPSMAPRD-1987-2011-WATSON,SSHRIMPSMAPRD,4653.122,0.81917
Haida Gwaii,2,DFO-SSHRIMPSMAPRD-1987-2011-WATSON,SSHRIMPSMAPRD,1027.15,0.18083
Strait of Georgia,6,DFO-SSSHRIMPSMA14-1987-2011-WATSON,SSSHRIMPSMA14,1642.397,1
Strait of Georgia,6,DFO-SSSHRIMPSMA16-1987-2011-WATSON,SSSHRIMPSMA16,1142.425,1
West Vancouver Island,5,DFO-SSSHRIMPSMA18-19-1987-2011-WATSON,SSSHRIMPSMA18-19,530.896,0.45708
Strait of Georgia,6,DFO-SSSHRIMPSMA18-19-1987-2011-WATSON,SSSHRIMPSMA18-19,630.592,0.54292
Strait of Georgia,6,DFO-SSSHRIMPSMAFR-1987-2011-WATSON,SSSHRIMPSMAFR,2131.677,1
West Vancouver Island,5,DFO-YEYEROCKPCOASTIN-1918-2009-WATSON,YEYEROCKPCOASTIN,1700.008,0.12229
Strait of Georgia,6,DFO-YEYEROCKPCOASTIN-1918-2009-WATSON,YEYEROCKPCOASTIN,8104.636,0.58301
North Vancouver Island,4,DFO-YEYEROCKPCOASTIN-1918-2009-WATSON,YEYEROCKPCOASTIN,4096.768,0.2947
West Vancouver Island,5,IATTC-BIGEYEEPAC-1954-2012-PONS,BIGEYEEPAC,26819.775,0.15849
Strait of Georgia,6,IATTC-BIGEYEEPAC-1954-2012-PONS,BIGEYEEPAC,6868.36,0.04059
North Vancouver Island,4,IATTC-BIGEYEEPAC-1954-2012-PONS,BIGEYEEPAC,239.675,0.00142
Pacific Offshore,7,IATTC-BIGEYEEPAC-1954-2012-PONS,BIGEYEEPAC,135295.817,0.79951
West Vancouver Island,5,IATTC-SWORDEPAC-1951-2012-PONS,SWORDEPAC,26819.775,0.15849
Strait of Georgia,6,IATTC-SWORDEPAC-1951-2012-PONS,SWORDEPAC,6868.36,0.04059
North Vancouver Island,4,IATTC-SWORDEPAC-1951-2012-PONS,SWORDEPAC,239.675,0.00142
Pacific Offshore,7,IATTC-SWORDEPAC-1951-2012-PONS,SWORDEPAC,135295.817,0.79951
West Vancouver Island,5,IATTC-YFINEPAC-1950-2012-PONS,YFINEPAC,26819.775,0.15849
Strait of Georgia,6,IATTC-YFINEPAC-1950-2012-PONS,YFINEPAC,6868.36,0.04059
North Vancouver Island,4,IATTC-YFINEPAC-1950-2012-PONS,YFINEPAC,239.675,0.00142
Pacific Offshore,7,IATTC-YFINEPAC-1950-2012-PONS,YFINEPAC,135295.817,0.79951
West Vancouver Island,5,IPHC-PHALNPAC-1888-2014-HIVELY,PHALNPAC,27993.255,0.06194
Strait of Georgia,6,IPHC-PHALNPAC-1888-2014-HIVELY,PHALNPAC,8024.861,0.01776
North Coast,1,IPHC-PHALNPAC-1888-2014-HIVELY,PHALNPAC,17243.674,0.03816
Haida Gwaii,2,IPHC-PHALNPAC-1888-2014-HIVELY,PHALNPAC,45892.401,0.10155
Central Coast,3,IPHC-PHALNPAC-1888-2014-HIVELY,PHALNPAC,20205.384,0.04471
North Vancouver Island,4,IPHC-PHALNPAC-1888-2014-HIVELY,PHALNPAC,13505.133,0.02988
Aristazabal Island,8,IPHC-PHALNPAC-1888-2014-HIVELY,PHALNPAC,3181.527,0.00704
Pacific Offshore,7,IPHC-PHALNPAC-1888-2014-HIVELY,PHALNPAC,315888.095,0.69897
West Vancouver Island,5,ISC-ALBANPAC-1950-2012-PONS,ALBANPAC,27351.36,0.06108
Strait of Georgia,6,ISC-ALBANPAC-1950-2012-PONS,ALBANPAC,7455.651,0.01665
North Coast,1,ISC-ALBANPAC-1950-2012-PONS,ALBANPAC,16414.125,0.03665
Haida Gwaii,2,ISC-ALBANPAC-1950-2012-PONS,ALBANPAC,45314.092,0.10119
Central Coast,3,ISC-ALBANPAC-1950-2012-PONS,ALBANPAC,19502.182,0.04355
North Vancouver Island,4,ISC-ALBANPAC-1950-2012-PONS,ALBANPAC,12746.983,0.02846
Aristazabal Island,8,ISC-ALBANPAC-1950-2012-PONS,ALBANPAC,3145.177,0.00702
Pacific Offshore,7,ISC-ALBANPAC-1950-2012-PONS,ALBANPAC,315888.095,0.70539
West Vancouver Island,5,ISC-BMARLINPAC-1952-2011-PONS,BMARLINPAC,27351.36,0.09642
Strait of Georgia,6,ISC-BMARLINPAC-1952-2011-PONS,BMARLINPAC,7455.651,0.02628
Haida Gwaii,2,ISC-BMARLINPAC-1952-2011-PONS,BMARLINPAC,3403.898,0.012
Central Coast,3,ISC-BMARLINPAC-1952-2011-PONS,BMARLINPAC,10155.662,0.0358
North Vancouver Island,4,ISC-BMARLINPAC-1952-2011-PONS,BMARLINPAC,12746.962,0.04494
Pacific Offshore,7,ISC-BMARLINPAC-1952-2011-PONS,BMARLINPAC,222554.13,0.78456
West Vancouver Island,5,ISC-PACBTUNA-1952-2012-PONS,PACBTUNA,27351.36,0.09642
Strait of Georgia,6,ISC-PACBTUNA-1952-2012-PONS,PACBTUNA,7455.651,0.02628
Haida Gwaii,2,ISC-PACBTUNA-1952-2012-PONS,PACBTUNA,3403.898,0.012
Central Coast,3,ISC-PACBTUNA-1952-2012-PONS,PACBTUNA,10155.662,0.0358
North Vancouver Island,4,ISC-PACBTUNA-1952-2012-PONS,PACBTUNA,12746.962,0.04494
Pacific Offshore,7,ISC-PACBTUNA-1952-2012-PONS,PACBTUNA,222554.13,0.78456
West Vancouver Island,5,ISC-SWORDNPAC-1951-2012-PONS,SWORDNPAC,5548.187,0.08469
Pacific Offshore,7,ISC-SWORDNPAC-1951-2012-PONS,SWORDNPAC,59965.784,0.91531
