Species.ID,Ecol.Imp.Score,Ecol.Imp.Docu,Ecol.Imp.Sources,Ecol.Imp.Text,Scope.Score,Scope.Docu,Scope.Distribution,Scope.Sources,Scope.Text,Inv.Potl.Score,Inv.Potl.Docu,Inv.Potl.Established,Inv.Potl.Sources,Inv.Potl.Text,Mgt.Diff.Score,Mgt.Diff.Docu,Mgt.Diff.Sources,Mgt.Diff.Text
293,2,COMP PR/RE,Ref006,G. catenatum is the only known unarmoured dinoflagellate that produces toxins responsible for PSP (Paralytic Shellfish Poisoning). Causes economic losses to fisheries; risk to human health.,4,COMP PR/RE,Regionally pervasive,Ref006,Pervasive when it blooms,4,COMP PR/RE,No,Ref002,"A nektonic species (capable of independently moving about the water column and currents) G. catenatum is found in bays and estuaries throughout the world. Additinally transported by ignorant possession through aquaculture, fisheries activities, ballast water.",4,COMP PR/RE,Ref006,"No means of eradication in marine environment. Control options to prevent fouling of hulls and aquaculture equipment include electrical barriers/shock, salinity changes, heated water treatments, copper compounds, hydrogen peroxide, chlorine & UV radiation"
294,4,COMP PR/RE,Ref006,"Extremely pervasive fouling; outcompetes native species; dramatic alteration of ecosystem.
An example of this is an oyster fishery in Japan, where H. elegans is said to have caused the death of 60% of stocks, causing a loss of 300 million Yen. The fouling habit of this species also causes problems for seawater piping systems.",4,COMP PR/RE,Regionally pervasive,Ref006,,1,PR,No,Ref258,"Larvae persist in plankton allowing wider distribution through waves and currents. Adults also found adhering to certain seaweeds, providing potential for additional distribution.",4,COMP PR/RE,Ref006,"No means of eradication in marine environment. Fouling control options include chemical, mechanical, physical."
737,3,RE,"Ref012, Ref308","Has become one of the most common bivalves on the shore of Southend on Sea, Essex (England). May provide ecosystem services by taking some of the parasite load normally linked to native species.
In dense beds of razor clams, however, fine sediment particles accumulated which may have altered abundances of polychaetes.",4,RE,Locally patchy,Ref012,,3,RE,No,"Ref012, Ref228","It was supposedly introduced to Europe as larvae in tanker ballast water; its spread within European waters has been by pelagic larvae (Cosel, Dörjes & Mühlenhardt-Siegel 1982).
On average, the population spread by 125 km per year to the north and, at the same time, by 75 km per year to the west, against the residual currents.",4,RE,Ref012,No known effective controls in marine environment.
738,3,COMP PR/RE,"Ref309, Ref310, Ref311","Dense populations of plants reduce the water temperature and oxygen concentrations. This species was introduced to Australia and has become the most obstructive and persistent of all aquatic plants infesting irrigation supplies and drainage channels. Plants also have become widespread and troublesome in New Zealand.
It can form dense mono-specific stands. It does not reproduce by seed in the UK and relies entirely on vegetative reproduction for its spread. Although it is now regarded as a naturalised aquatic plant, it causes problems by competing for nutrients and outgrowing many native species. However, it is nowconsidered preferable to both major and nuttallii and where there is a danger of invasion from these species aftercontrol, care should be exercised not to eradicate all of the plant.
An important food for ducks.
Costly invasive in New Zealand due to interference with use of boat ramps.
Spread rapidly in the irrigation systems of south-eastern Australia. This threatened the efficiency of irrigated agriculture by impeding the flow of water in suppy and drainage channels (Aston 1973; Bowmer et al. 1979).
Expansion in Lake Baikal considered a catastrophic phenomenon; it's effect now covers practically the whole perimeter of Lake Baikal.",4,COMP PR/RE,Regionally patchy,Ref310,,3,COMP PR/RE,No,Ref311,"Probably introduced to Baikal by aquarists or by transport vehicles and transport together with fishes taken from lakes of the Urals. Spread may be due to navigation, but natural factors also affect its spread.",3,COMP PR/RE,Ref310,"Plants perennate by means of overwintering buds that sink to the bottom of the pond in the autumn and then commence growing in the spring. Mechanical, chemical, physical controls used to keep in check. Grass carp used for bio-control."
741,4,COMP PR/RE,"Ref012, Ref312, Ref313","It can reach high numbers and produce copious mucilage which 'in sinking' can accumulate insoluble skeletons of planktonic organisms and mineral particles, increasing its volume and density (Boalch & Harbour 1977) and blanket the seabed.
Fishing trawls may become clogged or broken by heavy grey slime. It may interfere with the hauling of fishing gear and prolonged washing or air drying may not completely remove it (Boalch & Harbour 1977).
Since 1980, the centric diatom C. wailesii Gran et Angst has been recorded worldwide, developing blooms and damaging shellfish and macroalgae cultivations, and commercial fishery areas (Nagai et al. 1995a; Nehring 1998).
Its blooms take up the nitrogen (sometimes added as fertilizer) needed for Nori growth (edible seaweed); this reduces yields and can also cause hypoxia leading to faunal mortality (Manabe and Ishio, 1991). Blooms of other Coscinodiscus species commonly occur in the North Sea, where their oily secretions have caused bird mortality (Tåning, 1951). In the German Wadden Sea, large-scale anoxia and benthic faunal mortality have accompanied Coscinodiscus concinnus blooms (Delafontaine and Flemming,1997).",4,COMP PR/RE,Regionally pervasive,Ref312,"Its distribution, first restricted to the tropical Pacific and west Atlantic oceans, has extended to Europe, the USA and Japan in recent years (Lange et al. 1992; Rick and Durselen 1995; Nehring 1998).",4,COMP PR/RE,No,Ref012,"Unknown, possibly ballast water or importation with oysters has been hypothesised as another potential vector (Rincé & Paulmier 1986; Wallentinus in press).
It spread rapidly and was recorded from the English Channel (near Plymouth, Devon) in 1977; Atlantic coast of France by 1978 and Norway by 1979 (Hasle 1990; Wallentinus in press).",4,COMP PR/RE,Ref012,No known controls.
742,2,COMP PR/RE,"Ref012, Ref314","When growing attached to oysters it floats away with the oyster when the air-filled thalli grow large enough, hence its name of oyster thief (Farnham 1980). Has negligible effects on the environment. 
Epiphytic on other algae.",4,COMP PR/RE,Regionally patchy,Ref641,In Europe it is found from Iberia to southern Norway. It has a world-wide distribution in temperate waters (South & Tittley 1986).,2,COMP PR/RE,No,"Ref012, Ref314","There was natural migration from France to Britain, and it may also have been introduced unintentionally with commercial oysters from France.  
Spreads marginally by natural means of dispersion. Temperature and other conditions for reproduction affect its spread.
It may be assumed to have spread to Sweden by drifting with currents, or on oyster shells or in some other way associated withaquaculture.",4,COMP PR/RE,"Ref012, Ref314",No known controls in aquatic environment. Lacks predators and has rapid growth rate.
744,3,COMP PR/RE,"Ref282, Ref283","Competes with native species for resources. 
Chara beds act as nutrient sinks in shallow lakes.",4,COMP PR/RE,Locally patchy,Ref282,,3,COMP PR/RE,No,Ref282,"Introduced to Baltic Sea by ballast sand.
While decreasing in some areas, the occurrence of C. connivens in increasing in Estonian coastal waters (Martin, G. Estonian Marine Inst).
Lower grazing pressure on Ch. connivens compared to other charophyte species may provide certain advantages in the competition and could be used to explain recent increase in distribution.",4,COMP PR/RE,Ref282,No known controls.
746,4,COMP PR/RE,Ref025,"Sediment ingestion has recently been identified as an important exposure route for toxicants in waterfowl. Compete with native waterfoul species (Gollach, Leppäkoski 1999). Can overgraze lawns & crops, leading to erosion. On lawns, their feces can annoy humans (Dewey, Lutz 2002). Trample vegetation & compact the soil, creating a ""hard pan"" that prevents new growth of vegetation. As a result, this denuded landscape provides little viable habitat for other wildlife species (French 2001). Can inflict serious physical and economic damage to agricultural crops, residential lawns, golf courses, and ornamental plants and gardens, particularly in areas where these birds have sought shelter during the molting period. In residential areas, feeding damage to grass, clover, and cover crops can leave large bare spots that will be subject to erosion (French 2001). Hybridize with representatives of Anatidae family.
Cryptosporidium sp. oocysts were found in feces at seven of nine sites, and Giardia cysts were found at all nine sites. The oocysts from three sites were infectious for mice and molecularly identified as the zoonotic genotype of Cryptosporidium parvum. Waterfowl can disseminate infectious C. parvum oocysts in the environment (Graczyk et al. 1998).
Economic benefits from hunting related expenditures. Can cause some economic threats to recreational business by fouling areas with droppings, or aggression toward humans. Droppings can foul water bodies, golf courses, reservoirs, or swimming pools.
A serious danger to aircraft. Aircraft have lost engines due to bird strikes.",4,COMP PR/RE,Locally pervasive,Ref025,,3,COMP PR/RE,No,Ref025,Potential for spread through natural migration.,3,COMP PR/RE,Ref025,Numbers have been reduced using birth control in food sources.
747,2,COMP PR/RE,Ref012,"Lack of grazers, rapid growth rate, and its opportunistic qualities have contributed to its success. Carpets rocks, competing with native species.",4,COMP PR/RE,Locally pervasive,Ref012,,3,COMP PR/RE,No,"Ref012, Ref314",,4,COMP PR/RE,Ref012,No known controls in aquatic environment.
748,2,COMP PR/RE,Ref268,"Predatory species that consumes animal food including fish. Adults feed on gobies and kilka/ sprat.
One of the three most important species for caviar.",4,COMP PR/RE,Locally pervasive,Ref268,,2,COMP PR/RE,No,Ref268,Potential for migration through water courses from Caspian Sea.,4,COMP PR/RE,Ref268,No known controls in aquatic environment.
751,2,COMP PR/RE,Ref006,"A. scaber may have a great impact in oyster and scallop beds due to predation, however there have been no recorded impacts of this species in its introduced range.",4,COMP PR/RE,Locally patchy,Ref006,Native to New Zealand.,1,COMP PR/RE,No,Ref006,"Human assisted transport. Potential for accidental translocations in oyster shipments, or as discarded bait.",U,COMP PR/RE,Ref006,
752,3,RE,"Ref006, Ref315","P. regularis is a carnivorous seastar which usually feeds on dead or dying animals. Utilises both microscopic and macroscopic food sources, feeding on a variety of organisms.
In New Zealand, P. regularis is consumed by fish found on rocky reefs. There have been no recorded predators of P. regularis in Australian waters. 
Competition for space and food, in some cases resulting in competitive exclusion of native species and changes in habitat structure e.g. Seastar (Patiriella regularis). May have excluded native seastars from the Derwent River Estuary in Tasmania.
There are no recorded impacts of P. regularis in Australian waters. It is possible that it competes with the native species of Patiriella such as the threatened P. vivipara for food and other resources.",4,RE,Locally pervasive,Ref006,,1,RE,No,Ref006,Human assisted translocations. Potential for future accidental introductions in translocations of fish or shellfish.,4,RE,Ref315,"No known controls. Prevention is best option. ""Treatment with non-specific chemicals is not an option in the open marine environment."""
754,3,COMP PR/RE,Ref037,Competes with native species for resources.,4,COMP PR/RE,Locally patchy,Ref037,,U,COMP PR/RE,No,Ref320,Range expansion through Suez Canal.,U,COMP PR/RE,,
756,2,COMP PR/RE,Ref037,Attach to corals and rocks. Compete with native species for resources.,4,COMP PR/RE,Locally patchy,Ref037,,U,,No,,,U,,,
36,4,COMP PR/RE,"Ref006, Ref073","Negatively modifies native habitat; fouling; economic losses to aquaculture. Competes for food and resources with native and aquaculture species. 
Known to consume planktonic larvae of other organisms and reducing their rates of settlement. In this way it can become a major problem for shellfish aquaculture, and it can also be a nuisance fouler of boat hulls and fishing gear.
In Japan, Styela clava has been blamed for an asthmatic condition in oyster shuckers, apparently caused by hammering open Styela-fouled oysters in poorly-ventilated work areas.
No recorded predators on Styela clava.",4,COMP PR/RE,Locally pervasive,Ref006,,1,COMP PR/RE,No,Ref002,A fouling organism requiring assisted transport to expand alien range.,4,COMP PR/RE,"Ref006, Ref073","Many management options listed for control, but are costly and time consuming."
37,3,COMP PR/RE,"Ref002, Ref012, Ref090","Reduces biodiversity by overgrowing in native habitats; economic losses in aquaculture.  Wakame is economically important as a food crop but is also a fouling organism. It is able to compete with native kelp species in the shallow sublittoral/infralittoral zone (Farrell & Fletcher, 2000). It is also effective in providing habitats, nursery areas and protective cover for many species. It grows well in estuarine conditions unlike many of the native kelp species (Farrell & Fletcher, 2000) .",4,COMP PR/RE,Regionally patchy,Ref006,,3,COMP PR/RE,No,"Ref002, Ref012","Natural dispersal occurs following the release of motile spores from the sporophyte. The distance over which spores travel before settling will largely be determined by their viability and behaviour and the speed of ambient water currents, it can extend from hundreds of meters to several kilometers.
It produces millions of spores with motile periods of up to 5 hours and has a propensity for colonising floating objects (Fletcher & Manfredi 1995) which suggests it can easily be spread locally by natural dispersion and more remotely through the agency of shipping.",4,COMP PR/RE,Ref006,"Prevention most effective, eradication unlikely to succeed. Natural dispersal allows reintroductions."
38,3,COMP PR/RE,"Ref006, Ref238","Fouling; intense competition that leads to complete habitat domination. If they became established in NSW (Australia) waters, these mussels could devastate the shellfish, fishing, tourism and other marine industries.",4,COMP PR/RE,Regionally patchy,Ref006,,1,RE,No,Ref030,A fouling organism requiring assisted transport to expand alien range.,2,COMP PR/RE,"Ref006, Ref238",Chloride or copper sulphate effectively eradicates new infestations.
107,3,RE,Ref007,Crowds out other species in shallow water and neighboring damp soil,2,RE,Locally pervasive,Ref007,Pervasive in a small patch along Australia's eastern coast,4,RE,No,"Ref007, Ref205","Grows prolifically, spreads rapidly. Has potential to expand to the northern coast - seeds or branches take root when they contact soil or water. Seeds dispersed by wind, water, human activity, birds and other small animals.",3,RE,Ref007,"Mechanical, physical, cultural controls used."
147,3,COMP PR/RE,"Ref009, Ref002","Competes with native reef algae species by forming dense mats and inhibiting growth; reproduces quickly in Hawai'i.
Gracilaria salicornia threatens reef corals and native benthic communities in Hawaii and elsewhere. It reduces marine species diversity and alters marine community structure.",4,COMP PR/RE,Locally pervasive,Ref009,,4,COMP PR/RE,No,"Ref207, Ref002","It has spread over 5 kilometers from its point of introduction on O‘ahu since it was introduced in 1978. 
Fragmentation or vegetative propagation is a common mode of reproduction and may be an important mechanism for algal propagation (Smith and Walters 1999, in Smith Hunter and Smith 2002). Any sort of physical disturbance can generate fragments including wave action, fish grazing and human disturbance, and once these propagules are generated they most likely disperse through currents and other hydrodynamic events such as large swells (Smith In Press). For G. salicornia the smallest (0.5 cm) fragments grow the most showing that pieces of tissue as small as 0.5 cm are viable as propagules (Smith Hunter and Smith 2002).",3,RE,Ref002,"Manual removal to control, but fragments regenerate. Multidisciplinary approach required."
148,3,COMP PR/RE,Ref009,Forms large monospecific mats; easily outcompetes native algae by reproducing rapidly; causes foul odors when large mats wash ashore,4,COMP PR/RE,Locally pervasive,Ref009,,4,RE,No,Ref207,"Has rapid growth rate, ability to epiphytize other algae and fragments easily. Drifting fragments reattach to other algae, especially Sargassum, which can become detached during storms and float long distances, carrying the epiphytic H. musciformis with it.
Introduced for mariculture to Kane'ohe Bay in 1974 and spread to other islands by 1982.",3,RE,Ref002,A recovery rate of 87% each month after harvest. Scientists must overcome this extremely rapis recovery rate.
149,3,COMP PR/RE,Ref009,"This species has an extremely high growth rate; although it has been found to provide habitat for many marine species, it can smother coral reefs.  It is used by humans as a homogenizer in many products",4,COMP PR/RE,Locally pervasive,Ref009,,3,,,"Ref207, Ref002","Since their introduction in Kaneohe Bay in 1974, they have spread at the rate of 260 m/yr. Kappaphycus spp. alga may be able to spread laterally but, does not appear to be able to spread long distances or between islands"" (Smith et al. 2002).
Dispersal is thought to be constrained by size and weight, as it appears to become trapped in depressions and channels.",3,RE,Ref002,Can regrow from fragments as small as 0.5 cm making it an extremely difficult species to control.
150,1,COMP PR/RE,Ref009,"Although not yet established as an invasive species outside mariculture, it is apparent that the potential to become one is great; associated with eutrophication; able to reproduce rapidly and adapt to a wide range of habitats",4,COMP PR/RE,Locally patchy,Ref009,,2,COMP PR/RE,No,Ref009,Has high potential for invasion if it escapes from current maricultural operations,U,,,
151,3,COMP PR/RE,Ref009,"This species quickly overtakes substrate in Hawai'i, creating habitat for filter-feeders.  With time, this leads to a build up of sediment and a mud layer upon the sand which changes the ecology of the area.",4,COMP PR/RE,Locally pervasive,Ref009,,3,COMP PR/RE,No,"Ref208, Ref689","Capable of inter-island (Hawaiian) dispersal - unknown if through natural mechanisms (currents) or through anthropogenic vectors (shipping).
First observed in 1981 off southern Oahu, A. amadelpha was reported in discrete patches less than 0.1 m2. Presently, aerial coverage of this alga has reached 100% cover over extensive (>50 m2) areas previously occupied by a patchwork of seagrass beds and seaweeds (limu).",2,COMP PR/RE,Ref239,"Replacing removed A. amadelpha with Gracilaria salicornia is proving successful in Kaneohe Bay, Oahu."
152,1,COMP PR/RE,Ref009,Has the potential to become invasive because it thrives in eutrophic conditions; produces chemicals that are toxic to herbivores; easily reproduces from small fragments,4,COMP PR/RE,Locally patchy,Ref009,,2,COMP PR/RE,No,Ref009,"If environmental factors that cause this algae to overgrow persist, it will become an invasive species. Reproduces from fragments. Potential for additional aquarium releases.",U,,,
159,2,COMP PR/RE,Ref009,"An aggressive species, this barnacle has almost completely replaced a native stomatopod (Pseudosquilla ciliata) from dead coral heads.",4,COMP PR/RE,Locally patchy,Ref009,,1,COMP PR/RE,No,"Ref244, Ref245","Free-swimming planktonic larvae most likely responsible for expansion of its population into an increasingly dead coral habitat, especially in Ka¯ne‘ohe Bay.",U,,Ref245,Eradication unlikely. Efforts focus on mitigation and prevention.
160,1,COMP PR/RE,Ref009,Ecological impact so far unstudied; competition with native Liga hawaiiensis likely,4,COMP PR/RE,Locally patchy,Ref009,A common species of harbors all around the world,3,PR,No,"Ref246, Ref247","Desiccation resistance is advantageous for littoral L. exotica to migrate and colonize in variable land habitats within a certain limit, and provides a broad distribution pattern. 
Delayed maturity of inland females may be an adaptive strategy allowing inland colonizations.",U,,,
161,1,COMP PR/RE,Ref009,Ecological impacts are thus far unstudied; competition for food and shelter with native intertidal grapsid crabs likely.,4,COMP PR/RE,Locally patchy,Ref009,,1,COMP PR/RE,No,Ref009,Human assisted transport - larvae transported in ballast water.,U,,,
184,3,RE,Ref007,Used for erosion control. A common plant of damp areas; sharp spines make this plant dangerous to humans; keeps animals from water; restricts water flow causing serious flooding. Seed easily dispersed.,4,RE,Locally patchy,Ref007,Found in small patches across Australia,4,RE,No,"Ref007, Ref237","Has potential to spread from a currently small area into all of southeastern Australia.
Much of the spread appears to be by seed contaminated mud attached to vehicles and animals. A prolific seeder, tolerant of waterlogging, salinity and drought, J. acutus can rapidly colonise open sandy areas. Its rapid, dense growth can eliminate all other vegetation and create impenetrable stands preventing human and stock access to water.
The rising salinity in some wetlands makes these habitats increasingly vulnerable to invasion. 
Each plant canproduce up to 4000 seeds that are mostly water-dispersed allowing it to readily colonise the fringing areas of waterways. The seeds have been known to be spread through contaminated soil on machinery, and therehave been cases where J. acutus has been mistaken as a local species and used in restoration projects!",U,,Ref007,
254,4,COMP PR/RE,Ref011,"The pelagic Black Sea ecosystem was degraded, manifesting as sharply decreased biodiversity, abundance, & biomass of main components of pelagic ecosystem-zooplankton (Dumont and Shiganova). Fish stocks in the Black Sea & Sea of Azov suffered due to predation on egg & larval stages of food supplies (Shiganova 2003). Effects on the Caspian Sea ecosystem faster & stronger than Black Sea. In 2001, repercussions were felt at all trophic levels, including that of the top predator, the Caspian seal (Dumont and Shiganova).",4,COMP PR/RE,Locally pervasive,Ref011,,3,COMP PR/RE,No,"Ref011, Ref002","A simultaneous hermaphrodite and capable of self fertilization, and thus viable offspring can be produced from a single adult. Reinvades Sea of Azov every year. 
Low numbers take advantage of the Black Sea current to reach the northern Aegean Sea where they disperse, according to the dominant circulation patterns.",2,COMP PR/RE,Ref011,"After the accidental introduction of Beroe ovata, another ctenphore, to the Black Sea, abundance of M. leidyi immediately dropped to levels so low that no further damage was inflicted. In fact, the ecosystem almost immediately began to recover."
255,4,COMP PR/RE,"Ref011, Ref002","Fouling fishing lines & clogging fishing gears may seriously affect commercial fishery in the Gulf of Finland.
Competition with fish for food and enhanced eutrophication effects because of heavy predation on grazing zooplankton are the other potential negative impacts.",4,COMP PR/RE,Locally patchy,Ref011,From Europe to North America,1,COMP PR/RE,No,Ref002,"Females are parthenogenic, which allows them to quickly establish new populations with a relatively small seed population. Remarkable reproductive strategy: during warm months w/elevated water temps, females bearing resting eggs constituted 13-67% of the total population. This large pool of resting eggs enabled Cercopagis to achieve fast population growth in new environments (in the Neva Estuary ) & increased risk of being dispersed in ballast waters from ships.",4,COMP PR/RE,Ref011,Fisheries losses in low catch & fouled nets & gears are costly. Have not been erradicated from any invaded areas.
257,2,COMP PR/RE,Ref011,"Competes with native species. Shown to be responsible for the decline in the numbers of a freshwater amphipod (Gammarus lacustris) in Lake Peipsi.
In most cases, introductions of  G. fasciatus completely replaced native amphipods, and had a negative impact on other aquatic invertebrate species due to direct predation.",4,COMP PR/RE,Locally patchy,Ref011,Multi-ecoregional - Large Volga River basin.,3,,,Ref011,Has invaded Lake Ladoga and other European lakes via streams from introduced lakes.,4,COMP PR/RE,Ref011,Considered permanent where invaded. Pollution in lakes responsible for species expansion. Focus on prevention of expansion/ballast water treatments/regulations.
258,3,COMP PR/RE,Ref012,"In the Ems estuary in The Netherlands, increasing densities of Marenzelleria viridis in a sandy habitat coincided with a reduced abundance of the polychaete Hediste diversicolor, and density fluctuations of M. viridis and the amphipod Corophium volutator showed a significant positive relationship (Essink & Kleef 1993). However, the cause of these effects is not understood, and may be environmental factors rather than species interactions. Recent studies in the Ems estuary by Essink, Eppinga & Dekker (in prep.) demonstrated an inverse abundance and biomass relationship between the introduced spionid polychaete M. viridis and the previously most abundant native polychaete Hediste diversicolor, indicating that competition occurs between the two species.",4,COMP PR/RE,Locally patchy,Ref012,Native of North America introduced to British Isles and North Sea.,1,COMP PR/RE,No,Ref012,Probably transported as larvae in ballast water.,4,COMP PR/RE,Ref087,No known prevention methods or eradication methods..
259,4,COMP PR/RE,Ref009,"This species is very adaptable and reproduces easily, allowing it to be established all over the world; competes with several native algae species in Hawai'i",4,COMP PR/RE,Locally pervasive,Ref009,,3,COMP PR/RE,No,Ref211,"A. spicifera is well adapted for recruiting into new areas after fragmentation because its branchlets are hook-like and easily snag onto other algae, or any substrate with an irregular surface. Fragments are carried and dispersed by local currents.",U,,,No known effective prevention methods.
260,3,COMP PR/RE,Ref009,"This is a very robust species that can survive in a variety of conditions and stress levels; thrives in eutrophic conditions; during blooms, it invades whole ecosystems and smothers organisms beneath it.
Piles of green algae producing foul odors on beaches are affecting tourism and resort businesses.",4,COMP PR/RE,Locally patchy,Ref009,Becomes Locally Pervasive during blooms,U,,,,,U,,,
