ECO.CODE,ECOREGION,PROV.CODE,PROVINCE,RLM.CODE,SHELF.REAL,ALT.CODE,ECO.CODE.X,Shape.Leng,Shape.Area
20049,Sea of Japan,8,Cold Temperate Northwest Pacific,3,Temperate Northern Pacific,47,49,62.5233844268,224.247887685
20045,Sea of Okhotsk,8,Cold Temperate Northwest Pacific,3,Temperate Northern Pacific,48,45,116.735958598,402.488713846
20096,Seychelles,20,Western Indian Ocean,5,Western Indo-Pacific,86,96,49.0969078763,96.3159686159
20210,Shark Bay,58,West Central Australian Shelf,11,Temperate Australasia,193,210,22.5651523381,29.9196695332
20201,Snares Island,54,Southern New Zealand,11,Temperate Australasia,207,201,17.7950637409,13.0336887276
20161,Society Islands,40,Southeast Polynesia,7,Eastern Indo-Pacific,154,161,24.9873564181,40.8375684814
20135,Solomon Archipelago,31,Eastern Coral Triangle,6,Central Indo-Pacific,129,135,55.5991708845,138.264672752
20136,Solomon Sea,31,Eastern Coral Triangle,6,Central Indo-Pacific,130,136,36.9689148208,61.0999277699
20207,South Australian Gulfs,57,Southwest Australian Shelf,11,Temperate Australasia,196,207,27.335971514,47.4421460746
20114,South China Sea Oceanic Islands,25,South China Sea,6,Central Indo-Pacific,117,114,43.3204463893,105.582596841
20027,South European Atlantic Shelf,3,Lusitanian,2,Temperate Northern Atlantic,40,27,48.7851474225,126.224521144
20220,South Georgia,60,Scotia Sea,12,Southern Ocean,216,220,27.6625393985,56.4844972066
20104,South India and Sri Lanka,21,West and South Indian Shelf,5,Western Indo-Pacific,99,104,30.9429232326,65.3900449647
20121,South Kuroshio Current,28,South Kuroshio,6,Central Indo-Pacific,119,121,45.9662651789,89.8849135268
20221,South Orkney Islands,60,Scotia Sea,12,Southern Ocean,217,221,24.2614194913,45.7988762604
20219,South Sandwich Islands,60,Scotia Sea,12,Southern Ocean,218,219,28.5929685344,61.7921988995
20222,South Shetland Islands,60,Scotia Sea,12,Southern Ocean,219,222,36.3310963809,59.4032457877
20099,Southeast Madagascar,20,Western Indian Ocean,5,Western Indo-Pacific,87,99,30.8060906337,55.6377345122
20137,Southeast Papua New Guinea,31,Eastern Coral Triangle,6,Central Indo-Pacific,131,137,19.7188095305,21.5606906891
20180,Southeastern Brazil,47,Warm Temperate Southwestern Atlantic,9,Temperate South America,183,180,35.6590113681,72.4726840032
25059,Southern California Bight,11,Warm Temperate Northeast Pacific,3,Temperate Northern Pacific,58,59,37.8394909739,64.488044421
20066,Southern Caribbean,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,71,66,49.0006214364,90.6487583608
20113,Southern China,25,South China Sea,6,Central Indo-Pacific,118,113,35.9002689702,64.8150624861
20038,Southern Grand Banks - South Newfoundland,5,Cold Temperate Northwest Atlantic,2,Temperate Northern Atlantic,25,38,44.129892592,43.6296248608
20069,Southern Gulf of Mexico,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,72,69,46.4402043737,101.7178423
20200,Southern New Zealand,54,Southern New Zealand,11,Temperate Australasia,208,200,28.2780685911,36.9665619931
20088,Southern Red Sea,18,Red Sea and Gulf of Aden,5,Western Indo-Pacific,98,88,35.9242173926,78.6279513857
20116,Southern Vietnam,26,Sunda Shelf,6,Central Indo-Pacific,114,116,22.7047392361,28.5926092585
20067,Southwestern Caribbean,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,73,67,40.6590191653,96.0157930483
20078,St. Helena and Ascension Islands,15,St. Helena and Ascension Islands,4,Tropical Atlantic,82,78,42.4994150831,71.4526001509
20128,Sulawesi Sea/Makassar Strait,30,Western Coral Triangle,6,Central Indo-Pacific,127,128,48.5545138036,74.1788291565
20095,East African Coral Coast,20,Western Indian Ocean,5,Western Indo-Pacific,88,95,39.7129788603,87.6753644747
20094,Northern Monsoon Current Coast,20,Western Indian Ocean,5,Western Indo-Pacific,89,94,29.3298374311,48.2884059866
20101,Bight of Sofala/Swamp Coast,20,Western Indian Ocean,5,Western Indo-Pacific,90,101,29.6367736898,55.6427666857
20197,Three Kings-North Cape,53,Northern New Zealand,11,Temperate Australasia,204,197,19.3238556929,22.8729887601
20146,Tonga Islands,35,Tropical Southwestern Pacific,6,Central Indo-Pacific,146,146,33.1529199391,66.1841723809
20077,Trindade and Martin Vaz Islands,14,Tropical Southwestern Atlantic,4,Tropical Atlantic,63,77,21.8860666762,37.7371710785
20189,Tristan Gough,49,Tristan Gough,9,Temperate South America,185,189,45.7095574111,101.448170513
20162,Marquesas,41,Marquesas,7,Eastern Indo-Pacific,157,162,28.2926454305,60.8312538723
20202,Tweed-Moreton,55,East Central Australian Shelf,11,Temperate Australasia,201,202,25.7116217885,41.0527342694
20183,Uruguay-Buenos Aires Shelf,47,Warm Temperate Southwestern Atlantic,9,Temperate South America,184,183,42.5244500403,65.5892420118
20148,Vanuatu,35,Tropical Southwestern Pacific,6,Central Indo-Pacific,147,148,54.3154913237,127.690308699
20041,Virginian,5,Cold Temperate Northwest Atlantic,2,Temperate Northern Atlantic,26,41,36.6443718865,79.1600681046
20125,West Caroline Islands,29,Tropical Northwestern Pacific,6,Central Indo-Pacific,142,125,37.3510214029,81.1044945166
20227,Weddell Sea,61,Continental High Antarctic,12,Southern Ocean,214,227,220.862666619,873.016931293
20004,West Greenland Shelf,1,Arctic,1,Arctic,9,4,76.4449944688,235.830212107
20100,Western & Northern Madagascar,20,Western Indian Ocean,5,Western Indo-Pacific,91,100,59.3244384873,132.13963019
20092,Western Arabian Sea,19,Somali/Arabian,5,Western Indo-Pacific,95,92,38.574087206,82.2550265718
20206,Western Bassian,56,Southeast Australian Shelf,11,Temperate Australasia,199,206,31.4707872084,50.255296889
20068,Western Caribbean,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,74,68,25.8855711873,33.9414433153
20174,Western Galapagos Islands,44,Galapagos,8,Tropical Eastern Pacific,162,174,18.7232307951,18.97292357
20103,Western India,21,West and South Indian Shelf,5,Western Indo-Pacific,100,103,56.054539765,148.881735929
20050,Yellow Sea,8,Cold Temperate Northwest Pacific,3,Temperate Northern Pacific,49,50,45.9410425481,139.484286999
20119,Southern Java,27,Java Transitional,6,Central Indo-Pacific,109,119,43.012347427,59.5795125337
20111,Western Sumatra,24,Andaman,5,Western Indo-Pacific,107,111,38.2718291161,73.0583684243
20142,Torres Strait Northern Great Barrier Reef,33,Northeast Australian Shelf,6,Central Indo-Pacific,137,142,25.6080627213,21.4351216978
20192,Agulhas,51,Agulhas,10,Temperate Southern Africa,189,192,32.9381608267,59.0091605027
20053,Aleutian Islands,10,Cold Temperate Northeast Pacific,3,Temperate Northern Pacific,50,53,76.1472380417,160.359234599
20072,Amazonia,13,North Brazil Shelf,4,Tropical Atlantic,64,72,46.6069742195,124.549371897
20194,Amsterdam-St Paul,52,Amsterdam-St Paul,10,Temperate Southern Africa,191,194,22.7932000962,40.7436770954
20228,Amundsen/Bellingshausen Sea,61,Continental High Antarctic,12,Southern Ocean,209,228,162.532105967,527.081207275
20109,Andaman and Nicobar Islands,24,Andaman,5,Western Indo-Pacific,105,109,32.1780499332,66.9908474902
20110,Andaman Sea Coral Coast,24,Andaman,5,Western Indo-Pacific,106,110,24.1728030207,27.4901896884
20223,Antarctic Peninsula,60,Scotia Sea,12,Southern Ocean,215,223,74.5239511006,126.848938074
20090,Arabian (Persian) Gulf,19,Somali/Arabian,5,Western Indo-Pacific,92,90,43.4077713737,114.173341952
20178,Araucanian,45,Warm Temperate Southeastern Pacific,9,Temperate South America,172,178,30.5573416226,57.1249010606
20140,Arnhem Coast to Gulf of Carpenteria,32,Sahul Shelf,6,Central Indo-Pacific,132,140,43.3878357938,107.873718258
20139,Arafura Sea,32,Sahul Shelf,6,Central Indo-Pacific,133,139,28.2083923973,50.6963185192
20232,Auckland Island,62,Subantarctic New Zealand,12,Southern Ocean,227,232,18.6810219779,21.7681931919
20029,Azores Canaries Madeira,3,Lusitanian,2,Temperate Northern Atlantic,36,29,70.1976490062,161.876479452
25007,Baffin Bay - Davis Strait,1,Arctic,1,Arctic,1,7,74.5352429854,124.961757426
20063,Bahamian,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,66,63,44.5976821421,84.8749847265
20024,Baltic Sea,2,Northern European Seas,2,Temperate Northern Atlantic,29,24,61.5186261705,222.055875394
20131,Banda Sea,30,Western Coral Triangle,6,Central Indo-Pacific,120,131,44.4704058684,86.0301479242
20205,Bassian,56,Southeast Australian Shelf,11,Temperate Australasia,197,205,40.977175295,67.1066700383
20011,Beaufort-Amundsen-Viscount Melville-Queen Maud,1,Arctic,1,Arctic,19,11,101.140730606,344.966069879
20012,Beaufort Sea - continental coast and shelf,1,Arctic,1,Arctic,18,12,72.2066786135,200.668964282
20062,Bermuda,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,67,62,21.4282469347,36.280986496
20013,Chukchi Sea,1,Arctic,1,Arctic,16,13,82.496673298,213.692612819
20165,Clipperton,43,Tropical Eastern Pacific,8,Tropical Eastern Pacific,164,165,21.209430152,35.7924046401
20120,Cocos-Keeling/Christmas Island,27,Java Transitional,6,Central Indo-Pacific,108,120,41.9315281561,68.6327601633
20169,Cocos Islands,43,Tropical Eastern Pacific,8,Tropical Eastern Pacific,165,169,19.4843563085,27.3741029281
20150,Coral Sea,35,Tropical Southwestern Pacific,6,Central Indo-Pacific,143,150,39.9037622053,62.5496170307
20060,Cortezian,11,Warm Temperate Northeast Pacific,3,Temperate Northern Pacific,56,60,45.2962659138,95.2755624006
20215,Crozet Islands,59,Subantarctic Islands,12,Southern Ocean,221,215,25.5439502975,50.2954929637
20102,Delagoa,20,Western Indian Ocean,5,Western Indo-Pacific,84,102,30.216191667,55.914100546
20124,East Caroline Islands,29,Tropical Northwestern Pacific,6,Central Indo-Pacific,139,124,66.7800652175,182.243946741
20225,East Antarctic Enderby Land,61,Continental High Antarctic,12,Southern Ocean,210,225,40.3624249631,91.3117759536
20224,East Antarctic Wilkes Land,61,Continental High Antarctic,12,Southern Ocean,211,224,251.589106535,843.259998185
20226,East Antarctica Dronning Maud Land,61,Continental High Antarctic,12,Southern Ocean,212,226,107.153701255,315.019546484
20052,East China Sea,9,Warm Temperate Northwest Pacific,3,Temperate Northern Pacific,43,52,49.9199500276,113.121348405
20003,East Greenland Shelf,1,Arctic,1,Arctic,7,3,88.0706645719,270.352229535
20015,East Siberian Sea,1,Arctic,1,Arctic,15,15,98.390532283,425.110154905
20163,Easter Island,42,Easter Island,7,Eastern Indo-Pacific,159,163,29.5576027661,60.1503006186
25014,Eastern Bering Sea,1,Arctic,1,Arctic,17,14,91.7313266522,253.489320051
20076,Eastern Brazil,14,Tropical Southwestern Atlantic,4,Tropical Atlantic,59,76,41.8800164789,90.6474325665
20064,Eastern Caribbean,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,68,64,37.152948971,72.3110894989
20173,Eastern Galapagos Islands,44,Galapagos,8,Tropical Eastern Pacific,160,173,22.3298346419,32.398474541
20107,Eastern India,23,Bay of Bengal,5,Western Indo-Pacific,103,107,37.266529308,82.7459828145
20127,Eastern Philippines,30,Western Coral Triangle,6,Central Indo-Pacific,121,127,43.8088440199,97.9581677133
20144,Exmouth to Broome,34,Northwest Australian Shelf,6,Central Indo-Pacific,110,144,43.9624844626,82.353754126
20021,Faroe Plateau,2,Northern European Seas,2,Temperate Northern Atlantic,31,21,24.0262320439,35.9665655679
20074,Fernando de Naronha and Atoll das Rocas,14,Tropical Southwestern Atlantic,4,Tropical Atlantic,60,74,18.9757503943,25.2455299499
25147,Fiji Islands,35,Tropical Southwestern Pacific,6,Central Indo-Pacific,144,147,53.801625249,68.0813569838
20070,Floridian,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,69,70,18.7083157453,21.6491216799
25154,Gilbert/Ellis Islands,38,"Marshall, Gilbert and Ellis Islands",7,Eastern Indo-Pacific,148,154,93.3295548799,180.133845385
20208,Great Australian Bight,57,Southwest Australian Shelf,11,Temperate Australasia,194,208,35.5126827675,71.7313539301
20171,Guayaquil,43,Tropical Eastern Pacific,8,Tropical Eastern Pacific,166,171,24.9903745391,40.7944251201
20071,Guianan,13,North Brazil Shelf,4,Tropical Atlantic,65,71,38.4976552696,87.101394046
20089,Gulf of Aden,18,Red Sea and Gulf of Aden,5,Western Indo-Pacific,96,89,48.515319134,92.6512823175
20054,Gulf of Alaska,10,Cold Temperate Northeast Pacific,3,Temperate Northern Pacific,51,54,73.0374878558,194.968892793
20083,Gulf of Guinea Central,17,Gulf of Guinea,4,Tropical Atlantic,77,83,46.0675860882,98.4997790052
20084,Gulf of Guinea Islands,17,Gulf of Guinea,4,Tropical Atlantic,78,84,22.3771454196,33.5165135484
20082,Gulf of Guinea Upwelling,17,Gulf of Guinea,4,Tropical Atlantic,80,82,30.1869543498,53.9071128839
25081,Gulf of Guinea West,17,Gulf of Guinea,4,Tropical Atlantic,81,81,39.7156334579,86.3519656321
25040,Gulf of Maine/Bay of Fundy,5,Cold Temperate Northwest Atlantic,2,Temperate Northern Atlantic,22,40,34.735690447,37.7184779644
20091,Gulf of Oman,19,Somali/Arabian,5,Western Indo-Pacific,94,91,32.4832783922,62.7726111941
20138,Gulf of Papua,32,Sahul Shelf,6,Central Indo-Pacific,135,138,16.7436874015,13.4975430832
20037,Gulf of St. Lawrence - Eastern Scotian Shelf,5,Cold Temperate Northwest Atlantic,2,Temperate Northern Atlantic,23,37,67.9715697224,131.651198831
20115,Gulf of Thailand,26,Sunda Shelf,6,Central Indo-Pacific,113,115,30.3090610069,53.2981206987
20112,Gulf of Tonkin,25,South China Sea,6,Central Indo-Pacific,116,112,41.732882721,113.691687148
20129,Halmahera,30,Western Coral Triangle,6,Central Indo-Pacific,122,129,19.0060282596,23.9672886543
25152,Hawaiian Islands,37,Hawaii,7,Eastern Indo-Pacific,158,152,102.519151296,234.900428311
20213,Heard and Macdonald Islands,59,Subantarctic Islands,12,Southern Ocean,222,213,21.4878407853,34.5340752511
20211,Houtman,58,West Central Australian Shelf,11,Temperate Australasia,192,211,22.5355711763,30.8568426485
20008,Hudson Complex,1,Arctic,1,Arctic,3,8,100.215391496,493.428398699
20176,Humboldtian,45,Warm Temperate Southeastern Pacific,9,Temperate South America,175,176,47.3196688234,109.710999817
20179,Juan Fernández and Desventuradas,46,Juan Fernández and Desventuradas,9,Temperate South America,171,179,46.3201499768,83.5371325419
25046,Kamchatka Shelf and Coast,8,Cold Temperate Northwest Pacific,3,Temperate Northern Pacific,44,46,72.0204336446,176.680428557
20017,Kara Sea,1,Arctic,1,Arctic,13,17,132.366971019,637.199331629
20214,Kerguelen Islands,59,Subantarctic Islands,12,Southern Ocean,223,214,25.7317290276,50.2993113705
25195,Kermadec Island,53,Northern New Zealand,11,Temperate Australasia,202,195,41.9846295081,51.8770794664
25009,Lancaster Sound,1,Arctic,1,Arctic,4,9,70.0430014154,152.01819123
20016,Laptev Sea,1,Arctic,1,Arctic,14,16,101.978841685,399.672925028
20209,Leeuwin,57,Southwest Australian Shelf,11,Temperate Australasia,195,209,36.41646494,79.6596726068
20132,Lesser Sunda,30,Western Coral Triangle,6,Central Indo-Pacific,123,132,36.7796534396,64.2962210793
20155,Line Islands,39,Central Polynesia,7,Eastern Indo-Pacific,150,155,48.9607013271,121.300870134
20151,Lord Howe and Norfolk Islands,36,Lord Howe and Norfolk Islands,6,Central Indo-Pacific,138,151,42.402139642,69.6304553708
20212,Macquarie Island,59,Subantarctic Islands,12,Southern Ocean,224,212,21.5215425172,36.5762819752
20061,Magdalena Transition,11,Warm Temperate Northeast Pacific,3,Temperate Northern Pacific,57,61,18.3039100762,18.4833686908
20118,Malacca Strait,26,Sunda Shelf,6,Central Indo-Pacific,112,118,28.3943210537,28.8529151566
20105,Maldives,22,Central Indian Ocean Islands,5,Western Indo-Pacific,102,105,44.5458287573,105.98098142
20186,Malvinas/Falklands,48,Magellanic,9,Temperate South America,178,186,27.5276347306,55.7337250286
20203,Manning-Hawkesbury,55,East Central Australian Shelf,11,Temperate Australasia,200,203,23.5223280854,32.868148086
20123,Mariana Islands,29,Tropical Northwestern Pacific,6,Central Indo-Pacific,140,123,36.0317496226,83.5765369454
20158,Tuamotus,40,Southeast Polynesia,7,Eastern Indo-Pacific,156,158,73.0091589604,204.291571921
20153,Marshall Islands,38,"Marshall, Gilbert and Ellis Islands",7,Eastern Indo-Pacific,149,153,64.1644978098,181.630384963
20098,Mascarene Islands,20,Western Indian Ocean,5,Western Indo-Pacific,85,98,40.6566347378,87.359000538
20166,Mexican Tropical Pacific,43,Tropical Eastern Pacific,8,Tropical Eastern Pacific,167,166,47.0352344327,77.3350098128
20191,Namaqua,50,Benguela,10,Temperate Southern Africa,187,191,34.30791254,66.459344843
25190,Namib,50,Benguela,10,Temperate Southern Africa,188,190,34.8310471583,69.1645687756
20193,Natal,51,Agulhas,10,Temperate Southern Africa,190,193,29.0642081091,53.7564638536
20149,New Caledonia,35,Tropical Southwestern Pacific,6,Central Indo-Pacific,145,149,41.1520546317,102.961857743
20168,Nicoya,43,Tropical Eastern Pacific,8,Tropical Eastern Pacific,168,168,24.6081632229,26.9691815051
20145,Ningaloo,34,Northwest Australian Shelf,6,Central Indo-Pacific,111,145,20.4119531192,15.1281296939
25055,North American Pacific Fijordland,10,Cold Temperate Northeast Pacific,3,Temperate Northern Pacific,52,55,50.5138822639,134.359702504
20001,North Greenland,1,Arctic,1,Arctic,8,1,159.047820759,472.087814078
25184,North Patagonian Gulfs,48,Magellanic,9,Temperate South America,179,184,38.1910949706,61.309906281
20133,Northeast Sulawesi,30,Western Coral Triangle,6,Central Indo-Pacific,124,133,13.4592307616,9.07488519812
20075,Northeastern Brazil,14,Tropical Southwestern Atlantic,4,Tropical Atlantic,61,75,44.3326188845,95.6313844554
20048,Northeastern Honshu,8,Cold Temperate Northwest Pacific,3,Temperate Northern Pacific,45,48,25.071641895,30.4298590089
25196,Northeastern New Zealand,53,Northern New Zealand,11,Temperate Australasia,203,196,37.2887645715,39.797228167
20087,Northern and Central Red Sea,18,Red Sea and Gulf of Aden,5,Western Indo-Pacific,97,87,40.0760627063,100.988993138
20143,Central and Southern Great Barrier Reef,33,Northeast Australian Shelf,6,Central Indo-Pacific,136,143,35.6355782708,57.1195863167
20117,Sunda Shelf,26,Sunda Shelf,6,Central Indo-Pacific,115,117,57.3681983564,162.017793704
20002,North and East Iceland,1,Arctic,1,Arctic,10,2,63.0181556568,90.6327342621
20020,South and West Iceland,2,Northern European Seas,2,Temperate Northern Atlantic,27,20,43.1183704659,82.9592337359
20025,North Sea,2,Northern European Seas,2,Temperate Northern Atlantic,32,25,69.4401089273,209.010733308
20022,Southern Norway,2,Northern European Seas,2,Temperate Northern Atlantic,33,22,41.6465009424,78.1091206229
20023,Northern Norway and Finnmark,2,Northern European Seas,2,Temperate Northern Atlantic,28,23,68.2513104003,131.417251271
20018,North and East Barents Sea,1,Arctic,1,Arctic,11,18,170.426418038,777.95003823
20019,White Sea,1,Arctic,1,Arctic,12,19,40.2091965522,73.9190356782
20065,Greater Antilles,12,Tropical Northwestern Atlantic,4,Tropical Atlantic,70,65,52.1859076609,109.97390999
20160,Southern Cook/Austral Islands,40,Southeast Polynesia,7,Eastern Indo-Pacific,155,160,56.228971123,147.133675602
25085,Gulf of Guinea South,17,Gulf of Guinea,4,Tropical Atlantic,186,85,26.6732307514,42.5520541262
25086,Angolan,17,Gulf of Guinea,4,Tropical Atlantic,186,86,33.0189558537,67.0727151394
25080,Sahelian Upwelling,16,West African Transition,4,Tropical Atlantic,76,80,32.3670450562,60.4674869609
20030,Adriatic Sea,4,Mediterranean Sea,2,Temperate Northern Atlantic,0,30,26.0441194249,39.2771518957
25032,Levantine Sea,4,Mediterranean Sea,2,Temperate Northern Atlantic,0,32,50.5171775682,108.828762593
25033,Tunisian Plateau/Gulf of Sidra,4,Mediterranean Sea,2,Temperate Northern Atlantic,0,33,42.7089098406,102.74247258
25034,Ionian Sea,4,Mediterranean Sea,2,Temperate Northern Atlantic,0,34,33.4195138835,46.0287237685
25031,Aegean Sea,4,Mediterranean Sea,2,Temperate Northern Atlantic,0,31,33.9334892288,62.7595542604
25036,Alboran Sea,4,Mediterranean Sea,2,Temperate Northern Atlantic,0,36,22.85237833,34.8894351999
25035,Western Mediterranean,4,Mediterranean Sea,2,Temperate Northern Atlantic,0,35,50.3160046334,145.012950315
25010,High Arctic Archipelago,1,Arctic,1,Arctic,2,10,148.712320845,449.915837036
