taxon_key,taxon_scientific_name,taxon_common_name
612547,Coregonus muksun,Muksun
600315,Eleginus gracilis,Saffron cod
600695,Limanda limanda,Common dab
601371,Hippoglossus hippoglossus,Atlantic halibut
290011,Echinoidea,"Sea urchins, sea hedgehogs"
400080,Osmeridae,Smelts
502724,Oncorhynchus,"Salmons, trouts"
600240,Oncorhynchus gorbuscha,Pink salmon
646941,Coregonus laurettae,Bering cisco
600236,Salmo salar,Atlantic salmon
601342,Pleuronectes platessa,European plaice
690091,Crangon crangon,Common shrimp
600314,Eleginus nawaga,Navaga
506253,Coregonus,Whitefishes
400013,Squalidae,Dogfish sharks
600030,Merluccius merluccius,European hake
600034,Pollachius pollachius,Pollack
600088,Lamna nasus,Porbeagle
600139,Squalus acanthias,Piked dogfish
600062,Cyclopterus lumpus,Lumpfish
602691,Salvelinus malma malma,Dolly varden
602676,Coregonus pidschian,Humpback whitefish
390002,Teuthida,Squids
600245,Oncorhynchus kisutch,Coho salmon
600026,Glyptocephalus cynoglossus,Witch flounder
604249,Platichthys stellatus,Starry flounder
590093,Pandalus,Seabed shrimps
400416,Scombridae,"Mackerels, tunas, bonitos"
500112,Lophius,Frogfishes
400515,Scophthalmidae,Turbots
690158,Carcinus maenas,Green crab
600020,Argentina sphyraena,European argentine
500108,Raja,"Stingrays, skates"
500107,Squalus,Dogfishes
690271,Illex illecebrosus,Northern shortfin squid
490097,Brachyura,Marine crabs
290002,Cephalopoda,"Squids, cuttlefishes, octopuses"
600028,Lepidorhombus whiffiagonis,Megrim
503124,Lepidorhombus,Megrims
600138,Somniosus microcephalus,Greenland shark
300014,Rajiformes,Skates and rays
400314,Carangidae,"Jacks, pompanos"
400062,Congridae,"Conger, garden eels"
600646,Aphanopus carbo,Black scabbardfish
400002,Myxinidae,Hagfishes
600029,Merlangius merlangus,Whiting
600118,Scomber scombrus,Atlantic mackerel
600716,Lophius piscatorius,Angler
601348,Scophthalmus maximus,Turbot
601382,Microstomus kitt,Lemon sole
690273,Nephrops norvegicus,Norway lobster
500211,Trachipterus,Ribbonfishes
600303,Cololabis saira,Pacific saury
600243,Oncorhynchus nerka,Sockeye salmon
600241,Oncorhynchus keta,Chum salmon
600244,Oncorhynchus tshawytscha,Chinook salmon
400122,Cyprinidae,"Carps, barbels, other cyprinids"
590014,Crassostrea,Cupped oysters
590260,Sclerocrangon,Sculptured shrimps
690621,Paralithodes camtschaticus,Red king crab
601023,Trisopterus esmarkii,Norway pout
600068,Eutrigla gurnardus,Grey gurnard
390007,Octopoda,"Octopuses, argonauts"
390013,Decapoda,"Crabs, lobsters, shrimps"
600518,Atheresthes evermanni,Kamchatka flounder
400076,Salmonidae,Salmonids
604037,Pleurogrammus monopterygius,Atka mackerel
690608,Erimacrus isenbeckii,Hair Crab
490012,Octopodidae,Octopuses
490036,Lithodidae,Stone/king crabs
400271,Hexagrammidae,Greenlings
490046,Pandalidae,Northern shrimps
600239,Oncorhynchus mykiss,Rainbow trout
590073,Paralithodes,North Pacific king crabs
600517,Atheresthes stomias,Arrowtooth flounder
601879,Microgadus proximus,Pacific tomcod
624237,Lepidopsetta bilineata,Rock sole
600519,Hippoglossoides elassodon,Flathead sole
604238,Glyptocephalus zachirus,Rex sole
500158,Coryphaenoides,Grenadiers
600656,Centroscyllium fabricii,Black dogfish
600898,Prionace glauca,Blue shark
600296,Anguilla rostrata,American eel
600332,Coryphaenoides rupestris,Roundnose grenadier
600231,Coregonus albula,Vendace
600232,Coregonus lavaretus,European whitefish
600238,Salmo trutta,Sea trout
600258,Esox lucius,Northern pike
600272,Rutilus rutilus,Roach
600310,Lota lota,Burbot
600358,Perca fluviatilis,European perch
600360,Sander lucioperca,Pike-perch
601334,Osmerus eperlanus,European smelt
601341,Platichthys flesus,European flounder
601357,Sprattus sprattus,European sprat
602801,Leuciscus idus,Ide
400331,Sciaenidae,"Drums, croakers"
600754,Maurolicus muelleri,Silvery lightfish
602058,Dipturus batis,Blue skate
500136,Salmo,Trouts
601874,Enchelyopus cimbrius,Fourbeard rockling
601352,Sebastes viviparus,Norway redfish
607619,Leucoraja fullonica,Shagreen ray
600514,Hippoglossus stenolepis,Pacific halibut
690616,Pandalus goniurus,Humpy shrimp
600504,Sebastes alutus,Pacific ocean perch
604250,Pleuronectes quadrituberculatus,Alaska plaice
690286,Siliqua patula,Pacific razor clam
604247,Microstomus pacificus,Dover sole
600520,Limanda aspera,Yellowfin sole
601340,Phycis blennoides,Greater forkbeard
602503,Chimaera monstrosa,Rabbit fish
600147,Thunnus thynnus,Atlantic bluefin tuna
100339,Marine pelagic fishes not identified,Pelagic fishes
600313,Urophycis tenuis,White hake
602420,Gasterosteus aculeatus,Three-spined stickleback
600035,Anguilla anguilla,European eel
690612,Lithodes aequispinus,Same-spine stone crab
500147,Argentina,Argentines
400359,Mugilidae,"Mullets, grey mullets"
690284,Panopea abrupta,Pacific geoduck
600308,Gadus macrocephalus,Pacific cod
503328,Notoscopelus,Lampfish
400441,Soleidae,Soles
690445,Mizuhopecten yessoensis,Yesso scallop
690618,Pandalus kessleri,Grass shrimp
490058,Cardiidae,Cockles
600481,Trisopterus minutus,Poor cod
601365,Trachurus trachurus,Atlantic horse mackerel
690314,Aequipecten opercularis,Queen scallop
600785,Mugil cephalus,Flathead grey mullet
600318,Theragra chalcogramma,Alaska pollock
600529,Scophthalmus rhombus,Brill
600301,Conger conger,European conger
690753,Chaceon affinis,Deepsea red crab
300060,Perciformes,Perch-likes
490055,Pectinidae,Scallops
690425,Necora puber,Velvet swimcrab
500661,Trachurus,"Jacks, horse mackerels"
600525,Solea solea,Common sole
590010,Loligo,Common squids
690053,Mytilus edulis,Blue mussel
690119,Cancer pagurus,Edible crab
690125,Homarus gammarus,European lobster
400405,Gobiidae,Gobies
590145,Solen,Razor clams
601370,Zeus faber,John dory
602059,Raja clavata,Thornback ray
690156,Pecten maximus,Great Atlantic scallop
604009,Sebastolobus alascanus,Shortspine thornyhead
490060,Veneridae,Venus clams
600256,Thaleichthys pacificus,Eulachon
600253,Osmerus mordax mordax,Rainbow smelt
600076,Helicolenus dactylopterus,Blackbelly rosefish
600063,Dicentrarchus labrax,European seabass
690891,Enteroctopus dofleini,North Pacific giant octopus
604248,Parophrys vetulus,English sole
601367,Trisopterus luscus,Pouting
600047,Belone belone,Garfish
503663,Vimba,Vimba breams
490010,Loliginidae,Common pencil squids
600054,Capros aper,Boarfish
501129,Beryx,Alfonsinos
604474,Gymnocephalus cernua,Ruffe
600056,Cepola macrophthalma,Red bandfish
601477,Sardinops sagax,Pacific sardine
490004,Ommastrephidae,Arrow squids
690283,Crassostrea gigas,Pacific cupped oyster
601734,Mora moro,Common mora
600093,Auxis rochei,Bullet tuna
600391,Brama brama,Atlantic pomfret
400415,Trichiuridae,Cutlassfishes
602951,Scardinius erythrophthalmus,Rudd
600283,Pelecus cultratus,Sichel
690617,Pandalus hypsinotus,Coonstriped shrimp
600509,Ophiodon elongatus,Lingcod
600512,Anoplopoma fimbria,Sablefish
600502,Sebastes entomelas,Widow rockfish
690115,Metacarcinus magister,Dungeness crab
601363,Trachinus draco,Greater weever
602508,Epigonus telescopus,Black cardinal fish
609256,Amblyraja hyperborea,Arctic skate
200538,Chondrichthyes,"Sharks, rays, chimaeras"
509303,Phycis,"Gunnels, forkbeards"
607614,Leucoraja circularis,Sandy ray
690123,Ostrea edulis,European flat oyster
590049,Littorina,Periwinkles
604326,Leucoraja naevus,Cuckoo ray
600487,Ammodytes personatus,Pacific sandlance
290276,Echinozoa,Sea urchins and sea cucumbers
690198,Todarodes pacificus,Japanese flying squid
603578,Atractoscion nobilis,White weakfish
600845,Scyliorhinus canicula,Smallspotted catshark
607616,Dipturus oxyrinchus,Longnosed skate
600115,Sarda sarda,Atlantic bonito
400252,Caproidae,Boarfishes
590146,Spisula,Surf clams
604329,Raja montagui,Spotted ray
503078,Hydrolagus,Ghostsharks
500348,Mustelus,Smoothhounds
604552,Raja brachyura,Blonde ray
490030,Palaemonidae,Clawed shrimps
590082,Palinurus,Spiny lobsters
400362,Labridae,"Wrasses, gropers, tuskfishes"
600479,Zoarces viviparus,Eelpout
600270,Carassius carassius,Crucian carp
600480,Zoarces americanus,Ocean pout
690090,Palaemon serratus,Common prawn
600230,Alepocephalus bairdii,Baird's slickhead
600242,Oncorhynchus masou masou,Masu salmon
500814,Scyliorhinus,Catsharks
601366,Chelidonichthys lucerna,Tub gurnard
690085,Sepia officinalis,Common cuttlefish
600044,Chelidonichthys cuculus,Red gurnard
604642,Galeorhinus galeus,Tope shark
690087,Cardium edule,Common edible cockle
690324,Asterias rubens,Red starfish
690671,Spisula solida,Surf clam
601356,Spondyliosoma cantharus,Black seabream
490031,Portunidae,Swimming crabs
600041,Arnoglossus laterna,Mediterranean scaldfish
690003,Pandalus montagui,Aesop shrimp
690088,Octopus vulgaris,Common octopus
690755,Ensis siliqua,Sword razor shell
690011,Placopecten magellanicus,American sea scallop
400332,Mullidae,Goatfishes
300036,Scombroidea,"Tunas, bonitos, billfishes"
400010,Scyliorhinidae,Cat/swellsharks
600066,Engraulis encrasicolus,European anchovy
600107,Katsuwonus pelamis,Skipjack tuna
605355,Alosa fallax,Twaite shad
690337,Mya arenaria,Sand gaper
602014,Laemonema longipes,Longfin codling
690010,Homarus americanus,American lobster
290176,Asterozoa,Starfishes and brittlestars
604996,Mustelus mustelus,Smooth-hound
590088,Crangon,Snapping shrimps
502682,Dicentrarchus,Seabasses
690064,Saxidomus gigantea,Butter clam
603979,Sebastes melanops,Black rockfish
601327,Mullus surmuletus,Surmullet
600418,Argyrosomus regius,Meagre
690605,Cerastoderma edule,Common cockle
300063,Batoidea,"Batoids, skates, rays, sawfishes"
600097,Euthynnus alletteratus,Little tunny
600094,Auxis thazard,Frigate tuna
500639,Alopias,Thresher sharks
605492,Raja microocellata,Small-eyed ray
605938,Mustelus asterias,Starry smooth-hound
500654,Merluccius,Hakes
690185,Chlamys islandica,Iceland scallop
600323,Merluccius bilinearis,Silver hake
590024,Eledone,"Horned, musky octopuses"
600521,Limanda ferruginea,Yellowtail flounder
603672,Tautogolabrus adspersus,Cunner
400445,Balistidae,Triggerfishes
690124,Todarodes sagittatus,European flying squid
601584,Alosa sapidissima,American shad
600854,Scyliorhinus stellaris,Nursehound
601350,Sardina pilchardus,European pilchard
602499,Chelon labrosus,Thicklip grey mullet
604583,Liza ramada,Thinlip grey mullet
690595,Loligo forbesii,Veined squid
490020,Haliotidae,"Abalones, ear shells"
600078,Istiophorus albicans,Atlantic sailfish
600890,Pagellus bogaraveo,Blackspot seabream
602535,Alopias vulpinus,Thresher
690092,Palinurus elephas,Common spiny lobster
490023,Littorinidae,Littorinidae
600349,Polyprion americanus,Wreckfish
400240,Berycidae,"Alfonsinos, redfishes"
601319,Beryx decadactylus,Alfonsino
601320,Beryx splendens,Splendid alfonsino
608924,Raja asterias,Mediterranean starry ray
601583,Alosa pseudoharengus,Alewife
590013,Octopus,"Octopuses, pikas"
490011,Sepiidae,Cuttlefishes
400330,Sparidae,"Porgies, seabreams"
501905,Thunnus,Tunas
600226,Xiphias gladius,Swordfish
600572,Labrus bergylta,Ballan wrasse
601164,Sparus aurata,Gilthead seabream
600669,Dalatias licha,Kitefin shark
690089,Littorina littorea,Common periwinkle
490039,Palinuridae,Spiny lobsters
500618,Solea,Soles
600752,Isurus oxyrinchus,Shortfin mako
600532,Lophius americanus,American angler
600316,Microgadus tomcod,Atlantic tomcod
600339,Menidia menidia,Atlantic silverside
600353,Morone saxatilis,Striped bass
500352,Alosa,Shads
500152,Mugil,Grey mullets
590117,Mytilus,Edible sea mussels
500903,Pagrus,Subtropical seabreams
600032,Microchirus variegatus,Thickback sole
601735,Liza aurata,Golden grey mullet
601756,Pagrus pagrus,Red porgy
690270,Mercenaria mercenaria,Northern quahog
602066,Acipenser sturio,Sturgeon
690420,Haliotis tuberculata,Tuberculate abalone
604330,Myliobatis aquila,Common eagleray
690678,Glycymeris glycymeris,Dog cockle
690680,Palaemon longirostris,Delta prawn
690693,Venus verrucosa,Warty venus
500122,Trachinus,Weevers
290005,Ascidiacea,Sea squirts
500134,Scorpaena,Scorpionfishes
590262,Tellina,Tellins
690196,Ruditapes philippinarum,Japanese carpet shell
600893,Pagellus erythrinus,Common pandora
690009,Crassostrea virginica,American cupped oyster
590141,Ruditapes,Carpet shells
607613,Rostroraja alba,White skate
607617,Raja undulata,Undulate ray
690631,Spisula ovalis,Venus clam
600886,Galeocerdo cuvier,Tiger shark
601663,Engraulis japonicus,Japanese anchovy
490043,Penaeidae,Commercial shrimps and prawns
600117,Scomber japonicus,Chub mackerel
600368,Trachurus symmetricus,Pacific jack mackerel
602570,Raja stellulata,Starry skate
600503,Sebastes flavidus,Yellowtail rockfish
602589,Hydrolagus colliei,Spotted ratfish
601664,Engraulis mordax,Californian anchovy
601732,Mola mola,Ocean sunfish
604252,Pleuronichthys decurrens,Curlfin sole
604255,Psettichthys melanostictus,Pacific sand sole
603962,Sebastes crameri,Darkblotched rockfish
604140,Scorpaenichthys marmoratus,Cabezon
690285,Leukoma staminea,Pacific littleneck clam
603971,Sebastes goodei,Chilipepper rockfish
690287,Cancer productus,Pacific rock crab
604215,Citharichthys sordidus,Pacific sanddab
603987,Sebastes paucispinis,Bocaccio rockfish
603989,Sebastes pinniger,Canary rockfish
604237,Eopsetta jordani,Petrale sole
690651,Clinocardium nuttallii,Nuttall cockle
690665,Upogebia pugettensis,Blue mud shrimp
400419,Istiophoridae,Billfishes
601288,Trichiurus lepturus,Largehead hairtail
690031,Cancer irroratus,Atlantic rock crab
690033,Spisula solidissima,Atlantic surf clam
602557,Leucoraja erinacea,Little skate
614290,Thunnus orientalis,Pacific bluefin tuna
690660,Pandalus jordani,Ocean shrimp
600524,Pseudopleuronectes americanus,Winter flounder
600312,Urophycis chuss,Red hake
590011,Sepia,Sepia cuttlefishes
600143,Thunnus albacares,Yellowfin tuna
604228,Paralichthys californicus,California flounder
400218,Atherinidae,Silversides
500705,Diplodus,Two-toothed seabreams
600101,Alosa alosa,Allis shad
600203,Boops boops,Bogue
604548,Umbrina canariensis,Canary drum
601736,Liza saliens,Leaping mullet
600889,Pagellus acarne,Axillary seabream
600394,Dicentrarchus punctatus,Spotted seabass
690166,Ruditapes decussatus,Grooved carpet shell
602060,Dasyatis pastinaca,Common stingray
602530,Petromyzon marinus,Sea lamprey
690305,Palinurus mauritanicus,Pink spiny lobster
690043,Pollicipes pollicipes,Atlantic barnacle
690676,Liocarcinus depurator,Blueleg swimcrab
400009,Lamnidae,Mackerel/white sharks
500142,Scomber,Chub mackerels
490063,Mactridae,Mactra surf clams
400084,Bathylagidae,Deepsea smelts
400454,Engraulidae,"Anchovies, round herrings"
490054,Mytilidae,Sea mussels
500143,Mullus,Atlantic goatfishes
601470,Clupeonella cultriventris,Caspian Sea sprat
601696,Atherina boyeri,Bigscale sand smelt
600105,Alosa immaculata,Pontic shad
604791,Mugil soiuy,So-iuy mullet
690241,Mytilus galloprovincialis,Mediterranean mussel
590092,Palaemon,Carnivorous shrimps
490052,Squillidae,Squilla mantis shrimps
600355,Morone americana,White perch
690664,Tresus nuttallii,Pacific gaper clam
600526,Dicologlossa cuneata,Wedge sole
601278,Trachurus mediterraneus,Mediterranean horse mackerel
601753,Diplodus sargus sargus,White seabream
601766,Spicara smaris,Picarel
608852,Solea senegalensis,Senegalese sole
400032,Acipenseridae,Sturgeons
604887,Spicara maena,Blotched picarel
600298,Muraenesox cinereus,Daggertooth pike conger
400207,Belonidae,"Needlefishes, garfishes"
500679,Spicara,Picarels
600790,Mullus barbatus barbatus,Red mullet
601759,Scorpaena scrofa,Red scorpionfish
600706,Lithognathus mormyrus,Sand steenbras
606470,Epinephelus marginatus,Dusky grouper
600807,Galeus melastomus,Blackmouth catshark
654736,Scomber colias,Atlantic chub mackerel
500901,Serranus,Groupers
490061,Solenidae,"Razor, knife clams"
600039,Aphia minuta,Transparent goby
600439,Dentex dentex,Common dentex
600692,Lichia amia,Leerfish
390006,Sepiida,"Cuttlefishes, bobtail squids"
500372,Sphyraena,"Barracudas, sennets"
590128,Donax,Bean clams
600998,Naucrates ductor,Pilotfish
601773,Trachinotus ovatus,Pompano
601823,Tetrapturus belone,Mediterranean spearfish
601043,Sardinella aurita,Round sardinella
690404,Chamelea gallina,Striped venus
590125,Arca,"Arks, turkey wings"
600072,Gobius niger,Black goby
601306,Umbrina cirrosa,Shi drum
601707,Sciaena umbra,Brown meagre
601752,Diplodus annularis,Annular seabream
601754,Diplodus vulgaris,Common twobanded seabream
601758,Scorpaena porcus,Black scorpionfish
604582,Labrus merula,Brown wrasse
605081,Trigloporus lastoviza,Streaked gurnard
690387,Maja squinado,Spinous spider crab
690689,Bolinus brandaris,Purple dye murex
400377,Trachinidae,Weeverfishes
400414,Gempylidae,Snake mackerels
501163,Auxis,Bullet and frigate tunas
501418,Microchirus,Soles
600219,Kajikia albida,Atlantic white marlin
400264,Scorpaenidae,"Scorpionfishes, rockfishes"
601084,Scomberesox saurus saurus,Atlantic saury
600366,Trachurus japonicus,Japanese jack mackerel
612361,Pseudopentaceros wheeleri,Slender armorhead
500928,Seriola,Amberjacks
390012,Holothuroidea,Sea cucumbers
600382,Seriola lalandi,Yellowtail amberjack
600463,Arctoscopus japonicus,Japanese sandfish
600510,Pleurogrammus azonus,Okhostk atka mackerel
400289,Serranidae,"Basses, groupers, hinds"
601351,Paralichthys olivaceus,Bastard halibut
400319,Bramidae,Pomfrets
690622,Paralithodes platypus,Blue king crab
400189,Batrachoididae,Toadfishes
400312,Rachycentridae,Cobias
600425,Pogonias cromis,Black drum
600441,Archosargus probatocephalus,Sheepshead
601181,Sphoeroides maculatus,Northern puffer
601221,Calamus bajonado,Jolthead porgy
690029,Ensis directus,Atlantic razor clam
690030,Argopecten irradians,Atlantic bay scallop
690052,Callinectes sapidus,Blue crab
601574,Alosa aestivalis,Blueback shad
601933,Caranx crysos,Blue runner
601582,Alosa mediocris,Hickory shad
607327,Balistes capriscus,Grey triggerfish
690059,Illex coindetii,Broadtail shortfin squid
501145,Pagellus,Pandoras
690392,Squilla mantis,Spottail mantis squillid
690684,Eledone cirrhosa,Horned octopus
600146,Thunnus obesus,Bigeye tuna
600216,Makaira nigricans,Blue marlin
601235,Sphyraena barracuda,Great barracuda
600006,Coryphaena hippurus,Common dolphinfish
600204,Sarpa salpa,Salema
690109,Parapenaeus longirostris,Deepwater rose shrimp
400020,Dasyatidae,Whiptail stingrays
601005,Seriola dumerili,Greater amberjack
500693,Sphyrna,Hammerhead sharks
601747,Phycis phycis,Forkbeard
690070,Melicertus kerathurus,Caramote prawn
600753,Isurus paucus,Longfin mako
400323,Lutjanidae,Snappers
502794,Cynoscion,Weakfishes
500638,Isurus,Mako sharks
501164,Peprilus,Harvestfishes
500983,Dorosoma,Gizzard shads
400313,Echeneidae,Remoras
600364,Pomatomus saltatrix,Bluefish
600452,Stenotomus chrysops,Scup
600071,Caranx hippos,Crevalle jack
600361,Centropristis striata,Black seabass
600458,Tautoga onitis,Tautog
600530,Scophthalmus aquosus,Windowpane flounder
600751,Carcharodon carcharias,Great white shark
600492,Peprilus triacanthus,Atlantic butterfish
601213,Mycteroperca phenax,Scamp
690227,Doryteuthis pealeii,Longfin inshore squid
601592,Brevoortia tyrannus,Atlantic menhaden
600880,Carcharhinus plumbeus,Sandbar shark
601604,Dorosoma cepedianum,American gizzard shad
601338,Paralichthys dentatus,Summer flounder
690275,Arctica islandica,Ocean quahog
690203,Cancer borealis,Jonah crab
600336,Zenopsis conchifer,Silvery John dory
500358,Mola,Sunfishes
600362,Lopholatilus chamaeleonticeps,Great northern tilefish
490038,Nephropidae,Clawed lobsters
490042,Aristeidae,Aristeid shrimps
600645,Lepidopus caudatus,Silver scabbardfish
690051,Aristeus antennatus,Blue and red shrimp
690470,Ommastrephes bartramii,Neon flying squid
600058,Coris julis,Mediterranean rainbow wrasse
400011,Carcharhinidae,Requiem sharks
690400,Paracentrotus lividus,Stony sea urchin
601353,Serranus cabrilla,Comber
601733,Molva macrophthalma,Spanish ling
690133,Fenneropenaeus chinensis,Fleshy prawn
600326,Merluccius productus,North Pacific hake
600850,Oblada melanura,Saddled seabream
605094,Lophius budegassa,Blackbellied angler
601042,Lepidocybium flavobrunneum,Escolar
601044,Ruvettus pretiosus,Oilfish
601279,Trachurus picturatus,Blue jack mackerel
590050,Murex,Murex shells
600027,Lepidorhombus boscii,Fourspot megrim
500640,Galeus,Sawtail catsharks
500144,Trigla,Piper gurnards
500809,Dentex,Toothed seabreams
490040,Scyllaridae,Slipper lobsters
400236,Trachichthyidae,Slimeheads
605038,Trigla lyra,Piper gurnard
600438,Dentex macrophthalmus,Largeeye dentex
601722,Lepidotrigla cavillone,Largescaled gurnard
600708,Squalus blainville,Longnose spurdog
500366,Epinephelus,"Seabasses, hinds"
500487,Scomberomorus,Spanish mackerels
400488,Triakidae,Houndsharks
290022,Malacostraca,"Lobsters, crabs, shrimps, krill"
600108,Orcynopsis unicolor,Plain bonito
601729,Muraena helena,Mediterranean moray
690167,Microcosmus sulcatus,Grooved sea squirt
690219,Marsupenaeus japonicus,Kuruma prawn
690242,Carcinus aestuarii,Mediterranean shore crab
690157,Pecten jacobaeus,Great Mediterranean scallop
600089,Acanthocybium solandri,Wahoo
600223,Kajikia audax,Striped marlin
590083,Panulirus,Spiny lobsters
604589,Lateolabrax japonicus,Japanese seaperch
400327,Haemulidae,"Grunts, sweetlips, bonnetmouths"
602065,Acipenser stellatus,Starry sturgeon
602067,Huso huso,Beluga
604712,Acipenser gueldenstaedtii,Danube sturgeon
600398,Plectorhinchus mediterraneus,Rubberlip grunt
690754,Ensis ensis,Pod razor
605071,Alepocephalus rostratus,Rissos smooth-head
500357,Lutjanus,Snappers
600144,Thunnus atlanticus,Blackfin tuna
600410,Menticirrhus saxatilis,Northern kingcroaker
600380,Trachinotus carolinus,Florida pompano
600266,Lutjanus griseus,Grey snapper
600408,Micropogonias undulatus,Atlantic croaker
601024,Chaetodipterus faber,Atlantic spadefish
601191,Sciaenops ocellatus,Red drum
601423,Lutjanus campechanus,Northern red snapper
600905,Rhizoprionodon terraenovae,Atlantic sharpnose shark
601077,Lobotes surinamensis,Tripletail
601128,Haemulon aurolineatum,Tomtate grunt
600300,Conger oceanicus,American conger
602534,Alopias superciliosus,Bigeye thresher
501940,Sardinella,Sardinellas
400581,Peristediidae,"Armored searobins, gurnards"
290056,Pteriomorphia,"Clams, cockles, arkshells"
300007,Lamniformes,Mackerel sharks
509279,Anguilla,Eels
590067,Geryon,Deepsea crabs
600249,Centrolophus niger,Rudderfish
604556,Trachyrincus scabrus,Roughsnout grenadier
604943,Citharus linguatula,Spotted flounder
604964,Hoplostethus mediterraneus mediterraneus,Mediterranean slimehead
690752,Acanthocardia tuberculata,Tuberculate cockle
613025,Sparisoma cretense,Old parrotfish
600637,Hexanchus griseus,Bluntnose sixgill shark
600648,Centrophorus granulosus,Gulper shark
601894,Campogramma glaycos,Vadigo
602497,Diplodus cervinus cervinus,Zebra seabream
604536,Dentex gibbosus,Pink dentex
605066,Pagrus auriga,Redbanded seabream
400022,Myliobatidae,Eagle/manta rays
600120,Scomberomorus cavalla,King mackerel
600126,Scomberomorus maculatus,Atlantic Spanish mackerel
600874,Carcharhinus limbatus,Blacktip shark
607557,Polymixia nobilis,Stout beardfish
100025,Miscellaneous diadromous fishes,Diadromous fishes nei
690005,Acetes japonicus,Akiami paste shrimp
601609,Konosirus punctatus,Dotted gizzard shad
490132,Holothuriidae,Fleshy sea cucumbers
490143,Ostreidae,True oysters
400417,Xiphiidae,Swordfishes
400448,Tetraodontidae,"Puffers, tobies"
600429,Leiostomus xanthurus,Spot croaker
600545,Anchoa mitchilli,Bay anchovy
601212,Mycteroperca microlepis,Gag
600878,Carcharhinus obscurus,Dusky shark
600914,Sphyrna mokarran,Great hammerhead
601086,Mugil curema,White mullet
690182,Limulus polyphemus,Horseshoe crab
500716,Epigonus,Deepwater cardinalfishes
600250,Schedophilus ovalis,Imperial blackfish
608092,Parapristipoma octolineatum,African striped grunt
601749,Diplodus puntazzo,Sharpsnout seabream
590075,Portunus,Swimmer crabs
300032,Siluriformes,Catfishes
600405,Cynoscion nebulosus,Spotted weakfish
600213,Rhomboplites aurorubens,Vermilion snapper
690649,Lunarca ovalis,Oval blood ark
600334,Hoplostethus atlanticus,Orange roughy
400015,Squatinidae,Angel sharks
600736,Squatina squatina,Angelshark
590116,Modiolus,Horse mussels
690896,Goneplax rhomboides,Goneplax rhomboides
600080,Chanos chanos,Milkfish
600005,Orthopristis chrysoptera,Pigfish
600409,Menticirrhus americanus,Southern kingcroaker
601165,Bairdiella chrysoura,Silver croaker
600426,Epinephelus aeneus,White grouper
590096,Penaeus,Tiger prawns
600220,Tetrapturus pfluegeri,Longbill spearfish
605003,Pomadasys incisus,Bastard grunt
