am_sid,iucn_sid,sciname,map_iucn_sid,map_subpop,spp_group,spatial_source
Fis-164793,195488,Squalus suckleyi,195488,NA,CHONDRICHTHYES,iucn
NA,19711843,Apostichopus leukothele,19711843,NA,SEACUCUMBERS,iucn
NA,19717509,Capheira sulcata,19717509,NA,SEACUCUMBERS,iucn
NA,19718050,Capheira mollis,19718050,NA,SEACUCUMBERS,iucn
NA,19743170,Synallactes challengeri,19743170,NA,SEACUCUMBERS,iucn
NA,22679859,Cygnus buccinator,22679859,NA,BOTW_marine,iucn
NA,22679881,Anser albifrons,22679881,NA,BOTW_marine,iucn
NA,22679896,Anser caerulescens,22679896,NA,BOTW_marine,iucn
NA,22679946,Branta bernicla,22679946,NA,BOTW_marine,iucn
NA,22680157,Mareca penelope,22680157,NA,BOTW_marine,iucn
NA,22680163,Mareca americana,22680163,NA,BOTW_marine,iucn
NA,22680229,Spatula discors,22680229,NA,BOTW_marine,iucn
NA,22680247,Spatula clypeata,22680247,NA,BOTW_marine,iucn
NA,22680301,Anas acuta,22680301,NA,BOTW_marine,iucn
NA,22680364,Aythya valisineria,22680364,NA,BOTW_marine,iucn
NA,22680367,Aythya americana,22680367,NA,BOTW_marine,iucn
NA,22680391,Aythya fuligula,22680391,NA,BOTW_marine,iucn
NA,22680398,Aythya marila,22680398,NA,BOTW_marine,iucn
NA,22680402,Aythya affinis,22680402,NA,BOTW_marine,iucn
ITS-175149,22680423,Histrionicus histrionicus,22680423,NA,BOTW_marine,iucn
ITS-175147,22680427,Clangula hyemalis,22680427,NA,BOTW_marine,iucn
ITS-175170,22680441,Melanitta perspicillata,22680441,NA,BOTW_marine,iucn
ITS-175141,22680455,Bucephala clangula,22680455,NA,BOTW_marine,iucn
ITS-175144,22680459,Bucephala islandica,22680459,NA,BOTW_marine,iucn
ITS-175145,22680462,Bucephala albeola,22680462,NA,BOTW_marine,iucn
NA,22680472,Lophodytes cucullatus,22680472,NA,BOTW_marine,iucn
ITS-175187,22680485,Mergus serrator,22680485,NA,BOTW_marine,iucn
NA,22680492,Mergus merganser,22680492,NA,BOTW_marine,iucn
NA,22689714,Chordeiles minor,22689714,NA,BOTW_marine,iucn
NA,22693162,Limosa fedoa,22693162,NA,BOTW_marine,iucn
NA,22693195,Numenius americanus,22693195,NA,BOTW_marine,iucn
NA,22693207,Tringa erythropus,22693207,NA,BOTW_marine,iucn
NA,22693231,Tringa melanoleuca,22693231,NA,BOTW_marine,iucn
NA,22693235,Tringa flavipes,22693235,NA,BOTW_marine,iucn
NA,22693277,Actitis macularius,22693277,NA,BOTW_marine,iucn
NA,22693305,Tringa incana,22693305,NA,BOTW_marine,iucn
NA,22693319,Tringa semipalmata,22693319,NA,BOTW_marine,iucn
NA,22693341,Arenaria melanocephala,22693341,NA,BOTW_marine,iucn
NA,22693344,Limnodromus griseus,22693344,NA,BOTW_marine,iucn
NA,22693348,Limnodromus scolopaceus,22693348,NA,BOTW_marine,iucn
NA,22693356,Calidris virgata,22693356,NA,BOTW_marine,iucn
ITS-176642,22693363,Calidris canutus,22693363,NA,BOTW_marine,iucn
NA,22693373,Calidris pusilla,22693373,NA,BOTW_marine,iucn
NA,22693376,Calidris mauri,22693376,NA,BOTW_marine,iucn
NA,22693396,Calidris minutilla,22693396,NA,BOTW_marine,iucn
NA,22693424,Calidris ptilocnemis,22693424,NA,BOTW_marine,iucn
ITS-176661,22693427,Calidris alpina,22693427,NA,BOTW_marine,iucn
NA,22693468,Calidris pugnax,22693468,NA,BOTW_marine,iucn
ITS-554381,22693735,Pluvialis fulva,22693735,NA,BOTW_marine,iucn
ITS-176567,22693749,Pluvialis squatarola,22693749,NA,BOTW_marine,iucn
NA,22693764,Charadrius semipalmatus,22693764,NA,BOTW_marine,iucn
NA,22693777,Charadrius vociferus,22693777,NA,BOTW_marine,iucn
ITS-176792,22694240,Stercorarius pomarinus,22694240,NA,BOTW_marine,iucn
ITS-176841,22694296,Larus heermanni,22694296,NA,BOTW_marine,iucn
ITS-176832,22694308,Larus canus,22694308,NA,BOTW_marine,iucn
ITS-176830,22694317,Larus delawarensis,22694317,NA,BOTW_marine,iucn
ITS-176829,22694321,Larus californicus,22694321,NA,BOTW_marine,iucn
ITS-176814,22694334,Larus glaucescens,22694334,NA,BOTW_marine,iucn
ITS-176817,22694337,Larus occidentalis,22694337,NA,BOTW_marine,iucn
ITS-176816,22694362,Larus schistisagus,22694362,NA,BOTW_marine,iucn
NA,22694420,Larus ridibundus,22694420,NA,BOTW_marine,iucn
NA,22694432,Larus philadelphia,22694432,NA,BOTW_marine,iucn
ITS-176845,22694502,Rissa brevirostris,22694502,NA,BOTW_marine,iucn
ITS-176935,22694524,Hydroprogne caspia,22694524,NA,BOTW_marine,iucn
ITS-176888,22694623,Sterna hirundo,22694623,NA,BOTW_marine,iucn
NA,22694787,Chlidonias niger,22694787,NA,BOTW_marine,iucn
ITS-176974,22694841,Uria aalge,22694841,NA,BOTW_marine,iucn
ITS-176978,22694847,Uria lomvia,22694847,NA,BOTW_marine,iucn
ITS-176991,22694864,Cepphus columba,22694864,NA,BOTW_marine,iucn
ITS-176996,22694870,Brachyramphus marmoratus,22694870,NA,BOTW_marine,iucn
ITS-176998,22694875,Brachyramphus brevirostris,22694875,NA,BOTW_marine,iucn
ITS-177008,22694896,Synthliboramphus antiquus,22694896,NA,BOTW_marine,iucn
ITS-177013,22694903,Ptychoramphus aleuticus,22694903,NA,BOTW_marine,iucn
NA,22694906,Aethia psittacula,22694906,NA,BOTW_marine,iucn
ITS-177023,22694924,Cerorhinca monocerata,22694924,NA,BOTW_marine,iucn
ITS-177029,22694931,Fratercula corniculata,22694931,NA,BOTW_marine,iucn
ITS-177032,22694934,Fratercula cirrhata,22694934,NA,BOTW_marine,iucn
NA,22695144,Haliaeetus leucocephalus,22695144,NA,BOTW_marine,iucn
NA,22696453,Falco columbarius,22696453,NA,BOTW_marine,iucn
NA,22696599,Podiceps grisegena,22696599,NA,BOTW_marine,iucn
ITS-174724,22696753,Phalacrocorax penicillatus,22696753,NA,BOTW_marine,iucn
ITS-174717,22696776,Phalacrocorax auritus,22696776,NA,BOTW_marine,iucn
NA,22696974,Egretta thula,22696974,NA,BOTW_marine,iucn
NA,22696998,Ardea herodias,22696998,NA,BOTW_marine,iucn
NA,22697829,Gavia stellata,22697829,NA,BOTW_marine,iucn
NA,22697839,Gavia pacifica,22697839,NA,BOTW_marine,iucn
NA,22697842,Gavia immer,22697842,NA,BOTW_marine,iucn
NA,22697847,Gavia adamsii,22697847,NA,BOTW_marine,iucn
ITS-174536,22697866,Fulmarus glacialis,22697866,NA,BOTW_marine,iucn
NA,22698039,Pterodroma ultima,22698039,NA,BOTW_marine,iucn
NA,22698182,Ardenna bulleri,22698182,NA,BOTW_marine,iucn
NA,22698195,Ardenna creatopus,22698195,NA,BOTW_marine,iucn
SLB-40419,22698511,Hydrobates leucorhous,22698511,NA,BOTW_marine,iucn
NA,22698572,Hydrobates furcatus,22698572,NA,BOTW_marine,iucn
NA,22705986,Corvus caurinus,22705986,NA,BOTW_marine,iucn
NA,22711374,Cistothorus palustris,22711374,NA,BOTW_marine,iucn
NA,22712077,Tachycineta thalassina,22712077,NA,BOTW_marine,iucn
NA,22717434,Eremophila alpestris,22717434,NA,BOTW_marine,iucn
NA,22718575,Anthus rubescens,22718575,NA,BOTW_marine,iucn
NA,22721033,Calcarius lapponicus,22721033,NA,BOTW_marine,iucn
NA,22721058,Melospiza melodia,22721058,NA,BOTW_marine,iucn
NA,22721836,Geothlypis trichas,22721836,NA,BOTW_marine,iucn
NA,22724332,Euphagus cyanocephalus,22724332,NA,BOTW_marine,iucn
NA,22727750,Oxyura jamaicensis,22727750,NA,BOTW_marine,iucn
NA,22728182,Butorides striata,22728182,NA,BOTW_marine,iucn
ITS-174725,22728950,Phalacrocorax pelagicus,22728950,NA,BOTW_marine,iucn
NA,22728995,Larus thayeri,22728995,NA,BOTW_marine,iucn
NA,22729867,Gallinago delicata,22729867,NA,BOTW_marine,iucn
NA,22732425,Melanitta americana,22732425,NA,BOTW_marine,iucn
ITS-174685,22733989,Pelecanus occidentalis,22733989,NA,BOTW_marine,iucn
NA,22734194,Melanitta deglandi,22734194,NA,BOTW_marine,iucn
Rep-4381,46967817,Dermochelys coriacea,6494,West Pacific,REPTILES_marine,iucn
NA,62030590,Larus smithsonianus,62030590,NA,BOTW_marine,iucn
NA,62101215,Synthliboramphus hypoleucus,62101215,NA,BOTW_marine,iucn
NA,62101249,Synthliboramphus scrippsi,62101249,NA,BOTW_marine,iucn
NA,62169677,Fulica americana,62169677,NA,BOTW_marine,iucn
NA,70207409,Mustela nivalis,70207409,NA,TERRESTRIAL_MAMMALS_marine,iucn
NA,102998555,Alauda arvensis,102998555,NA,BOTW_marine,iucn
Fis-29588,233,Acipenser medirostris,NA,NA,NA,am
Fis-29594,234,Acipenser transmontanus,NA,NA,NA,am
ITS-Mam-180525,2476,Balaenoptera edeni,2476,NA,MARINE_MAMMALS,am
Fis-48198,5363,Coregonus autumnalis,NA,NA,NA,am
ITS-Mam-180483,6335,Delphinapterus leucas,6335,NA,MARINE_MAMMALS,am
ITS-Mam-180655,8010,Erignathus barbatus,8010,NA,MARINE_MAMMALS,am
Fis-30039,8951,Gasterosteus aculeatus,NA,NA,NA,am
ITS-Mam-180681,10303,Hydrodamalis gigas,NA,NA,NA,am
Fis-25001,12103,Liosaccus pachygaster,NA,NA,NA,am
ITS-Mam-180517,13244,Mesoplodon densirostris,13244,NA,MARINE_MAMMALS,am
Fis-24809,14214,Triglopsis quadricornis,NA,NA,NA,am
ITS-Mam-180639,15106,Odobenus rosmarus,15106,NA,MARINE_MAMMALS,am
Fis-24923,18878,Pungitius pungitius,NA,NA,NA,am
Fis-30583,19488,Rhincodon typus,19488,NA,CHONDRICHTHYES,am
Fis-30643,20085,Sebastes paucispinus,NA,NA,NA,am
Fis-22833,21857,Thunnus albacares,21857,NA,TUNAS_BILLFISHES,am
ITS-Mam-180426,22563,Tursiops truncatus,22563,NA,MARINE_MAMMALS,am
Fis-29576,23148,Xiphias gladius,23148,NA,TUNAS_BILLFISHES,am
Fis-30888,29609,Sebastolobus alascanus,NA,NA,NA,am
Fis-23129,39378,Galeocerdo cuvier,39378,NA,CHONDRICHTHYES,am
Fis-23277,39388,Sphyrna zygaena,39388,NA,CHONDRICHTHYES,am
ITS-Mam-622021,41670,Histriophoca fasciata,41670,NA,MARINE_MAMMALS,am
ITS-Mam-622018,41672,Pusa hispida,41672,NA,MARINE_MAMMALS,am
ITS-Mam-612591,41711,Eubalaena japonica,41711,NA,MARINE_MAMMALS,am
Fis-131445,44205,Trigonognathus kabeyai,44205,NA,CHONDRICHTHYES,am
Fis-30530,44566,Pseudotriakis microdon,44566,NA,CHONDRICHTHYES,am
Fis-32809,44993,Discopyge tschudii,44993,NA,CHONDRICHTHYES,am
Fis-31217,60140,Harriotta raleighana,60140,NA,CHONDRICHTHYES,am
Fis-26520,60196,Hydrolagus purpurescens,60196,NA,CHONDRICHTHYES,am
Fis-61628,60215,Zameus squamulosus,60215,NA,CHONDRICHTHYES,am
Fis-29423,60225,Isurus paucus,60225,NA,CHONDRICHTHYES,am
W-Msc-405014,61743,Haliotis kamtschatkana,NA,NA,NA,am
Fis-29858,62223,Coregonus sardinella,NA,NA,NA,am
Fis-26997,63107,Callorhinchus callorynchus,63107,NA,CHONDRICHTHYES,am
URM-Cn-5082,63573,Caryophyllia solida,NA,NA,NA,am
Fis-22920,135301,Oncorhynchus nerka,NA,NA,NA,am
Fis-29454,135567,Mugil cephalus,NA,NA,NA,am
Fis-24741,135574,Liopsetta glacialis,NA,NA,NA,am
Fis-52203,135660,Osmerus dentex,NA,NA,NA,am
Fis-63912,135719,Lethenteron camtschaticum,NA,NA,NA,am
Fis-28135,154635,Lestidiops ringens,NA,NA,NA,am
Fis-24651,154650,Gymnelus barsukovi,NA,NA,NA,am
Fis-28541,154663,Oneirodes acanthias,NA,NA,NA,am
Fis-52896,154674,Lampanyctus jordani,NA,NA,NA,am
Fis-50465,154698,Lophodolos indicus,NA,NA,NA,am
Fis-24768,154722,Melletes papilio,NA,NA,NA,am
Fis-31271,154750,Sagamichthys abei,NA,NA,NA,am
Fis-23135,154755,Genyonemus lineatus,NA,NA,NA,am
Fis-125736,154778,Paraliparis megalopus,NA,NA,NA,am
Fis-52166,154803,Venefica tentaculata,NA,NA,NA,am
Fis-29263,154820,Alepisaurus ferox,NA,NA,NA,am
Fis-24759,154845,Lyopsetta exilis,NA,NA,NA,am
Fis-24895,154866,Pholis ornata,NA,NA,NA,am
Fis-30261,154953,Lycodes jugoricus,NA,NA,NA,am
Fis-120470,154969,Kuronezumia bubonis,NA,NA,NA,am
Fis-32457,154973,Bassozetus robustus,NA,NA,NA,am
Fis-24555,154977,Eopsetta jordani,NA,NA,NA,am
Fis-32104,154998,Argyropelecus hemigymnus,NA,NA,NA,am
Fis-143777,155009,Pseudobathylagus milleri,NA,NA,NA,am
Fis-50053,155012,Sternoptyx obscura,NA,NA,NA,am
Fis-22897,155030,Macroramphosus scolopax,NA,NA,NA,am
Fis-24930,155068,Remora brachyptera,NA,NA,NA,am
Fis-116901,155077,Lycenchelys monstrosa,NA,NA,NA,am
Fis-54783,155082,Eumicrotremus barbatus,NA,NA,NA,am
Fis-32362,155093,Derichthys serpentinus,NA,NA,NA,am
Fis-24514,155094,Clinocottus globiceps,NA,NA,NA,am
Fis-24933,155179,Rhacochilus vacca,NA,NA,NA,am
Fis-50311,155189,Scopeloberyx opisthopterus,NA,NA,NA,am
Fis-55811,155203,Talismania bifurcata,NA,NA,NA,am
Fis-30824,155216,Icelinus filamentosus,NA,NA,NA,am
Fis-29650,155287,Antimora microlepis,NA,NA,NA,am
Fis-145428,155305,Oneirodes luetkeni,NA,NA,NA,am
Fis-149461,155320,Nannobrachium gibbsi,NA,NA,NA,am
Fis-54508,155322,Plectrogenium nanum,NA,NA,NA,am
Fis-52119,161430,Bathyraja lindbergi,161430,NA,CHONDRICHTHYES,am
Fis-28825,161486,Bathyraja spinosissima,161486,NA,CHONDRICHTHYES,am
Fis-52110,161594,Bathyraja violacea,161594,NA,CHONDRICHTHYES,am
Fis-20033,161731,Pteroplatytrygon violacea,161731,NA,CHONDRICHTHYES,am
W-Msc-342190,162562,Heteroteuthis hawaiiensis,NA,NA,NA,am
W-Msc-139424,162906,Helicocranchia pfefferi,NA,NA,NA,am
SLB-71435,162909,Egea inermis,NA,NA,NA,am
SLB-71429,162910,Chtenopteryx sicula,NA,NA,NA,am
W-Msc-342313,162926,Eucleoteuthis luminosa,NA,NA,NA,am
W-Msc-410348,162939,Cirrothauma magna,NA,NA,NA,am
W-Msc-181386,162941,Cranchia scabra,NA,NA,NA,am
SLB-71450,162948,Liguriella podophthalma,NA,NA,NA,am
SLB-71523,162950,Gonatus onyx,NA,NA,NA,am
W-Msc-138849,162986,Japetella diaphana,NA,NA,NA,am
W-Msc-141962,162988,Vitreledonella richardi,NA,NA,NA,am
SLB-71492,163063,Abraliopsis hoylei,NA,NA,NA,am
W-Msc-342092,163065,Opisthoteuthis californiana,NA,NA,NA,am
W-Msc-342386,163067,Sandalops melancholicus,NA,NA,NA,am
W-Msc-138803,163080,Argonauta argo,NA,NA,NA,am
W-Msc-342242,163089,Pyroteuthis addolux,NA,NA,NA,am
SLB-71490,163094,Abraliopsis felis,NA,NA,NA,am
W-Msc-138852,163095,Brachioteuthis riisei,NA,NA,NA,am
W-Msc-181382,163163,Ommastrephes bartramii,NA,NA,NA,am
SLB-70957,163207,Haliphron atlanticus,NA,NA,NA,am
W-Msc-341818,163218,Liocranchia reinhardti,NA,NA,NA,am
W-Msc-141680,163228,Thysanoteuthis rhombus,NA,NA,NA,am
SLB-71509,163247,Berryteuthis anonychus,NA,NA,NA,am
SLB-71465,163256,Discoteuthis discus,NA,NA,NA,am
W-Msc-140609,163267,Taningia danae,NA,NA,NA,am
W-Msc-342337,163294,Hyaloteuthis pelagica,NA,NA,NA,am
W-Msc-139422,163338,Bathothauma lyromma,NA,NA,NA,am
W-Msc-181379,163347,Octopoteuthis sicula,NA,NA,NA,am
W-Msc-157031,163353,Pyroteuthis margaritifera,NA,NA,NA,am
W-Msc-140649,163375,Onychoteuthis banksii,NA,NA,NA,am
Fis-138631,165701,Prognathodes falcifer,165701,NA,BUTTERFLYFISH,am
Fis-22735,170331,Acanthocybium solandri,170331,NA,TUNAS_BILLFISHES,am
Fis-22739,170344,Auxis thazard,170344,NA,TUNAS_BILLFISHES,am
Fis-29358,170350,Coryphaena equiselis,NA,NA,NA,am
Fis-22738,170355,Auxis rochei,170355,NA,TUNAS_BILLFISHES,am
SLB-71422,176066,Chiroteuthis veranyi,NA,NA,NA,am
SLB-71510,176070,Berryteuthis magister,NA,NA,NA,am
W-Msc-341869,176079,Stigmatoteuthis dofleini,NA,NA,NA,am
W-Msc-342067,176085,Todarodes pacificus,NA,NA,NA,am
Fis-30668,178105,Sphyraena argentea,NA,NA,NA,am
Fis-30043,178902,Gibbonsia montereyensis,NA,NA,NA,am
Fis-30042,178917,Gibbonsia metzi,NA,NA,NA,am
Fis-29645,183283,Pronotogrammus multifasciatus,183283,NA,MARINEFISH_PART_1,am
Fis-23215,183337,Peprilus simillimus,NA,NA,NA,am
Fis-30867,183346,Pleuronichthys ritteri,NA,NA,NA,am
Fis-25017,183353,Cosmocampus arctus,NA,NA,NA,am
Fis-24832,183355,Ophidion scrippsae,NA,NA,NA,am
Fis-22908,183411,Merluccius productus,NA,NA,NA,am
Fis-24699,183514,Pleuronichthys guttulatus,NA,NA,NA,am
Fis-26911,183593,Porichthys margaritatus,NA,NA,NA,am
Fis-24766,183618,Medialuna californiensis,NA,NA,NA,am
Fis-30868,183696,Pleuronichthys verticalis,NA,NA,NA,am
Fis-30514,183724,Porichthys notatus,NA,NA,NA,am
Fis-22970,183729,Trachurus symmetricus,NA,NA,NA,am
Fis-30655,183750,Seriphus politus,NA,NA,NA,am
Fis-35686,183761,Hippoglossina macrops,NA,NA,NA,am
Fis-24451,183848,Atractoscion nobilis,NA,NA,NA,am
Fis-29948,183856,Engraulis mordax,NA,NA,NA,am
Fis-24925,183926,Quietula y-cauda,NA,NA,NA,am
Fis-24450,183957,Atherinops affinis,NA,NA,NA,am
Fis-24482,183991,Caulolatilus princeps,NA,NA,NA,am
Fis-30783,184042,Citharichthys fragilis,NA,NA,NA,am
Fis-54081,184056,Sardinops sagax ssp. sagax,NA,NA,NA,am
Fis-24354,184099,Spirinchus thaleichthys,NA,NA,NA,am
ITS-660110,185038,Pentacheles laevis,185038,NA,LOBSTERS,am
ITS-660111,185061,Pentacheles snyderi,185061,NA,LOBSTERS,am
SLB-173556,185064,Stereomastis auriculata,185064,NA,LOBSTERS,am
SLB-184805,185067,Polycheles tanneri,185067,NA,LOBSTERS,am
Fis-53989,187583,Bodianus cylindriatus,187583,NA,WRASSE,am
Fis-29877,190067,Cryptopsaras couesii,NA,NA,NA,am
Fis-33804,190089,Diceratias pileatus,NA,NA,NA,am
Fis-24609,190107,Eumecichthys fiski,NA,NA,NA,am
Fis-52159,190109,Chiasmodon subniger,NA,NA,NA,am
Fis-30255,190116,Luvarus imperialis,NA,NA,NA,am
Fis-23454,190133,Cyclothone microdon,NA,NA,NA,am
Fis-31235,190147,Searsia koefoedi,NA,NA,NA,am
Fis-33790,190149,Malacosteus niger,NA,NA,NA,am
Fis-49079,190157,Lophodolos acanthognathus,NA,NA,NA,am
Fis-30017,190163,Exocoetus obtusirostris,NA,NA,NA,am
Fis-34615,190217,Platytroctes apus,NA,NA,NA,am
Fis-25469,190239,Poromitra crassiceps,NA,NA,NA,am
Fis-25178,190261,Notolychnus valdiviae,NA,NA,NA,am
Fis-34410,190264,Rouleina maderensis,NA,NA,NA,am
Fis-50449,190278,Dolopichthys longicornis,NA,NA,NA,am
Fis-23582,190287,Lepidocybium flavobrunneum,NA,NA,NA,am
Fis-34206,190298,Photostylus pycnopterus,NA,NA,NA,am
Fis-64212,190315,Serrivomer beanii,NA,NA,NA,am
Fis-49922,190316,Scopelarchus analis,NA,NA,NA,am
Fis-28239,190317,Bolinichthys photothorax,NA,NA,NA,am
Fis-29801,190324,Chauliodus sloani,NA,NA,NA,am
Fis-23893,190346,Zu cristatus,NA,NA,NA,am
Fis-25456,190350,Avocettina infans,NA,NA,NA,am
Fis-34848,190353,Aristostomias tittmanni,NA,NA,NA,am
Fis-26565,190356,Aldrovandia affinis,NA,NA,NA,am
Fis-30575,190378,Regalecus glesne,NA,NA,NA,am
Fis-32810,190384,Cubiceps caeruleus,NA,NA,NA,am
Fis-23905,190385,Antimora rostrata,NA,NA,NA,am
Fis-26349,190403,Polyacanthonotus challengeri,NA,NA,NA,am
Fis-23639,190422,Mola mola,NA,NA,NA,am
Fis-23605,190425,Lobianchia gemellarii,NA,NA,NA,am
Fis-30588,190432,Ruvettus pretiosus,NA,NA,NA,am
Fis-53389,190447,Caulophryne jordani,NA,NA,NA,am
